




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	non_TAGs_low.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Glycine max - REFLIST (55853)	non_TAGs_low.txt (37812)	non_TAGs_low.txt (expected)	non_TAGs_low.txt (over/under)	non_TAGs_low.txt (fold Enrichment)	non_TAGs_low.txt (raw P-value)	non_TAGs_low.txt (FDR)
protein neddylation (GO:0045116)	13	13	8.80	+	1.48	1.33E-02	2.39E-02
positive regulation of organelle organization (GO:0010638)	19	19	12.86	+	1.48	8.65E-04	1.96E-03
nucleoside metabolic process (GO:0009116)	27	27	18.28	+	1.48	3.70E-05	1.09E-04
cytochrome complex assembly (GO:0017004)	17	17	11.51	+	1.48	2.69E-03	5.65E-03
regulation of dephosphorylation (GO:0035303)	19	19	12.86	+	1.48	8.65E-04	1.96E-03
regulation of meiotic cell cycle (GO:0051445)	17	17	11.51	+	1.48	2.69E-03	5.65E-03
hormone biosynthetic process (GO:0042446)	36	36	24.37	+	1.48	9.76E-07	3.72E-06
purine nucleoside catabolic process (GO:0006152)	17	17	11.51	+	1.48	2.69E-03	5.64E-03
protein import into peroxisome matrix (GO:0016558)	17	17	11.51	+	1.48	2.69E-03	5.63E-03
regulation of circadian rhythm (GO:0042752)	18	18	12.19	+	1.48	1.50E-03	3.25E-03
lysine biosynthetic process (GO:0009085)	17	17	11.51	+	1.48	2.69E-03	5.62E-03
rRNA base methylation (GO:0070475)	27	27	18.28	+	1.48	3.70E-05	1.09E-04
establishment of protein localization to extracellular region (GO:0035592)	17	17	11.51	+	1.48	2.69E-03	5.61E-03
regulation of autophagy (GO:0010506)	17	17	11.51	+	1.48	2.69E-03	5.60E-03
protein secretion (GO:0009306)	17	17	11.51	+	1.48	2.69E-03	5.59E-03
steroid hormone mediated signaling pathway (GO:0043401)	25	25	16.92	+	1.48	1.13E-04	3.02E-04
iron ion transmembrane transport (GO:0034755)	18	18	12.19	+	1.48	1.50E-03	3.25E-03
actin filament depolymerization (GO:0030042)	21	21	14.22	+	1.48	5.50E-04	1.28E-03
positive regulation of response to stimulus (GO:0048584)	19	19	12.86	+	1.48	8.65E-04	1.96E-03
glycosyl compound catabolic process (GO:1901658)	27	27	18.28	+	1.48	3.70E-05	1.09E-04
mRNA cis splicing, via spliceosome (GO:0045292)	19	19	12.86	+	1.48	8.65E-04	1.95E-03
response to steroid hormone (GO:0048545)	25	25	16.92	+	1.48	1.13E-04	3.01E-04
regionalization (GO:0003002)	19	19	12.86	+	1.48	8.65E-04	1.95E-03
regulation of programmed cell death (GO:0043067)	17	17	11.51	+	1.48	2.69E-03	5.59E-03
purine nucleoside metabolic process (GO:0042278)	17	17	11.51	+	1.48	2.69E-03	5.58E-03
actin polymerization or depolymerization (GO:0008154)	21	21	14.22	+	1.48	5.50E-04	1.27E-03
Arp2/3 complex-mediated actin nucleation (GO:0034314)	17	17	11.51	+	1.48	2.69E-03	5.57E-03
amide transport (GO:0042886)	18	18	12.19	+	1.48	1.50E-03	3.24E-03
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	20	20	13.54	+	1.48	5.20E-04	1.22E-03
pyrimidine nucleobase metabolic process (GO:0006206)	20	20	13.54	+	1.48	5.20E-04	1.22E-03
Golgi to vacuole transport (GO:0006896)	18	18	12.19	+	1.48	1.50E-03	3.24E-03
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	20	20	13.54	+	1.48	5.20E-04	1.21E-03
cellular response to steroid hormone stimulus (GO:0071383)	25	25	16.92	+	1.48	1.13E-04	3.01E-04
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	25	25	16.92	+	1.48	1.13E-04	3.00E-04
protein localization to extracellular region (GO:0071692)	17	17	11.51	+	1.48	2.69E-03	5.56E-03
maturation of SSU-rRNA (GO:0030490)	80	79	54.16	+	1.46	2.15E-12	1.46E-11
translational initiation (GO:0006413)	72	71	48.74	+	1.46	4.58E-11	2.71E-10
vesicle budding from membrane (GO:0006900)	69	68	46.71	+	1.46	1.19E-10	6.83E-10
RNA localization (GO:0006403)	63	62	42.65	+	1.45	8.76E-10	4.79E-09
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	63	62	42.65	+	1.45	8.76E-10	4.77E-09
RNA transport (GO:0050658)	59	58	39.94	+	1.45	3.98E-09	1.99E-08
nucleic acid transport (GO:0050657)	59	58	39.94	+	1.45	3.98E-09	1.99E-08
RNA export from nucleus (GO:0006405)	59	58	39.94	+	1.45	3.98E-09	1.98E-08
establishment of RNA localization (GO:0051236)	59	58	39.94	+	1.45	3.98E-09	1.97E-08
microtubule-based movement (GO:0007018)	58	57	39.27	+	1.45	6.60E-09	3.20E-08
phosphatidylinositol dephosphorylation (GO:0046856)	55	54	37.23	+	1.45	1.80E-08	8.23E-08
regulation of mRNA processing (GO:0050684)	55	54	37.23	+	1.45	1.80E-08	8.21E-08
regulation of RNA splicing (GO:0043484)	55	54	37.23	+	1.45	1.80E-08	8.18E-08
transcription initiation at RNA polymerase II promoter (GO:0006367)	54	53	36.56	+	1.45	3.00E-08	1.34E-07
regulation of chromosome organization (GO:0033044)	46	45	31.14	+	1.45	6.14E-07	2.42E-06
mRNA export from nucleus (GO:0006406)	45	44	30.46	+	1.44	1.07E-06	4.01E-06
mRNA transport (GO:0051028)	45	44	30.46	+	1.44	1.07E-06	4.00E-06
regulation of mRNA splicing, via spliceosome (GO:0048024)	44	43	29.79	+	1.44	1.01E-06	3.81E-06
late endosome to vacuole transport (GO:0045324)	44	43	29.79	+	1.44	1.01E-06	3.80E-06
peptidyl-threonine phosphorylation (GO:0018107)	43	42	29.11	+	1.44	1.64E-06	6.09E-06
aspartate family amino acid biosynthetic process (GO:0009067)	43	42	29.11	+	1.44	1.64E-06	6.07E-06
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	121	118	81.92	+	1.44	1.65E-16	1.45E-15
multivesicular body sorting pathway (GO:0071985)	40	39	27.08	+	1.44	4.49E-06	1.59E-05
regulation of proteolysis (GO:0030162)	40	39	27.08	+	1.44	4.49E-06	1.58E-05
regulation of sister chromatid segregation (GO:0033045)	40	39	27.08	+	1.44	4.49E-06	1.58E-05
regulation of chromosome segregation (GO:0051983)	40	39	27.08	+	1.44	4.49E-06	1.58E-05
endosome transport via multivesicular body sorting pathway (GO:0032509)	40	39	27.08	+	1.44	4.49E-06	1.57E-05
regulation of multicellular organismal process (GO:0051239)	39	38	26.40	+	1.44	7.33E-06	2.48E-05
response to organic cyclic compound (GO:0014070)	37	36	25.05	+	1.44	2.17E-05	6.59E-05
shoot system development (GO:0048367)	70	68	47.39	+	1.43	1.34E-09	7.12E-09
protein localization to cell periphery (GO:1990778)	35	34	23.69	+	1.43	3.26E-05	9.62E-05
activation of GTPase activity (GO:0090630)	34	33	23.02	+	1.43	5.52E-05	1.59E-04
protein transmembrane import into intracellular organelle (GO:0044743)	66	64	44.68	+	1.43	5.90E-09	2.88E-08
regulation of hydrolase activity (GO:0051336)	64	62	43.33	+	1.43	9.47E-09	4.55E-08
clathrin-dependent endocytosis (GO:0072583)	63	61	42.65	+	1.43	1.54E-08	7.04E-08
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	31	30	20.99	+	1.43	1.44E-04	3.77E-04
fruit development (GO:0010154)	31	30	20.99	+	1.43	1.44E-04	3.76E-04
positive regulation of proteolysis (GO:0045862)	31	30	20.99	+	1.43	1.44E-04	3.76E-04
cellular response to organic cyclic compound (GO:0071407)	30	29	20.31	+	1.43	2.45E-04	6.20E-04
protein dephosphorylation (GO:0006470)	176	170	119.15	+	1.43	8.48E-22	9.38E-21
protein deubiquitination (GO:0016579)	113	109	76.50	+	1.42	5.30E-14	4.04E-13
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	28	27	18.96	+	1.42	3.81E-04	9.22E-04
transcription by RNA polymerase I (GO:0006360)	28	27	18.96	+	1.42	3.81E-04	9.21E-04
seed development (GO:0048316)	27	26	18.28	+	1.42	6.30E-04	1.45E-03
anaphase-promoting complex-dependent catabolic process (GO:0031145)	27	26	18.28	+	1.42	6.30E-04	1.44E-03
post-Golgi vesicle-mediated transport (GO:0006892)	54	52	36.56	+	1.42	4.85E-07	1.93E-06
positive regulation of cellular component organization (GO:0051130)	26	25	17.60	+	1.42	1.07E-03	2.36E-03
reproductive system development (GO:0061458)	77	74	52.13	+	1.42	1.02E-09	5.48E-09
protein modification by small protein removal (GO:0070646)	128	123	86.65	+	1.42	2.04E-15	1.71E-14
receptor-mediated endocytosis (GO:0006898)	76	73	51.45	+	1.42	1.62E-09	8.53E-09
reproductive structure development (GO:0048608)	75	72	50.77	+	1.42	2.66E-09	1.35E-08
autophagy of mitochondrion (GO:0000422)	50	48	33.85	+	1.42	2.08E-06	7.58E-06
regulation of multicellular organismal development (GO:2000026)	25	24	16.92	+	1.42	1.02E-03	2.25E-03
protein targeting to mitochondrion (GO:0006626)	74	71	50.10	+	1.42	4.52E-09	2.23E-08
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	24	23	16.25	+	1.42	1.65E-03	3.55E-03
pyrimidine-containing compound metabolic process (GO:0072527)	48	46	32.50	+	1.42	3.16E-06	1.13E-05
phosphatidylinositol metabolic process (GO:0046488)	143	137	96.81	+	1.42	1.39E-16	1.23E-15
actin filament-based process (GO:0030029)	119	114	80.56	+	1.42	5.92E-14	4.48E-13
positive regulation of hydrolase activity (GO:0051345)	47	45	31.82	+	1.41	5.22E-06	1.81E-05
regulation of GTPase activity (GO:0043087)	46	44	31.14	+	1.41	8.89E-06	2.90E-05
plant organ development (GO:0099402)	46	44	31.14	+	1.41	8.89E-06	2.89E-05
system development (GO:0048731)	136	130	92.07	+	1.41	1.46E-15	1.24E-14
dephosphorylation (GO:0016311)	249	238	168.57	+	1.41	1.22E-27	1.72E-26
actin cytoskeleton organization (GO:0030036)	113	108	76.50	+	1.41	3.84E-13	2.80E-12
regulation of transcription elongation by RNA polymerase II (GO:0034243)	45	43	30.46	+	1.41	8.25E-06	2.74E-05
regulation of intracellular pH (GO:0051453)	45	43	30.46	+	1.41	8.25E-06	2.73E-05
protein import into mitochondrial matrix (GO:0030150)	45	43	30.46	+	1.41	8.25E-06	2.73E-05
positive regulation of transcription elongation by RNA polymerase II (GO:0032968)	45	43	30.46	+	1.41	8.25E-06	2.72E-05
regulation of cellular pH (GO:0030641)	45	43	30.46	+	1.41	8.25E-06	2.71E-05
glycerophospholipid metabolic process (GO:0006650)	178	170	120.50	+	1.41	5.51E-20	5.57E-19
glucose 6-phosphate metabolic process (GO:0051156)	44	42	29.79	+	1.41	1.33E-05	4.22E-05
protein-containing complex disassembly (GO:0032984)	110	105	74.47	+	1.41	1.00E-12	6.98E-12
mitochondrial RNA modification (GO:1900864)	22	21	14.89	+	1.41	4.65E-03	9.29E-03
post-embryonic development (GO:0009791)	126	120	85.30	+	1.41	3.94E-14	3.05E-13
phosphatidylinositol phosphate biosynthetic process (GO:0046854)	42	40	28.43	+	1.41	2.17E-05	6.60E-05
positive regulation of GTPase activity (GO:0043547)	42	40	28.43	+	1.41	2.17E-05	6.59E-05
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)	21	20	14.22	+	1.41	4.34E-03	8.70E-03
mitochondrial mRNA modification (GO:0080156)	21	20	14.22	+	1.41	4.34E-03	8.69E-03
microtubule depolymerization (GO:0007019)	21	20	14.22	+	1.41	4.34E-03	8.68E-03
actin filament organization (GO:0007015)	104	99	70.41	+	1.41	1.06E-11	6.62E-11
supramolecular fiber organization (GO:0097435)	166	158	112.38	+	1.41	3.76E-18	3.50E-17
protein depolymerization (GO:0051261)	62	59	41.97	+	1.41	1.91E-07	7.89E-07
RNA polymerase II preinitiation complex assembly (GO:0051123)	20	19	13.54	+	1.40	7.02E-03	1.36E-02
potassium ion transmembrane transport (GO:0071805)	20	19	13.54	+	1.40	7.02E-03	1.36E-02
hormone transport (GO:0009914)	20	19	13.54	+	1.40	7.02E-03	1.36E-02
COPII-coated vesicle budding (GO:0090114)	20	19	13.54	+	1.40	7.02E-03	1.36E-02
autophagy (GO:0006914)	98	93	66.35	+	1.40	6.73E-11	3.94E-10
process utilizing autophagic mechanism (GO:0061919)	98	93	66.35	+	1.40	6.73E-11	3.92E-10
tricarboxylic acid cycle (GO:0006099)	39	37	26.40	+	1.40	9.18E-05	2.49E-04
protein localization to mitochondrion (GO:0070585)	77	73	52.13	+	1.40	1.14E-08	5.33E-08
establishment of protein localization to mitochondrion (GO:0072655)	77	73	52.13	+	1.40	1.14E-08	5.31E-08
microautophagy (GO:0016237)	19	18	12.86	+	1.40	1.17E-02	2.17E-02
piecemeal microautophagy of the nucleus (GO:0034727)	19	18	12.86	+	1.40	1.17E-02	2.17E-02
polyamine metabolic process (GO:0006595)	38	36	25.73	+	1.40	8.87E-05	2.41E-04
chloroplast organization (GO:0009658)	75	71	50.77	+	1.40	1.83E-08	8.29E-08
aminoglycan metabolic process (GO:0006022)	18	17	12.19	+	1.40	1.15E-02	2.14E-02
vacuolar transport (GO:0007034)	90	85	60.93	+	1.40	1.09E-09	5.77E-09
Golgi to plasma membrane transport (GO:0006893)	36	34	24.37	+	1.40	2.27E-04	5.81E-04
phospholipid biosynthetic process (GO:0008654)	143	135	96.81	+	1.39	1.01E-14	8.06E-14
macroautophagy (GO:0016236)	89	84	60.25	+	1.39	1.76E-09	9.18E-09
ribosomal small subunit biogenesis (GO:0042274)	142	134	96.13	+	1.39	1.65E-14	1.31E-13
phosphatidylinositol biosynthetic process (GO:0006661)	88	83	59.58	+	1.39	1.76E-09	9.17E-09
multicellular organism development (GO:0007275)	210	198	142.17	+	1.39	6.07E-21	6.27E-20
response to gibberellin (GO:0009739)	35	33	23.69	+	1.39	3.78E-04	9.17E-04
glycerophospholipid biosynthetic process (GO:0046474)	121	114	81.92	+	1.39	1.64E-12	1.13E-11
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	326	307	220.70	+	1.39	1.48E-31	2.49E-30
regulation of catabolic process (GO:0009894)	118	111	79.88	+	1.39	6.59E-12	4.29E-11
plastid organization (GO:0009657)	84	79	56.87	+	1.39	6.87E-09	3.32E-08
rRNA metabolic process (GO:0016072)	318	299	215.28	+	1.39	2.27E-30	3.68E-29
cellular component disassembly (GO:0022411)	167	157	113.06	+	1.39	2.56E-16	2.20E-15
vacuole organization (GO:0007033)	83	78	56.19	+	1.39	1.07E-08	5.09E-08
cytoplasmic microtubule organization (GO:0031122)	33	31	22.34	+	1.39	5.66E-04	1.31E-03
oligosaccharide biosynthetic process (GO:0009312)	49	46	33.17	+	1.39	1.98E-05	6.18E-05
lipid transport (GO:0006869)	81	76	54.84	+	1.39	2.81E-08	1.26E-07
spliceosomal complex assembly (GO:0000245)	32	30	21.66	+	1.38	9.20E-04	2.04E-03
mitochondrial respiratory chain complex assembly (GO:0033108)	32	30	21.66	+	1.38	9.20E-04	2.04E-03
mRNA polyadenylation (GO:0006378)	16	15	10.83	+	1.38	2.94E-02	4.96E-02
nucleus organization (GO:0006997)	16	15	10.83	+	1.38	2.94E-02	4.95E-02
mismatch repair (GO:0006298)	16	15	10.83	+	1.38	2.94E-02	4.95E-02
organelle disassembly (GO:1903008)	80	75	54.16	+	1.38	2.67E-08	1.20E-07
rRNA processing (GO:0006364)	287	269	194.30	+	1.38	8.39E-27	1.15E-25
endoplasmic reticulum organization (GO:0007029)	47	44	31.82	+	1.38	3.11E-05	9.20E-05
retrograde transport, endosome to Golgi (GO:0042147)	31	29	20.99	+	1.38	9.12E-04	2.04E-03
reproductive shoot system development (GO:0090567)	31	29	20.99	+	1.38	9.12E-04	2.03E-03
flower development (GO:0009908)	31	29	20.99	+	1.38	9.12E-04	2.03E-03
pyrimidine nucleotide metabolic process (GO:0006220)	31	29	20.99	+	1.38	9.12E-04	2.03E-03
protein-DNA complex assembly (GO:0065004)	62	58	41.97	+	1.38	1.78E-06	6.50E-06
microtubule-based process (GO:0007017)	309	289	209.19	+	1.38	3.04E-28	4.51E-27
positive regulation of catalytic activity (GO:0043085)	60	56	40.62	+	1.38	2.79E-06	9.99E-06
RNA splicing (GO:0008380)	340	317	230.18	+	1.38	3.99E-30	6.11E-29
regulation of mRNA metabolic process (GO:1903311)	118	110	79.88	+	1.38	3.45E-11	2.07E-10
lipid homeostasis (GO:0055088)	59	55	39.94	+	1.38	4.33E-06	1.54E-05
nucleobase-containing compound transport (GO:0015931)	103	96	69.73	+	1.38	9.44E-10	5.10E-09
regulatory ncRNA-mediated gene silencing (GO:0031047)	44	41	29.79	+	1.38	7.82E-05	2.17E-04
response to radiation (GO:0009314)	146	136	98.84	+	1.38	2.03E-13	1.50E-12
autophagosome assembly (GO:0000045)	73	68	49.42	+	1.38	2.55E-07	1.05E-06
lipid localization (GO:0010876)	102	95	69.05	+	1.38	8.95E-10	4.86E-09
glycerolipid metabolic process (GO:0046486)	203	189	137.43	+	1.38	2.84E-18	2.66E-17
ncRNA transcription (GO:0098781)	29	27	19.63	+	1.38	2.25E-03	4.77E-03
protein processing (GO:0016485)	58	54	39.27	+	1.38	6.90E-06	2.36E-05
transition metal ion transport (GO:0000041)	58	54	39.27	+	1.38	6.90E-06	2.35E-05
proteasomal protein catabolic process (GO:0010498)	419	390	283.66	+	1.37	3.23E-36	6.00E-35
endocytosis (GO:0006897)	144	134	97.49	+	1.37	3.10E-13	2.28E-12
vesicle-mediated transport to the plasma membrane (GO:0098876)	43	40	29.11	+	1.37	1.20E-04	3.17E-04
glycosylation (GO:0070085)	85	79	57.54	+	1.37	3.62E-08	1.61E-07
cellular response to heat (GO:0034605)	85	79	57.54	+	1.37	3.62E-08	1.60E-07
import into cell (GO:0098657)	155	144	104.93	+	1.37	7.33E-14	5.53E-13
protein peptidyl-prolyl isomerization (GO:0000413)	56	52	37.91	+	1.37	1.06E-05	3.41E-05
aerobic electron transport chain (GO:0019646)	28	26	18.96	+	1.37	3.65E-03	7.40E-03
polyamine biosynthetic process (GO:0006596)	28	26	18.96	+	1.37	3.65E-03	7.39E-03
response to light stimulus (GO:0009416)	140	130	94.78	+	1.37	1.16E-12	8.04E-12
endosomal transport (GO:0016197)	97	90	65.67	+	1.37	5.27E-09	2.59E-08
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	312	289	211.22	+	1.37	2.77E-26	3.68E-25
RNA splicing, via transesterification reactions (GO:0000375)	312	289	211.22	+	1.37	2.77E-26	3.65E-25
fatty acid beta-oxidation (GO:0006635)	40	37	27.08	+	1.37	2.96E-04	7.40E-04
GPI anchor biosynthetic process (GO:0006506)	40	37	27.08	+	1.37	2.96E-04	7.39E-04
GPI anchor metabolic process (GO:0006505)	40	37	27.08	+	1.37	2.96E-04	7.38E-04
positive regulation of DNA-templated transcription, elongation (GO:0032786)	53	49	35.88	+	1.37	2.60E-05	7.81E-05
regulation of DNA-templated transcription elongation (GO:0032784)	53	49	35.88	+	1.37	2.60E-05	7.79E-05
mRNA splicing, via spliceosome (GO:0000398)	304	281	205.81	+	1.37	3.73E-25	4.64E-24
regulation of mitotic cell cycle phase transition (GO:1901990)	66	61	44.68	+	1.37	2.35E-06	8.47E-06
positive regulation of molecular function (GO:0044093)	66	61	44.68	+	1.37	2.35E-06	8.45E-06
lipoprotein biosynthetic process (GO:0042158)	105	97	71.08	+	1.36	2.96E-09	1.50E-08
lipoprotein metabolic process (GO:0042157)	105	97	71.08	+	1.36	2.96E-09	1.49E-08
protein lipidation (GO:0006497)	105	97	71.08	+	1.36	2.96E-09	1.49E-08
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	26	24	17.60	+	1.36	5.49E-03	1.08E-02
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	26	24	17.60	+	1.36	5.49E-03	1.08E-02
microtubule polymerization or depolymerization (GO:0031109)	39	36	26.40	+	1.36	4.56E-04	1.07E-03
protein quality control for misfolded or incompletely synthesized proteins (GO:0006515)	26	24	17.60	+	1.36	5.49E-03	1.08E-02
