




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	TAGs_high.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Molecular Function	Glycine max - REFLIST (55853)	TAGs_high.txt (6826)	TAGs_high.txt (expected)	TAGs_high.txt (over/under)	TAGs_high.txt (fold Enrichment)	TAGs_high.txt (raw P-value)	TAGs_high.txt (FDR)
nucleoside phosphate binding (GO:1901265)	404	30	49.37	-	.61	2.22E-03	8.72E-03
nucleotide binding (GO:0000166)	404	30	49.37	-	.61	2.22E-03	8.65E-03
structural molecule activity (GO:0005198)	517	38	63.18	-	.60	4.27E-04	1.91E-03
GTPase activity (GO:0003924)	263	19	32.14	-	.59	1.07E-02	3.42E-02
heterocyclic compound binding (GO:1901363)	451	31	55.12	-	.56	2.85E-04	1.37E-03
aminoacyltransferase activity (GO:0016755)	558	38	68.20	-	.56	3.88E-05	2.17E-04
ubiquitin-protein transferase activity (GO:0004842)	529	36	64.65	-	.56	5.76E-05	3.14E-04
molecular adaptor activity (GO:0060090)	309	21	37.76	-	.56	2.23E-03	8.63E-03
protein-macromolecule adaptor activity (GO:0030674)	309	21	37.76	-	.56	2.23E-03	8.57E-03
phosphatase activity (GO:0016791)	403	27	49.25	-	.55	3.20E-04	1.53E-03
ubiquitin-like protein transferase activity (GO:0019787)	552	36	67.46	-	.53	1.45E-05	8.38E-05
ATP-dependent activity (GO:0140657)	770	50	94.10	-	.53	1.65E-07	1.56E-06
mRNA binding (GO:0003729)	685	42	83.72	-	.50	1.45E-07	1.40E-06
catalytic activity, acting on DNA (GO:0140097)	251	15	30.68	-	.49	1.36E-03	5.39E-03
RNA binding (GO:0003723)	1646	98	201.16	-	.49	9.65E-18	3.39E-16
pyrophosphatase activity (GO:0016462)	483	27	59.03	-	.46	1.25E-06	8.75E-06
hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818)	483	27	59.03	-	.46	1.25E-06	8.63E-06
hydrolase activity, acting on acid anhydrides (GO:0016817)	485	27	59.27	-	.46	1.27E-06	8.66E-06
molecular function activator activity (GO:0140677)	170	9	20.78	-	.43	4.48E-03	1.57E-02
carbohydrate derivative binding (GO:0097367)	256	13	31.29	-	.42	1.68E-04	8.51E-04
helicase activity (GO:0004386)	120	6	14.67	-	.41	1.16E-02	3.67E-02
catalytic activity, acting on a nucleic acid (GO:0140640)	711	33	86.89	-	.38	4.33E-12	6.65E-11
ribonucleoside triphosphate phosphatase activity (GO:0017111)	411	19	50.23	-	.38	2.03E-07	1.84E-06
cytoskeletal protein binding (GO:0008092)	357	16	43.63	-	.37	8.60E-07	6.31E-06
catalytic activity, acting on RNA (GO:0140098)	439	19	53.65	-	.35	1.82E-08	1.99E-07
translation regulator activity, nucleic acid binding (GO:0090079)	133	5	16.25	-	.31	1.28E-03	5.18E-03
translation factor activity, RNA binding (GO:0008135)	133	5	16.25	-	.31	1.28E-03	5.14E-03
translation regulator activity (GO:0045182)	133	5	16.25	-	.31	1.28E-03	5.10E-03
microtubule binding (GO:0008017)	209	7	25.54	-	.27	1.08E-05	6.54E-05
damaged DNA binding (GO:0003684)	90	3	11.00	-	.27	5.70E-03	1.92E-02
actin filament binding (GO:0051015)	120	4	14.67	-	.27	1.16E-03	4.77E-03
tubulin binding (GO:0015631)	217	7	26.52	-	.26	5.61E-06	3.49E-05
DNA-directed 5'-3' RNA polymerase activity (GO:0003899)	70	2	8.55	-	.23	1.02E-02	3.28E-02
protein serine/threonine phosphatase activity (GO:0004722)	142	4	17.35	-	.23	1.50E-04	7.67E-04
cysteine-type deubiquitinase activity (GO:0004843)	76	2	9.29	-	.22	7.37E-03	2.43E-02
nucleotidyltransferase activity (GO:0016779)	191	5	23.34	-	.21	3.75E-06	2.42E-05
5'-3' RNA polymerase activity (GO:0034062)	77	2	9.41	-	.21	4.92E-03	1.71E-02
RNA polymerase activity (GO:0097747)	77	2	9.41	-	.21	4.92E-03	1.70E-02
monoatomic cation channel activity (GO:0005261)	80	2	9.78	-	.20	3.42E-03	1.24E-02
telomeric DNA binding (GO:0042162)	85	2	10.39	-	.19	2.40E-03	9.12E-03
phosphoprotein phosphatase activity (GO:0004721)	175	4	21.39	-	.19	4.12E-06	2.62E-05
deubiquitinase activity (GO:0101005)	105	2	12.83	-	.16	2.57E-04	1.25E-03
GTPase regulator activity (GO:0030695)	110	2	13.44	-	.15	1.87E-04	9.28E-04
nucleoside-triphosphatase regulator activity (GO:0060589)	110	2	13.44	-	.15	1.87E-04	9.19E-04
phosphatidylinositol binding (GO:0035091)	57	1	6.97	-	.14	1.28E-02	3.99E-02
ubiquitin-like protein peptidase activity (GO:0019783)	116	2	14.18	-	.14	8.54E-05	4.51E-04
enzyme activator activity (GO:0008047)	132	2	16.13	-	.12	1.24E-05	7.36E-05
oxidoreductase activity, acting on a sulfur group of donors (GO:0016667)	77	1	9.41	-	.11	7.85E-04	3.32E-03
clathrin binding (GO:0030276)	83	1	10.14	-	.10	5.59E-04	2.39E-03
N-methyltransferase activity (GO:0008170)	84	1	10.27	-	.10	3.56E-04	1.65E-03
cytoskeletal motor activity (GO:0003774)	116	1	14.18	-	.07	1.08E-05	6.49E-05
galactosyltransferase activity (GO:0008378)	44	0	5.38	-	 < 0.01	4.97E-03	1.71E-02
structural constituent of cytoskeleton (GO:0005200)	45	0	5.50	-	 < 0.01	5.02E-03	1.71E-02
lipid kinase activity (GO:0001727)	59	0	7.21	-	 < 0.01	9.65E-04	4.05E-03
microtubule motor activity (GO:0003777)	89	0	10.88	-	 < 0.01	1.38E-05	8.05E-05
GTPase activator activity (GO:0005096)	59	0	7.21	-	 < 0.01	9.65E-04	4.01E-03
protein transmembrane transporter activity (GO:0008320)	41	0	5.01	-	 < 0.01	7.61E-03	2.49E-02
3'-5'-RNA exonuclease activity (GO:0000175)	43	0	5.26	-	 < 0.01	8.04E-03	2.62E-02
ATP hydrolysis activity (GO:0016887)	148	0	18.09	-	 < 0.01	7.68E-09	8.57E-08
translation initiation factor activity (GO:0003743)	88	0	10.75	-	 < 0.01	2.22E-05	1.27E-04
racemase and epimerase activity, acting on carbohydrates and derivatives (GO:0016857)	40	0	4.89	-	 < 0.01	1.25E-02	3.90E-02
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines (GO:0016814)	46	0	5.62	-	 < 0.01	5.20E-03	1.76E-02
