




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	TAGs_high.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Glycine max - REFLIST (55853)	TAGs_high.txt (6826)	TAGs_high.txt (expected)	TAGs_high.txt (over/under)	TAGs_high.txt (fold Enrichment)	TAGs_high.txt (raw P-value)	TAGs_high.txt (FDR)
system development (GO:0048731)	136	5	16.62	-	.30	9.14E-04	6.47E-03
ubiquitin-dependent protein catabolic process (GO:0006511)	550	20	67.22	-	.30	2.00E-12	9.62E-11
mRNA processing (GO:0006397)	358	13	43.75	-	.30	2.27E-08	4.80E-07
tRNA metabolic process (GO:0006399)	248	9	30.31	-	.30	3.66E-06	4.77E-05
response to light stimulus (GO:0009416)	140	5	17.11	-	.29	6.61E-04	4.90E-03
RNA processing (GO:0006396)	882	31	107.79	-	.29	8.31E-20	5.51E-18
ncRNA metabolic process (GO:0034660)	574	20	70.15	-	.29	2.01E-13	1.04E-11
glycerolipid biosynthetic process (GO:0045017)	144	5	17.60	-	.28	4.79E-04	3.65E-03
response to radiation (GO:0009314)	146	5	17.84	-	.28	3.35E-04	2.80E-03
mRNA splicing, via spliceosome (GO:0000398)	304	10	37.15	-	.27	5.54E-08	1.03E-06
cytoskeleton organization (GO:0007010)	369	12	45.10	-	.27	1.95E-09	4.84E-08
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	312	10	38.13	-	.26	2.85E-08	5.92E-07
RNA splicing, via transesterification reactions (GO:0000375)	312	10	38.13	-	.26	2.85E-08	5.84E-07
ncRNA processing (GO:0034470)	446	14	54.51	-	.26	1.76E-11	7.24E-10
rRNA processing (GO:0006364)	287	9	35.08	-	.26	9.62E-08	1.72E-06
microtubule cytoskeleton organization (GO:0000226)	229	7	27.99	-	.25	1.40E-06	2.08E-05
RNA splicing (GO:0008380)	340	10	41.55	-	.24	1.89E-09	4.79E-08
tRNA modification (GO:0006400)	102	3	12.47	-	.24	2.07E-03	1.27E-02
RNA modification (GO:0009451)	375	11	45.83	-	.24	2.03E-10	6.28E-09
actin filament organization (GO:0007015)	104	3	12.71	-	.24	1.42E-03	9.14E-03
shoot system development (GO:0048367)	70	2	8.55	-	.23	1.02E-02	4.70E-02
rRNA metabolic process (GO:0016072)	318	9	38.86	-	.23	2.96E-09	7.24E-08
reproductive structure development (GO:0048608)	75	2	9.17	-	.22	7.17E-03	3.52E-02
actin cytoskeleton organization (GO:0030036)	113	3	13.81	-	.22	4.86E-04	3.68E-03
reproductive system development (GO:0061458)	77	2	9.41	-	.21	4.92E-03	2.65E-02
microtubule-based process (GO:0007017)	309	8	37.76	-	.21	1.62E-09	4.18E-08
actin filament-based process (GO:0030029)	119	3	14.54	-	.21	3.52E-04	2.92E-03
DNA biosynthetic process (GO:0071897)	80	2	9.78	-	.20	3.42E-03	1.96E-02
regulation of mitotic cell cycle (GO:0007346)	80	2	9.78	-	.20	3.42E-03	1.95E-02
glycerolipid metabolic process (GO:0046486)	203	5	24.81	-	.20	8.86E-07	1.36E-05
dephosphorylation (GO:0016311)	249	6	30.43	-	.20	4.99E-08	9.67E-07
proteasomal protein catabolic process (GO:0010498)	419	10	51.21	-	.20	3.84E-13	1.91E-11
cellular response to heat (GO:0034605)	85	2	10.39	-	.19	2.40E-03	1.45E-02
tRNA processing (GO:0008033)	130	3	15.89	-	.19	7.93E-05	7.63E-04
meiotic cell cycle (GO:0051321)	130	3	15.89	-	.19	7.93E-05	7.57E-04
vacuolar transport (GO:0007034)	90	2	11.00	-	.18	1.75E-03	1.08E-02
sexual reproduction (GO:0019953)	135	3	16.50	-	.18	5.59E-05	5.49E-04
endocytosis (GO:0006897)	144	3	17.60	-	.17	1.82E-05	2.00E-04
nucleotide-excision repair (GO:0006289)	97	2	11.85	-	.17	5.37E-04	4.03E-03
import into cell (GO:0098657)	155	3	18.94	-	.16	6.08E-06	7.37E-05
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	326	6	39.84	-	.15	6.92E-12	3.11E-10
spindle organization (GO:0007051)	109	2	13.32	-	.15	1.79E-04	1.61E-03
supramolecular fiber organization (GO:0097435)	166	3	20.29	-	.15	2.06E-06	2.96E-05
protein deubiquitination (GO:0016579)	113	2	13.81	-	.14	1.26E-04	1.15E-03
macromolecule methylation (GO:0043414)	124	2	15.15	-	.13	2.60E-05	2.79E-04
protein depolymerization (GO:0051261)	62	1	7.58	-	.13	5.59E-03	2.89E-02
clathrin-dependent endocytosis (GO:0072583)	63	1	7.70	-	.13	5.77E-03	2.95E-02
protein modification by small protein removal (GO:0070646)	128	2	15.64	-	.13	1.79E-05	1.98E-04
chromosome segregation (GO:0007059)	139	2	16.99	-	.12	5.86E-06	7.23E-05
ribosomal small subunit biogenesis (GO:0042274)	142	2	17.35	-	.12	3.94E-06	5.08E-05
receptor-mediated endocytosis (GO:0006898)	76	1	9.29	-	.11	1.20E-03	7.88E-03
protein localization to mitochondrion (GO:0070585)	77	1	9.41	-	.11	7.85E-04	5.64E-03
establishment of protein localization to mitochondrion (GO:0072655)	77	1	9.41	-	.11	7.85E-04	5.61E-03
spindle assembly (GO:0051225)	77	1	9.41	-	.11	7.85E-04	5.58E-03
lipid transport (GO:0006869)	81	1	9.90	-	.10	5.29E-04	3.99E-03
nuclear division (GO:0000280)	86	1	10.51	-	.10	3.72E-04	3.07E-03
RNA methylation (GO:0001510)	86	1	10.51	-	.10	3.72E-04	3.05E-03
protein dephosphorylation (GO:0006470)	176	2	21.51	-	.09	5.28E-08	9.95E-07
lipid localization (GO:0010876)	102	1	12.47	-	.08	5.07E-05	5.05E-04
protein-containing complex disassembly (GO:0032984)	110	1	13.44	-	.07	1.49E-05	1.68E-04
organelle fission (GO:0048285)	116	1	14.18	-	.07	1.08E-05	1.26E-04
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	121	1	14.79	-	.07	4.56E-06	5.68E-05
cellular component disassembly (GO:0022411)	167	1	20.41	-	.05	1.68E-08	3.72E-07
negative regulation of cell cycle (GO:0045786)	59	0	7.21	-	 < 0.01	9.65E-04	6.69E-03
purine nucleoside triphosphate biosynthetic process (GO:0009145)	41	0	5.01	-	 < 0.01	7.61E-03	3.69E-02
nucleoside triphosphate biosynthetic process (GO:0009142)	50	0	6.11	-	 < 0.01	3.56E-03	2.02E-02
phosphatidylinositol dephosphorylation (GO:0046856)	55	0	6.72	-	 < 0.01	1.42E-03	9.14E-03
phosphatidylinositol phosphate biosynthetic process (GO:0046854)	42	0	5.13	-	 < 0.01	7.72E-03	3.70E-02
peptidyl-threonine phosphorylation (GO:0018107)	43	0	5.26	-	 < 0.01	8.04E-03	3.83E-02
regulation of transcription elongation by RNA polymerase II (GO:0034243)	45	0	5.50	-	 < 0.01	5.02E-03	2.68E-02
nuclear chromosome segregation (GO:0098813)	67	0	8.19	-	 < 0.01	2.59E-04	2.25E-03
positive regulation of GTPase activity (GO:0043547)	42	0	5.13	-	 < 0.01	7.72E-03	3.69E-02
organelle disassembly (GO:1903008)	80	0	9.78	-	 < 0.01	4.85E-05	4.93E-04
macroautophagy (GO:0016236)	89	0	10.88	-	 < 0.01	1.38E-05	1.57E-04
negative regulation of cell cycle process (GO:0010948)	59	0	7.21	-	 < 0.01	9.65E-04	6.66E-03
RNA transport (GO:0050658)	59	0	7.21	-	 < 0.01	9.65E-04	6.63E-03
nucleic acid transport (GO:0050657)	59	0	7.21	-	 < 0.01	9.65E-04	6.59E-03
phospholipid biosynthetic process (GO:0008654)	143	0	17.48	-	 < 0.01	1.14E-08	2.60E-07
protein import into mitochondrial matrix (GO:0030150)	45	0	5.50	-	 < 0.01	5.02E-03	2.67E-02
sister chromatid segregation (GO:0000819)	52	0	6.36	-	 < 0.01	2.19E-03	1.33E-02
maturation of SSU-rRNA (GO:0030490)	80	0	9.78	-	 < 0.01	4.85E-05	4.90E-04
translational initiation (GO:0006413)	72	0	8.80	-	 < 0.01	1.81E-04	1.62E-03
mRNA export from nucleus (GO:0006406)	45	0	5.50	-	 < 0.01	5.02E-03	2.66E-02
RNA export from nucleus (GO:0006405)	59	0	7.21	-	 < 0.01	9.65E-04	6.56E-03
RNA localization (GO:0006403)	63	0	7.70	-	 < 0.01	6.66E-04	4.91E-03
positive regulation of transcription elongation by RNA polymerase II (GO:0032968)	45	0	5.50	-	 < 0.01	5.02E-03	2.65E-02
phosphatidylinositol metabolic process (GO:0046488)	143	0	17.48	-	 < 0.01	1.14E-08	2.56E-07
glycerophospholipid biosynthetic process (GO:0046474)	121	0	14.79	-	 < 0.01	2.11E-07	3.58E-06
mRNA transport (GO:0051028)	45	0	5.50	-	 < 0.01	5.02E-03	2.64E-02
mitotic nuclear division (GO:0140014)	50	0	6.11	-	 < 0.01	3.56E-03	2.01E-02
regulation of chromosome organization (GO:0033044)	46	0	5.62	-	 < 0.01	5.20E-03	2.72E-02
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	63	0	7.70	-	 < 0.01	6.66E-04	4.88E-03
positive regulation of hydrolase activity (GO:0051345)	47	0	5.74	-	 < 0.01	3.26E-03	1.93E-02
regulation of hydrolase activity (GO:0051336)	64	0	7.82	-	 < 0.01	3.96E-04	3.23E-03
autophagy of mitochondrion (GO:0000422)	50	0	6.11	-	 < 0.01	3.56E-03	2.00E-02
protein processing (GO:0016485)	58	0	7.09	-	 < 0.01	9.27E-04	6.53E-03
oligosaccharide biosynthetic process (GO:0009312)	49	0	5.99	-	 < 0.01	3.37E-03	1.94E-02
negative regulation of mitotic cell cycle (GO:0045930)	44	0	5.38	-	 < 0.01	4.97E-03	2.67E-02
chloroplast organization (GO:0009658)	75	0	9.17	-	 < 0.01	1.18E-04	1.08E-03
plastid organization (GO:0009657)	84	0	10.27	-	 < 0.01	3.25E-05	3.41E-04
transcription initiation at RNA polymerase II promoter (GO:0006367)	54	0	6.60	-	 < 0.01	1.40E-03	9.06E-03
liposaccharide metabolic process (GO:1903509)	55	0	6.72	-	 < 0.01	1.42E-03	9.10E-03
glycolipid metabolic process (GO:0006664)	55	0	6.72	-	 < 0.01	1.42E-03	9.06E-03
phosphatidylinositol biosynthetic process (GO:0006661)	88	0	10.75	-	 < 0.01	2.22E-05	2.40E-04
glycerophospholipid metabolic process (GO:0006650)	178	0	21.75	-	 < 0.01	1.96E-10	6.21E-09
photosynthesis (GO:0015979)	66	0	8.07	-	 < 0.01	4.31E-04	3.43E-03
protein targeting to mitochondrion (GO:0006626)	74	0	9.04	-	 < 0.01	1.13E-04	1.05E-03
negative regulation of mitotic cell cycle phase transition (GO:1901991)	41	0	5.01	-	 < 0.01	7.61E-03	3.68E-02
regulation of mitotic cell cycle phase transition (GO:1901990)	66	0	8.07	-	 < 0.01	4.31E-04	3.41E-03
negative regulation of cell cycle phase transition (GO:1901988)	59	0	7.21	-	 < 0.01	9.65E-04	6.53E-03
regulation of GTPase activity (GO:0043087)	46	0	5.62	-	 < 0.01	5.20E-03	2.71E-02
cell cycle checkpoint signaling (GO:0000075)	56	0	6.84	-	 < 0.01	1.49E-03	9.39E-03
mitotic sister chromatid segregation (GO:0000070)	50	0	6.11	-	 < 0.01	3.56E-03	1.99E-02
pyrimidine-containing compound metabolic process (GO:0072527)	48	0	5.87	-	 < 0.01	3.27E-03	1.91E-02
autophagosome assembly (GO:0000045)	73	0	8.92	-	 < 0.01	1.12E-04	1.05E-03
