




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	non_TAGs_high.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Glycine max - REFLIST (55853)	non_TAGs_high.txt (37331)	non_TAGs_high.txt (expected)	non_TAGs_high.txt (over/under)	non_TAGs_high.txt (fold Enrichment)	non_TAGs_high.txt (raw P-value)	non_TAGs_high.txt (FDR)
negative regulation of mitotic sister chromatid segregation (GO:0033048)	22	22	14.70	+	1.50	1.70E-04	4.68E-04
regulation of mitotic sister chromatid segregation (GO:0033047)	22	22	14.70	+	1.50	1.70E-04	4.67E-04
negative regulation of sister chromatid segregation (GO:0033046)	22	22	14.70	+	1.50	1.70E-04	4.66E-04
carotenoid biosynthetic process (GO:0016117)	13	13	8.69	+	1.50	6.88E-03	1.38E-02
rRNA methylation (GO:0031167)	37	37	24.73	+	1.50	4.80E-07	2.10E-06
negative regulation of mitotic sister chromatid separation (GO:2000816)	22	22	14.70	+	1.50	1.70E-04	4.65E-04
mRNA splice site recognition (GO:0006376)	14	14	9.36	+	1.50	7.41E-03	1.46E-02
negative regulation of chromosome segregation (GO:0051985)	22	22	14.70	+	1.50	1.70E-04	4.64E-04
iron ion transmembrane transport (GO:0034755)	18	18	12.03	+	1.50	1.51E-03	3.36E-03
actin filament depolymerization (GO:0030042)	21	21	14.04	+	1.50	2.79E-04	7.15E-04
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	22	22	14.70	+	1.50	1.70E-04	4.63E-04
regulation of apoptotic process (GO:0042981)	11	11	7.35	+	1.50	2.04E-02	3.71E-02
regulation of microtubule-based process (GO:0032886)	13	13	8.69	+	1.50	6.88E-03	1.37E-02
DNA modification (GO:0006304)	13	13	8.69	+	1.50	6.88E-03	1.37E-02
protein K48-linked deubiquitination (GO:0071108)	13	13	8.69	+	1.50	6.88E-03	1.37E-02
spliceosomal snRNP assembly (GO:0000387)	33	33	22.06	+	1.50	2.34E-06	9.20E-06
mitotic spindle assembly checkpoint signaling (GO:0007094)	22	22	14.70	+	1.50	1.70E-04	4.62E-04
actin polymerization or depolymerization (GO:0008154)	21	21	14.04	+	1.50	2.79E-04	7.14E-04
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	22	22	14.70	+	1.50	1.70E-04	4.61E-04
vacuolar acidification (GO:0007035)	14	14	9.36	+	1.50	7.41E-03	1.46E-02
negative regulation of mitotic nuclear division (GO:0045839)	22	22	14.70	+	1.50	1.70E-04	4.60E-04
pattern specification process (GO:0007389)	23	23	15.37	+	1.50	1.70E-04	4.57E-04
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972)	11	11	7.35	+	1.50	2.04E-02	3.71E-02
amide transport (GO:0042886)	18	18	12.03	+	1.50	1.51E-03	3.36E-03
intermembrane lipid transfer (GO:0120009)	14	14	9.36	+	1.50	7.41E-03	1.45E-02
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	22	22	14.70	+	1.50	1.70E-04	4.60E-04
poly(A)+ mRNA export from nucleus (GO:0016973)	13	13	8.69	+	1.50	6.88E-03	1.37E-02
Golgi to vacuole transport (GO:0006896)	18	18	12.03	+	1.50	1.51E-03	3.35E-03
chloroplast fission (GO:0010020)	14	14	9.36	+	1.50	7.41E-03	1.45E-02
xylan biosynthetic process (GO:0045492)	47	47	31.41	+	1.50	7.23E-09	3.76E-08
water transport (GO:0006833)	26	26	17.38	+	1.50	3.43E-05	1.06E-04
iron ion transport (GO:0006826)	22	22	14.70	+	1.50	1.70E-04	4.59E-04
protein neddylation (GO:0045116)	13	13	8.69	+	1.50	6.88E-03	1.37E-02
positive regulation of organelle organization (GO:0010638)	19	19	12.70	+	1.50	8.30E-04	1.96E-03
regulation of dephosphorylation (GO:0035303)	19	19	12.70	+	1.50	8.30E-04	1.96E-03
NADP metabolic process (GO:0006739)	39	39	26.07	+	1.50	3.17E-07	1.40E-06
lysine biosynthetic process (GO:0009085)	17	17	11.36	+	1.50	1.38E-03	3.11E-03
establishment of protein localization to extracellular region (GO:0035592)	17	17	11.36	+	1.50	1.38E-03	3.10E-03
regulation of autophagy (GO:0010506)	17	17	11.36	+	1.50	1.38E-03	3.10E-03
protein secretion (GO:0009306)	17	17	11.36	+	1.50	1.38E-03	3.09E-03
steroid hormone mediated signaling pathway (GO:0043401)	25	25	16.71	+	1.50	5.64E-05	1.68E-04
regulation of mitotic metaphase/anaphase transition (GO:0030071)	35	35	23.39	+	1.50	1.51E-06	6.14E-06
positive regulation of response to stimulus (GO:0048584)	19	19	12.70	+	1.50	8.30E-04	1.95E-03
mRNA cis splicing, via spliceosome (GO:0045292)	19	19	12.70	+	1.50	8.30E-04	1.95E-03
response to steroid hormone (GO:0048545)	25	25	16.71	+	1.50	5.64E-05	1.68E-04
regionalization (GO:0003002)	19	19	12.70	+	1.50	8.30E-04	1.95E-03
regulation of programmed cell death (GO:0043067)	17	17	11.36	+	1.50	1.38E-03	3.09E-03
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	35	35	23.39	+	1.50	1.51E-06	6.13E-06
Arp2/3 complex-mediated actin nucleation (GO:0034314)	17	17	11.36	+	1.50	1.38E-03	3.08E-03
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	20	20	13.37	+	1.50	4.72E-04	1.17E-03
pyrimidine nucleobase metabolic process (GO:0006206)	20	20	13.37	+	1.50	4.72E-04	1.17E-03
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	20	20	13.37	+	1.50	4.72E-04	1.17E-03
cellular response to steroid hormone stimulus (GO:0071383)	25	25	16.71	+	1.50	5.64E-05	1.67E-04
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	25	25	16.71	+	1.50	5.64E-05	1.67E-04
protein localization to extracellular region (GO:0071692)	17	17	11.36	+	1.50	1.38E-03	3.08E-03
translational initiation (GO:0006413)	72	71	48.12	+	1.48	1.16E-11	7.87E-11
RNA localization (GO:0006403)	63	62	42.11	+	1.47	4.14E-10	2.51E-09
RNA transport (GO:0050658)	59	58	39.43	+	1.47	1.92E-09	1.08E-08
nucleic acid transport (GO:0050657)	59	58	39.43	+	1.47	1.92E-09	1.07E-08
RNA export from nucleus (GO:0006405)	59	58	39.43	+	1.47	1.92E-09	1.07E-08
establishment of RNA localization (GO:0051236)	59	58	39.43	+	1.47	1.92E-09	1.06E-08
microtubule-based movement (GO:0007018)	58	57	38.77	+	1.47	3.20E-09	1.74E-08
phosphatidylinositol dephosphorylation (GO:0046856)	55	54	36.76	+	1.47	8.91E-09	4.53E-08
regulation of chromosome organization (GO:0033044)	46	45	30.75	+	1.46	3.11E-07	1.38E-06
mRNA export from nucleus (GO:0006406)	45	44	30.08	+	1.46	5.26E-07	2.28E-06
mRNA transport (GO:0051028)	45	44	30.08	+	1.46	5.26E-07	2.27E-06
peptidyl-threonine phosphorylation (GO:0018107)	43	42	28.74	+	1.46	8.67E-07	3.64E-06
aspartate family amino acid biosynthetic process (GO:0009067)	43	42	28.74	+	1.46	8.67E-07	3.63E-06
peroxisome organization (GO:0007031)	43	42	28.74	+	1.46	8.67E-07	3.62E-06
regulation of proteolysis (GO:0030162)	40	39	26.74	+	1.46	4.16E-06	1.56E-05
regulation of sister chromatid segregation (GO:0033045)	40	39	26.74	+	1.46	4.16E-06	1.55E-05
regulation of chromosome segregation (GO:0051983)	40	39	26.74	+	1.46	4.16E-06	1.55E-05
regulation of multicellular organismal process (GO:0051239)	39	38	26.07	+	1.46	3.95E-06	1.48E-05
response to organic cyclic compound (GO:0014070)	37	36	24.73	+	1.46	1.08E-05	3.69E-05
tissue development (GO:0009888)	70	68	46.79	+	1.45	6.74E-10	4.00E-09
activation of GTPase activity (GO:0090630)	34	33	22.72	+	1.45	2.90E-05	9.14E-05
glycosyl compound metabolic process (GO:1901657)	33	32	22.06	+	1.45	4.84E-05	1.45E-04
regulation of hydrolase activity (GO:0051336)	64	62	42.78	+	1.45	4.66E-09	2.49E-08
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	63	61	42.11	+	1.45	7.69E-09	3.97E-08
positive regulation of proteolysis (GO:0045862)	31	30	20.72	+	1.45	8.02E-05	2.32E-04
cellular response to organic cyclic compound (GO:0071407)	30	29	20.05	+	1.45	1.30E-04	3.63E-04
protein localization to cytoskeleton (GO:0044380)	29	28	19.38	+	1.44	2.16E-04	5.69E-04
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	28	27	18.71	+	1.44	3.69E-04	9.32E-04
regulation of mRNA processing (GO:0050684)	55	53	36.76	+	1.44	1.48E-07	6.71E-07
nucleoside metabolic process (GO:0009116)	27	26	18.05	+	1.44	3.56E-04	9.04E-04
anaphase-promoting complex-dependent catabolic process (GO:0031145)	27	26	18.05	+	1.44	3.56E-04	9.02E-04
transcription initiation at RNA polymerase II promoter (GO:0006367)	54	52	36.09	+	1.44	2.49E-07	1.12E-06
glycosyl compound catabolic process (GO:1901658)	27	26	18.05	+	1.44	3.56E-04	9.00E-04
autophagy of mitochondrion (GO:0000422)	50	48	33.42	+	1.44	1.08E-06	4.46E-06
regulation of multicellular organismal development (GO:2000026)	25	24	16.71	+	1.44	9.51E-04	2.20E-03
oligosaccharide biosynthetic process (GO:0009312)	49	47	32.75	+	1.44	1.07E-06	4.43E-06
pyrimidine-containing compound metabolic process (GO:0072527)	48	46	32.08	+	1.43	1.69E-06	6.80E-06
phosphatidylinositol metabolic process (GO:0046488)	143	137	95.58	+	1.43	2.11E-17	2.03E-16
actin filament-based process (GO:0030029)	119	114	79.54	+	1.43	1.60E-14	1.39E-13
positive regulation of hydrolase activity (GO:0051345)	47	45	31.41	+	1.43	2.76E-06	1.06E-05
nucleoside catabolic process (GO:0009164)	23	22	15.37	+	1.43	1.56E-03	3.45E-03
regulation of GTPase activity (GO:0043087)	46	44	30.75	+	1.43	4.62E-06	1.70E-05
plant organ development (GO:0099402)	46	44	30.75	+	1.43	4.62E-06	1.69E-05
nucleobase-containing small molecule catabolic process (GO:0034656)	23	22	15.37	+	1.43	1.56E-03	3.44E-03
protein deubiquitination (GO:0016579)	113	108	75.53	+	1.43	1.06E-13	8.70E-13
actin cytoskeleton organization (GO:0030036)	113	108	75.53	+	1.43	1.06E-13	8.65E-13
regulation of transcription elongation by RNA polymerase II (GO:0034243)	45	43	30.08	+	1.43	4.57E-06	1.70E-05
regulation of intracellular pH (GO:0051453)	45	43	30.08	+	1.43	4.57E-06	1.70E-05
positive regulation of transcription elongation by RNA polymerase II (GO:0032968)	45	43	30.08	+	1.43	4.57E-06	1.69E-05
regulation of cellular pH (GO:0030641)	45	43	30.08	+	1.43	4.57E-06	1.69E-05
glucose 6-phosphate metabolic process (GO:0051156)	44	42	29.41	+	1.43	7.23E-06	2.58E-05
regulation of mRNA splicing, via spliceosome (GO:0048024)	44	42	29.41	+	1.43	7.23E-06	2.57E-05
phosphatidylinositol phosphate biosynthetic process (GO:0046854)	42	40	28.07	+	1.42	1.96E-05	6.37E-05
positive regulation of GTPase activity (GO:0043547)	42	40	28.07	+	1.42	1.96E-05	6.35E-05
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)	21	20	14.04	+	1.42	4.14E-03	8.61E-03
clathrin-dependent endocytosis (GO:0072583)	63	60	42.11	+	1.42	1.06E-07	4.91E-07
microtubule depolymerization (GO:0007019)	21	20	14.04	+	1.42	4.14E-03	8.59E-03
actin filament organization (GO:0007015)	104	99	69.51	+	1.42	3.01E-12	2.20E-11
supramolecular fiber organization (GO:0097435)	166	158	110.95	+	1.42	5.70E-19	5.93E-18
protein depolymerization (GO:0051261)	62	59	41.44	+	1.42	9.88E-08	4.61E-07
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	121	115	80.87	+	1.42	7.23E-14	6.07E-13
RNA polymerase II preinitiation complex assembly (GO:0051123)	20	19	13.37	+	1.42	6.99E-03	1.38E-02
maturation of SSU-rRNA (GO:0030490)	80	76	53.47	+	1.42	1.41E-09	8.07E-09
potassium ion transmembrane transport (GO:0071805)	20	19	13.37	+	1.42	6.99E-03	1.38E-02
hormone transport (GO:0009914)	20	19	13.37	+	1.42	6.99E-03	1.38E-02
glycerophospholipid metabolic process (GO:0006650)	178	169	118.97	+	1.42	9.25E-20	9.76E-19
autophagy (GO:0006914)	98	93	65.50	+	1.42	2.05E-11	1.36E-10
process utilizing autophagic mechanism (GO:0061919)	98	93	65.50	+	1.42	2.05E-11	1.35E-10
protein dephosphorylation (GO:0006470)	176	167	117.63	+	1.42	1.47E-19	1.54E-18
tricarboxylic acid cycle (GO:0006099)	39	37	26.07	+	1.42	4.94E-05	1.48E-04
microautophagy (GO:0016237)	19	18	12.70	+	1.42	6.71E-03	1.36E-02
piecemeal microautophagy of the nucleus (GO:0034727)	19	18	12.70	+	1.42	6.71E-03	1.36E-02
polyamine metabolic process (GO:0006595)	38	36	25.40	+	1.42	8.21E-05	2.37E-04
receptor-mediated endocytosis (GO:0006898)	76	72	50.80	+	1.42	5.81E-09	3.04E-08
protein-containing complex disassembly (GO:0032984)	110	104	73.52	+	1.41	3.07E-12	2.23E-11
regulation of RNA splicing (GO:0043484)	55	52	36.76	+	1.41	1.81E-06	7.21E-06
protein modification by small protein removal (GO:0070646)	128	121	85.55	+	1.41	4.51E-14	3.81E-13
aminoglycan metabolic process (GO:0006022)	18	17	12.03	+	1.41	1.08E-02	2.06E-02
post-Golgi vesicle-mediated transport (GO:0006892)	54	51	36.09	+	1.41	1.69E-06	6.78E-06
macroautophagy (GO:0016236)	89	84	59.49	+	1.41	5.37E-10	3.20E-09
phosphatidylinositol biosynthetic process (GO:0006661)	88	83	58.82	+	1.41	8.61E-10	5.02E-09
response to gibberellin (GO:0009739)	35	33	23.39	+	1.41	2.05E-04	5.47E-04
shoot system development (GO:0048367)	70	66	46.79	+	1.41	6.07E-08	2.93E-07
protein localization to cell periphery (GO:1990778)	35	33	23.39	+	1.41	2.05E-04	5.46E-04
regulation of meiotic cell cycle (GO:0051445)	17	16	11.36	+	1.41	1.77E-02	3.26E-02
purine nucleoside catabolic process (GO:0006152)	17	16	11.36	+	1.41	1.77E-02	3.26E-02
protein import into peroxisome matrix (GO:0016558)	17	16	11.36	+	1.41	1.77E-02	3.26E-02
purine nucleoside metabolic process (GO:0042278)	17	16	11.36	+	1.41	1.77E-02	3.25E-02
potassium ion transport (GO:0006813)	50	47	33.42	+	1.41	6.88E-06	2.46E-05
vacuole organization (GO:0007033)	83	78	55.48	+	1.41	5.70E-09	3.00E-08
dephosphorylation (GO:0016311)	249	234	166.43	+	1.41	4.86E-25	6.77E-24
cytoplasmic microtubule organization (GO:0031122)	33	31	22.06	+	1.41	3.32E-04	8.45E-04
RNA splicing (GO:0008380)	340	319	227.25	+	1.40	2.31E-33	4.30E-32
spliceosomal complex assembly (GO:0000245)	32	30	21.39	+	1.40	5.21E-04	1.28E-03
phospholipid biosynthetic process (GO:0008654)	143	134	95.58	+	1.40	1.64E-14	1.41E-13
endoplasmic reticulum organization (GO:0007029)	47	44	31.41	+	1.40	1.78E-05	5.86E-05
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	326	305	217.89	+	1.40	3.69E-31	6.43E-30
retrograde transport, endosome to Golgi (GO:0042147)	31	29	20.72	+	1.40	8.37E-04	1.96E-03
reproductive shoot system development (GO:0090567)	31	29	20.72	+	1.40	8.37E-04	1.95E-03
flower development (GO:0009908)	31	29	20.72	+	1.40	8.37E-04	1.95E-03
regulation of defense response (GO:0031347)	31	29	20.72	+	1.40	8.37E-04	1.95E-03
pyrimidine nucleotide metabolic process (GO:0006220)	31	29	20.72	+	1.40	8.37E-04	1.94E-03
reproductive system development (GO:0061458)	77	72	51.47	+	1.40	3.44E-08	1.71E-07
glycerophospholipid biosynthetic process (GO:0046474)	121	113	80.87	+	1.40	4.33E-12	3.02E-11
response to wounding (GO:0009611)	30	28	20.05	+	1.40	1.37E-03	3.10E-03
reproductive structure development (GO:0048608)	75	70	50.13	+	1.40	8.99E-08	4.23E-07
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	312	291	208.53	+	1.40	3.33E-29	5.11E-28
RNA splicing, via transesterification reactions (GO:0000375)	312	291	208.53	+	1.40	3.33E-29	5.05E-28
regulation of catabolic process (GO:0009894)	118	110	78.87	+	1.39	1.06E-11	7.19E-11
nucleobase-containing compound transport (GO:0015931)	103	96	68.84	+	1.39	2.92E-10	1.81E-09
late endosome to vacuole transport (GO:0045324)	44	41	29.41	+	1.39	7.11E-05	2.07E-04
cortical cytoskeleton organization (GO:0030865)	44	41	29.41	+	1.39	7.11E-05	2.06E-04
autophagosome assembly (GO:0000045)	73	68	48.79	+	1.39	1.35E-07	6.14E-07
ncRNA transcription (GO:0098781)	29	27	19.38	+	1.39	1.33E-03	3.01E-03
mRNA splicing, via spliceosome (GO:0000398)	304	283	203.19	+	1.39	5.01E-28	7.35E-27
endocytosis (GO:0006897)	144	134	96.25	+	1.39	9.33E-14	7.74E-13
import into cell (GO:0098657)	155	144	103.60	+	1.39	1.31E-14	1.14E-13
protein peptidyl-prolyl isomerization (GO:0000413)	56	52	37.43	+	1.39	5.95E-06	2.14E-05
transcription by RNA polymerase I (GO:0006360)	28	26	18.71	+	1.39	2.09E-03	4.53E-03
polyamine biosynthetic process (GO:0006596)	28	26	18.71	+	1.39	2.09E-03	4.52E-03
response to light stimulus (GO:0009416)	140	130	93.57	+	1.39	3.60E-13	2.80E-12
cellular component disassembly (GO:0022411)	167	155	111.62	+	1.39	2.02E-15	1.83E-14
vesicle budding from membrane (GO:0006900)	69	64	46.12	+	1.39	5.22E-07	2.27E-06
system development (GO:0048731)	136	126	90.90	+	1.39	1.38E-12	1.02E-11
multivesicular body sorting pathway (GO:0071985)	40	37	26.74	+	1.38	2.78E-04	7.18E-04
organelle disassembly (GO:1903008)	80	74	53.47	+	1.38	7.35E-08	3.50E-07
endosome transport via multivesicular body sorting pathway (GO:0032509)	40	37	26.74	+	1.38	2.78E-04	7.17E-04
GPI anchor biosynthetic process (GO:0006506)	40	37	26.74	+	1.38	2.78E-04	7.16E-04
GPI anchor metabolic process (GO:0006505)	40	37	26.74	+	1.38	2.78E-04	7.14E-04
response to radiation (GO:0009314)	146	135	97.58	+	1.38	3.06E-13	2.40E-12
positive regulation of DNA-templated transcription, elongation (GO:0032786)	53	49	35.42	+	1.38	1.49E-05	4.95E-05
regulation of DNA-templated transcription elongation (GO:0032784)	53	49	35.42	+	1.38	1.49E-05	4.94E-05
protein transmembrane import into intracellular organelle (GO:0044743)	66	61	44.11	+	1.38	1.28E-06	5.27E-06
positive regulation of cellular component organization (GO:0051130)	26	24	17.38	+	1.38	5.43E-03	1.11E-02
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	26	24	17.38	+	1.38	5.43E-03	1.11E-02
microtubule polymerization or depolymerization (GO:0031109)	39	36	26.07	+	1.38	2.71E-04	7.05E-04
protein quality control for misfolded or incompletely synthesized proteins (GO:0006515)	26	24	17.38	+	1.38	5.43E-03	1.11E-02
ribosomal small subunit biogenesis (GO:0042274)	142	131	94.91	+	1.38	1.16E-12	8.62E-12
microtubule-based process (GO:0007017)	309	285	206.53	+	1.38	2.84E-26	4.09E-25
phospholipid dephosphorylation (GO:0046839)	64	59	42.78	+	1.38	3.17E-06	1.21E-05
cytoskeleton organization (GO:0007010)	369	340	246.63	+	1.38	4.72E-31	8.12E-30
proteasomal protein catabolic process (GO:0010498)	419	386	280.05	+	1.38	5.36E-35	1.02E-33
terpenoid metabolic process (GO:0006721)	76	70	50.80	+	1.38	2.77E-07	1.24E-06
chromosome segregation (GO:0007059)	139	128	92.90	+	1.38	2.70E-12	1.98E-11
post-embryonic development (GO:0009791)	126	116	84.22	+	1.38	2.90E-11	1.90E-10
cell cycle DNA replication (GO:0044786)	25	23	16.71	+	1.38	5.23E-03	1.07E-02
nuclear DNA replication (GO:0033260)	25	23	16.71	+	1.38	5.23E-03	1.07E-02
mRNA processing (GO:0006397)	358	329	239.28	+	1.37	2.48E-29	3.84E-28
cytosolic transport (GO:0016482)	37	34	24.73	+	1.37	6.61E-04	1.60E-03
phospholipid metabolic process (GO:0006644)	244	224	163.08	+	1.37	2.88E-20	3.14E-19
cellular response to heat (GO:0034605)	85	78	56.81	+	1.37	9.20E-08	4.32E-07
endosomal transport (GO:0016197)	97	89	64.83	+	1.37	1.34E-08	6.77E-08
regulation of membrane lipid distribution (GO:0097035)	36	33	24.06	+	1.37	1.06E-03	2.45E-03
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	24	22	16.04	+	1.37	8.15E-03	1.59E-02
positive regulation of catalytic activity (GO:0043085)	60	55	40.10	+	1.37	1.19E-05	4.01E-05
inorganic anion transmembrane transport (GO:0098661)	24	22	16.04	+	1.37	8.15E-03	1.59E-02
Golgi to plasma membrane transport (GO:0006893)	36	33	24.06	+	1.37	1.06E-03	2.44E-03
glycerolipid metabolic process (GO:0046486)	203	186	135.68	+	1.37	8.44E-17	7.90E-16
regulation of mRNA metabolic process (GO:1903311)	118	108	78.87	+	1.37	3.96E-10	2.41E-09
dicarboxylic acid metabolic process (GO:0043648)	94	86	62.83	+	1.37	3.10E-08	1.55E-07
lipoprotein biosynthetic process (GO:0042158)	105	96	70.18	+	1.37	4.30E-09	2.32E-08
lipoprotein metabolic process (GO:0042157)	105	96	70.18	+	1.37	4.30E-09	2.31E-08
protein lipidation (GO:0006497)	105	96	70.18	+	1.37	4.30E-09	2.30E-08
protein processing (GO:0016485)	58	53	38.77	+	1.37	1.79E-05	5.88E-05
transition metal ion transport (GO:0000041)	58	53	38.77	+	1.37	1.79E-05	5.86E-05
signal peptide processing (GO:0006465)	23	21	15.37	+	1.37	1.29E-02	2.44E-02
response to starvation (GO:0042594)	46	42	30.75	+	1.37	2.14E-04	5.65E-04
intracellular signaling cassette (GO:0141124)	69	63	46.12	+	1.37	2.49E-06	9.70E-06
ubiquitin-dependent protein catabolic process (GO:0006511)	550	502	367.61	+	1.37	5.33E-42	1.20E-40
aspartate family amino acid metabolic process (GO:0009066)	57	52	38.10	+	1.36	2.78E-05	8.78E-05
gibberellin metabolic process (GO:0009685)	34	31	22.72	+	1.36	1.58E-03	3.48E-03
protein import into mitochondrial matrix (GO:0030150)	45	41	30.08	+	1.36	2.08E-04	5.52E-04
vacuolar transport (GO:0007034)	90	82	60.15	+	1.36	1.13E-07	5.18E-07
nuclear chromosome segregation (GO:0098813)	67	61	44.78	+	1.36	5.81E-06	2.09E-05
multicellular organism development (GO:0007275)	210	191	140.36	+	1.36	3.00E-16	2.76E-15
nucleosome assembly (GO:0006334)	22	20	14.70	+	1.36	2.08E-02	3.77E-02
liposaccharide metabolic process (GO:1903509)	55	50	36.76	+	1.36	4.29E-05	1.30E-04
membrane protein proteolysis (GO:0033619)	22	20	14.70	+	1.36	2.08E-02	3.77E-02
glycolipid metabolic process (GO:0006664)	55	50	36.76	+	1.36	4.29E-05	1.30E-04
photosynthesis (GO:0015979)	66	60	44.11	+	1.36	9.13E-06	3.17E-05
regulation of mitotic cell cycle phase transition (GO:1901990)	66	60	44.11	+	1.36	9.13E-06	3.16E-05
glycolipid biosynthetic process (GO:0009247)	55	50	36.76	+	1.36	4.29E-05	1.30E-04
positive regulation of molecular function (GO:0044093)	66	60	44.11	+	1.36	9.13E-06	3.15E-05
microtubule cytoskeleton organization (GO:0000226)	229	208	153.06	+	1.36	1.43E-17	1.40E-16
modification-dependent protein catabolic process (GO:0019941)	567	515	378.97	+	1.36	1.68E-41	3.67E-40
hexose metabolic process (GO:0019318)	109	99	72.85	+	1.36	8.20E-09	4.22E-08
spindle organization (GO:0007051)	109	99	72.85	+	1.36	8.20E-09	4.20E-08
regulation of cellular catabolic process (GO:0031329)	87	79	58.15	+	1.36	2.61E-07	1.17E-06
response to extracellular stimulus (GO:0009991)	54	49	36.09	+	1.36	6.52E-05	1.90E-04
