




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	small_families_low_stringency.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Glycine max - REFLIST (55853)	small_families_low_stringency.txt (14397)	small_families_low_stringency.txt (expected)	small_families_low_stringency.txt (over/under)	small_families_low_stringency.txt (fold Enrichment)	small_families_low_stringency.txt (raw P-value)	small_families_low_stringency.txt (FDR)
positive regulation of cell population proliferation (GO:0008284)	4	4	1.03	+	3.88	4.41E-03	8.51E-03
regulation of autophagosome maturation (GO:1901096)	4	4	1.03	+	3.88	4.41E-03	8.50E-03
chromosome separation (GO:0051304)	4	4	1.03	+	3.88	4.41E-03	8.49E-03
homologous chromosome pairing at meiosis (GO:0007129)	4	4	1.03	+	3.88	4.41E-03	8.47E-03
reticulophagy (GO:0061709)	8	8	2.06	+	3.88	1.95E-05	5.50E-05
tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)	4	4	1.03	+	3.88	4.41E-03	8.46E-03
adenosine metabolic process (GO:0046085)	4	4	1.03	+	3.88	4.41E-03	8.45E-03
glycosphingolipid biosynthetic process (GO:0006688)	4	4	1.03	+	3.88	4.41E-03	8.44E-03
DNA methylation (GO:0006306)	4	4	1.03	+	3.88	4.41E-03	8.43E-03
DNA alkylation (GO:0006305)	4	4	1.03	+	3.88	4.41E-03	8.42E-03
DNA modification (GO:0006304)	13	13	3.35	+	3.88	2.21E-08	9.19E-08
nucleus organization (GO:0006997)	16	16	4.12	+	3.88	3.78E-10	1.80E-09
miRNA processing (GO:0035196)	4	4	1.03	+	3.88	4.41E-03	8.40E-03
long-chain fatty acid transport (GO:0015909)	4	4	1.03	+	3.88	4.41E-03	8.39E-03
monoatomic anion transmembrane transport (GO:0098656)	4	4	1.03	+	3.88	4.41E-03	8.38E-03
regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	8	8	2.06	+	3.88	1.95E-05	5.49E-05
metaphase/anaphase transition of mitotic cell cycle (GO:0007091)	4	4	1.03	+	3.88	4.41E-03	8.37E-03
metaphase/anaphase transition of cell cycle (GO:0044784)	4	4	1.03	+	3.88	4.41E-03	8.36E-03
pollen development (GO:0009555)	4	4	1.03	+	3.88	4.41E-03	8.35E-03
lysosome localization (GO:0032418)	4	4	1.03	+	3.88	4.41E-03	8.34E-03
membrane protein ectodomain proteolysis (GO:0006509)	4	4	1.03	+	3.88	4.41E-03	8.33E-03
nucleoside triphosphate catabolic process (GO:0009143)	7	7	1.80	+	3.88	7.55E-05	2.00E-04
regulation of microtubule cytoskeleton organization (GO:0070507)	7	7	1.80	+	3.88	7.55E-05	1.99E-04
cardiolipin biosynthetic process (GO:0032049)	3	3	.77	+	3.88	1.71E-02	2.92E-02
Ras protein signal transduction (GO:0007265)	3	3	.77	+	3.88	1.71E-02	2.91E-02
mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122)	11	11	2.84	+	3.88	3.33E-07	1.24E-06
regulation of translational initiation (GO:0006446)	3	3	.77	+	3.88	1.71E-02	2.91E-02
regulation of cell cycle G1/S phase transition (GO:1902806)	3	3	.77	+	3.88	1.71E-02	2.91E-02
negative regulation of hydrolase activity (GO:0051346)	3	3	.77	+	3.88	1.71E-02	2.90E-02
replication-born double-strand break repair via sister chromatid exchange (GO:1990414)	9	9	2.32	+	3.88	5.01E-06	1.58E-05
positive regulation of mitotic cell cycle (GO:0045931)	9	9	2.32	+	3.88	5.01E-06	1.57E-05
mRNA splice site recognition (GO:0006376)	14	14	3.61	+	3.88	5.69E-09	2.46E-08
transcription elongation by RNA polymerase II (GO:0006368)	24	24	6.19	+	3.88	7.30E-15	5.44E-14
regulation of telomere maintenance (GO:0032204)	6	6	1.55	+	3.88	2.93E-04	7.07E-04
regulation of microtubule polymerization or depolymerization (GO:0031110)	7	7	1.80	+	3.88	7.55E-05	1.99E-04
DNA catabolic process (GO:0006308)	3	3	.77	+	3.88	1.71E-02	2.90E-02
mRNA cis splicing, via spliceosome (GO:0045292)	19	19	4.90	+	3.88	6.45E-12	3.78E-11
cellular response to light stimulus (GO:0071482)	6	6	1.55	+	3.88	2.93E-04	7.06E-04
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	3	3	.77	+	3.88	1.71E-02	2.90E-02
negative regulation of programmed cell death (GO:0043069)	6	6	1.55	+	3.88	2.93E-04	7.04E-04
negative regulation of apoptotic process (GO:0043066)	6	6	1.55	+	3.88	2.93E-04	7.03E-04
endoplasmic reticulum tubular network organization (GO:0071786)	6	6	1.55	+	3.88	2.93E-04	7.02E-04
membrane assembly (GO:0071709)	6	6	1.55	+	3.88	2.93E-04	7.01E-04
aerobic electron transport chain (GO:0019646)	28	28	7.22	+	3.88	3.21E-17	2.96E-16
positive regulation of mitotic nuclear division (GO:0045840)	9	9	2.32	+	3.88	5.01E-06	1.57E-05
endosome organization (GO:0007032)	9	9	2.32	+	3.88	5.01E-06	1.57E-05
primary miRNA processing (GO:0031053)	3	3	.77	+	3.88	1.71E-02	2.89E-02
plasma membrane organization (GO:0007009)	6	6	1.55	+	3.88	2.93E-04	7.00E-04
negative regulation of RNA catabolic process (GO:1902369)	7	7	1.80	+	3.88	7.55E-05	1.99E-04
post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000973)	3	3	.77	+	3.88	1.71E-02	2.89E-02
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	3	3	.77	+	3.88	1.71E-02	2.89E-02
homologous chromosome segregation (GO:0045143)	6	6	1.55	+	3.88	2.93E-04	6.98E-04
tRNA threonylcarbamoyladenosine metabolic process (GO:0070525)	5	5	1.29	+	3.88	1.14E-03	2.47E-03
mitochondrial electron transport, succinate to ubiquinone (GO:0006121)	5	5	1.29	+	3.88	1.14E-03	2.47E-03
RNA stabilization (GO:0043489)	5	5	1.29	+	3.88	1.14E-03	2.46E-03
mitophagy (GO:0000423)	10	10	2.58	+	3.88	1.29E-06	4.38E-06
DNA double-strand break processing (GO:0000729)	5	5	1.29	+	3.88	1.14E-03	2.46E-03
photoreactive repair (GO:0000719)	5	5	1.29	+	3.88	1.14E-03	2.45E-03
nuclear envelope organization (GO:0006998)	10	10	2.58	+	3.88	1.29E-06	4.37E-06
DNA demethylation (GO:0080111)	5	5	1.29	+	3.88	1.14E-03	2.45E-03
protein export from nucleus (GO:0006611)	10	10	2.58	+	3.88	1.29E-06	4.36E-06
fatty acid transport (GO:0015908)	10	10	2.58	+	3.88	1.29E-06	4.35E-06
nuclear membrane organization (GO:0071763)	10	10	2.58	+	3.88	1.29E-06	4.34E-06
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)	21	20	5.41	+	3.69	2.63E-11	1.43E-10
RNA polymerase II preinitiation complex assembly (GO:0051123)	20	19	5.16	+	3.69	9.74E-11	5.09E-10
oxidative phosphorylation (GO:0006119)	40	38	10.31	+	3.69	1.79E-20	2.11E-19
microautophagy (GO:0016237)	19	18	4.90	+	3.68	3.60E-10	1.73E-09
piecemeal microautophagy of the nucleus (GO:0034727)	19	18	4.90	+	3.68	3.60E-10	1.72E-09
ATP synthesis coupled electron transport (GO:0042773)	31	29	7.99	+	3.63	2.16E-15	1.70E-14
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	26	24	6.70	+	3.58	1.34E-12	8.56E-12
protein K11-linked ubiquitination (GO:0070979)	13	12	3.35	+	3.58	8.50E-07	2.93E-06
protein insertion into membrane (GO:0051205)	13	12	3.35	+	3.58	8.50E-07	2.92E-06
polyadenylation-dependent ncRNA catabolic process (GO:0043634)	13	12	3.35	+	3.58	8.50E-07	2.92E-06
protein neddylation (GO:0045116)	13	12	3.35	+	3.58	8.50E-07	2.91E-06
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	24	22	6.19	+	3.56	1.73E-11	9.82E-11
protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043328)	12	11	3.09	+	3.56	3.05E-06	9.75E-06
endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)	11	10	2.84	+	3.53	1.09E-05	3.26E-05
chlorophyll metabolic process (GO:0015994)	11	10	2.84	+	3.53	1.09E-05	3.26E-05
protein N-linked glycosylation via asparagine (GO:0018279)	11	10	2.84	+	3.53	1.09E-05	3.25E-05
respiratory electron transport chain (GO:0022904)	40	36	10.31	+	3.49	1.78E-17	1.65E-16
transcription by RNA polymerase II (GO:0006366)	121	108	31.19	+	3.46	4.17E-49	1.45E-47
positive regulation of protein phosphorylation (GO:0001934)	9	8	2.32	+	3.45	1.35E-04	3.42E-04
mitochondrial respiratory chain complex I assembly (GO:0032981)	9	8	2.32	+	3.45	1.35E-04	3.42E-04
positive regulation of phosphorus metabolic process (GO:0010562)	9	8	2.32	+	3.45	1.35E-04	3.41E-04
positive regulation of phosphorylation (GO:0042327)	9	8	2.32	+	3.45	1.35E-04	3.40E-04
positive regulation of phosphate metabolic process (GO:0045937)	9	8	2.32	+	3.45	1.35E-04	3.40E-04
transcription initiation at RNA polymerase II promoter (GO:0006367)	54	48	13.92	+	3.45	2.34E-22	3.05E-21
positive regulation of protein modification process (GO:0031401)	9	8	2.32	+	3.45	1.35E-04	3.39E-04
mitotic chromosome condensation (GO:0007076)	9	8	2.32	+	3.45	1.35E-04	3.39E-04
meiotic chromosome segregation (GO:0045132)	9	8	2.32	+	3.45	1.35E-04	3.38E-04
replication fork processing (GO:0031297)	8	7	2.06	+	3.39	4.68E-04	1.07E-03
translesion synthesis (GO:0019985)	8	7	2.06	+	3.39	4.68E-04	1.07E-03
protein N-linked glycosylation (GO:0006487)	62	54	15.98	+	3.38	4.93E-24	7.39E-23
electron transport chain (GO:0022900)	69	60	17.79	+	3.37	1.77E-26	3.43E-25
peroxisome organization (GO:0007031)	43	37	11.08	+	3.34	1.72E-16	1.52E-15
protein targeting to ER (GO:0045047)	49	42	12.63	+	3.33	2.03E-18	2.08E-17
DNA synthesis involved in DNA repair (GO:0000731)	14	12	3.61	+	3.33	4.54E-06	1.43E-05
establishment of protein localization to endoplasmic reticulum (GO:0072599)	49	42	12.63	+	3.33	2.03E-18	2.06E-17
endocytic recycling (GO:0032456)	7	6	1.80	+	3.33	1.60E-03	3.38E-03
snRNA processing (GO:0016180)	20	17	5.16	+	3.30	4.81E-08	1.94E-07
snRNA 3'-end processing (GO:0034472)	20	17	5.16	+	3.30	4.81E-08	1.93E-07
spliceosomal snRNP assembly (GO:0000387)	33	28	8.51	+	3.29	1.83E-12	1.15E-11
tRNA wobble uridine modification (GO:0002098)	13	11	3.35	+	3.28	1.52E-05	4.47E-05
poly(A)+ mRNA export from nucleus (GO:0016973)	13	11	3.35	+	3.28	1.52E-05	4.46E-05
protein glycosylation (GO:0006486)	75	63	19.33	+	3.26	5.77E-26	1.07E-24
macromolecule glycosylation (GO:0043413)	75	63	19.33	+	3.26	5.77E-26	1.06E-24
regulation of mitotic sister chromatid separation (GO:0010965)	31	26	7.99	+	3.25	1.98E-11	1.11E-10
regulation of chromosome separation (GO:1905818)	31	26	7.99	+	3.25	1.98E-11	1.11E-10
regulation of mitotic nuclear division (GO:0007088)	31	26	7.99	+	3.25	1.98E-11	1.10E-10
maturation of SSU-rRNA (GO:0030490)	80	67	20.62	+	3.25	2.26E-27	4.70E-26
meiotic DNA double-strand break formation (GO:0042138)	6	5	1.55	+	3.23	5.36E-03	1.00E-02
mitochondrial respiratory chain complex II assembly (GO:0034553)	6	5	1.55	+	3.23	5.36E-03	1.00E-02
microtubule organizing center organization (GO:0031023)	6	5	1.55	+	3.23	5.36E-03	9.99E-03
glycoprotein biosynthetic process (GO:0009101)	76	63	19.59	+	3.22	2.52E-25	4.45E-24
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	63	52	16.24	+	3.20	5.70E-21	7.22E-20
protein import into peroxisome matrix (GO:0016558)	17	14	4.38	+	3.19	1.70E-06	5.66E-06
Arp2/3 complex-mediated actin nucleation (GO:0034314)	17	14	4.38	+	3.19	1.70E-06	5.65E-06
pseudouridine synthesis (GO:0001522)	37	30	9.54	+	3.15	2.95E-12	1.82E-11
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	31	25	7.99	+	3.13	2.52E-10	1.26E-09
regulation of lipid metabolic process (GO:0019216)	5	4	1.29	+	3.10	1.75E-02	2.95E-02
chromosome localization (GO:0050000)	5	4	1.29	+	3.10	1.75E-02	2.94E-02
endosome to lysosome transport (GO:0008333)	5	4	1.29	+	3.10	1.75E-02	2.94E-02
attachment of spindle microtubules to kinetochore (GO:0008608)	5	4	1.29	+	3.10	1.75E-02	2.93E-02
protein insertion into ER membrane (GO:0045048)	5	4	1.29	+	3.10	1.75E-02	2.93E-02
kinetochore organization (GO:0051383)	5	4	1.29	+	3.10	1.75E-02	2.93E-02
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	5	4	1.29	+	3.10	1.75E-02	2.92E-02
metaphase chromosome alignment (GO:0051310)	5	4	1.29	+	3.10	1.75E-02	2.92E-02
establishment of chromosome localization (GO:0051303)	5	4	1.29	+	3.10	1.75E-02	2.92E-02
resolution of meiotic recombination intermediates (GO:0000712)	10	8	2.58	+	3.10	5.21E-04	1.18E-03
alternative mRNA splicing, via spliceosome (GO:0000380)	5	4	1.29	+	3.10	1.75E-02	2.91E-02
mitotic metaphase chromosome alignment (GO:0007080)	5	4	1.29	+	3.10	1.75E-02	2.91E-02
negative regulation of nuclear division (GO:0051784)	24	19	6.19	+	3.07	6.76E-08	2.64E-07
negative regulation of chromosome organization (GO:2001251)	24	19	6.19	+	3.07	6.76E-08	2.63E-07
positive regulation of organelle organization (GO:0010638)	19	15	4.90	+	3.06	1.89E-06	6.21E-06
glycosylation (GO:0070085)	85	67	21.91	+	3.06	2.01E-24	3.23E-23
DNA-templated transcription elongation (GO:0006354)	33	26	8.51	+	3.06	2.82E-10	1.40E-09
regulation of chromosome organization (GO:0033044)	46	36	11.86	+	3.04	1.41E-13	9.91E-13
purine nucleoside triphosphate biosynthetic process (GO:0009145)	41	32	10.57	+	3.03	3.73E-12	2.28E-11
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	41	32	10.57	+	3.03	3.73E-12	2.27E-11
response to UV (GO:0009411)	9	7	2.32	+	3.02	1.63E-03	3.44E-03
microtubule polymerization (GO:0046785)	18	14	4.64	+	3.02	5.81E-06	1.79E-05
regulation of vesicle-mediated transport (GO:0060627)	9	7	2.32	+	3.02	1.63E-03	3.44E-03
snRNA metabolic process (GO:0016073)	36	28	9.28	+	3.02	9.90E-11	5.15E-10
protein polymerization (GO:0051258)	18	14	4.64	+	3.02	5.81E-06	1.78E-05
negative regulation of catabolic process (GO:0009895)	9	7	2.32	+	3.02	1.63E-03	3.43E-03
negative regulation of cellular catabolic process (GO:0031330)	9	7	2.32	+	3.02	1.63E-03	3.43E-03
negative regulation of chromosome separation (GO:1905819)	22	17	5.67	+	3.00	6.38E-07	2.30E-06
negative regulation of mitotic sister chromatid segregation (GO:0033048)	22	17	5.67	+	3.00	6.38E-07	2.30E-06
regulation of mitotic sister chromatid segregation (GO:0033047)	22	17	5.67	+	3.00	6.38E-07	2.29E-06
negative regulation of sister chromatid segregation (GO:0033046)	22	17	5.67	+	3.00	6.38E-07	2.28E-06
negative regulation of mitotic sister chromatid separation (GO:2000816)	22	17	5.67	+	3.00	6.38E-07	2.28E-06
negative regulation of chromosome segregation (GO:0051985)	22	17	5.67	+	3.00	6.38E-07	2.27E-06
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	22	17	5.67	+	3.00	6.38E-07	2.27E-06
mitotic spindle assembly checkpoint signaling (GO:0007094)	22	17	5.67	+	3.00	6.38E-07	2.26E-06
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	22	17	5.67	+	3.00	6.38E-07	2.26E-06
negative regulation of mitotic nuclear division (GO:0045839)	22	17	5.67	+	3.00	6.38E-07	2.25E-06
aspartate family amino acid metabolic process (GO:0009066)	57	44	14.69	+	2.99	6.73E-16	5.62E-15
ATP biosynthetic process (GO:0006754)	39	30	10.05	+	2.98	3.43E-11	1.86E-10
proton motive force-driven ATP synthesis (GO:0015986)	39	30	10.05	+	2.98	3.43E-11	1.85E-10
maturation of 5.8S rRNA (GO:0000460)	51	39	13.15	+	2.97	5.24E-14	3.74E-13
lysine biosynthetic process (GO:0009085)	17	13	4.38	+	2.97	1.77E-05	5.13E-05
RNA localization (GO:0006403)	63	48	16.24	+	2.96	8.16E-17	7.30E-16
DNA replication checkpoint signaling (GO:0000076)	25	19	6.44	+	2.95	2.13E-07	8.07E-07
aerobic respiration (GO:0009060)	104	79	26.81	+	2.95	1.30E-26	2.60E-25
cellular respiration (GO:0045333)	107	81	27.58	+	2.94	4.53E-27	9.29E-26
regulation of nuclear division (GO:0051783)	37	28	9.54	+	2.94	3.06E-10	1.49E-09
negative regulation of mitotic cell cycle phase transition (GO:1901991)	41	31	10.57	+	2.93	3.50E-11	1.88E-10
mRNA export from nucleus (GO:0006406)	45	34	11.60	+	2.93	4.01E-12	2.40E-11
mRNA transport (GO:0051028)	45	34	11.60	+	2.93	4.01E-12	2.39E-11
meiosis I (GO:0007127)	36	27	9.28	+	2.91	9.04E-10	4.20E-09
mitotic DNA replication checkpoint signaling (GO:0033314)	12	9	3.09	+	2.91	5.01E-04	1.14E-03
sphingolipid metabolic process (GO:0006665)	52	39	13.40	+	2.91	1.57E-13	1.09E-12
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	24	18	6.19	+	2.91	6.32E-07	2.29E-06
cotranslational protein targeting to membrane (GO:0006613)	24	18	6.19	+	2.91	6.32E-07	2.29E-06
microtubule nucleation (GO:0007020)	16	12	4.12	+	2.91	5.29E-05	1.42E-04
regulation of sister chromatid segregation (GO:0033045)	40	30	10.31	+	2.91	1.03E-10	5.33E-10
negative regulation of mitotic cell cycle (GO:0045930)	44	33	11.34	+	2.91	1.18E-11	6.78E-11
regulation of chromosome segregation (GO:0051983)	40	30	10.31	+	2.91	1.03E-10	5.31E-10
RNA transport (GO:0050658)	59	44	15.21	+	2.89	6.16E-15	4.69E-14
nucleic acid transport (GO:0050657)	59	44	15.21	+	2.89	6.16E-15	4.66E-14
RNA export from nucleus (GO:0006405)	59	44	15.21	+	2.89	6.16E-15	4.64E-14
establishment of RNA localization (GO:0051236)	59	44	15.21	+	2.89	6.16E-15	4.61E-14
meiotic nuclear division (GO:0140013)	39	29	10.05	+	2.88	3.02E-10	1.48E-09
meiosis I cell cycle process (GO:0061982)	39	29	10.05	+	2.88	3.02E-10	1.47E-09
regulation of mitotic metaphase/anaphase transition (GO:0030071)	35	26	9.02	+	2.88	2.64E-09	1.18E-08
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	35	26	9.02	+	2.88	2.64E-09	1.17E-08
protein transmembrane import into intracellular organelle (GO:0044743)	66	49	17.01	+	2.88	2.42E-16	2.11E-15
iron-sulfur cluster assembly (GO:0016226)	27	20	6.96	+	2.87	2.07E-07	7.90E-07
signal peptide processing (GO:0006465)	23	17	5.93	+	2.87	1.85E-06	6.12E-06
purine nucleobase metabolic process (GO:0006144)	19	14	4.90	+	2.86	1.68E-05	4.90E-05
intracellular protein transmembrane transport (GO:0065002)	38	28	9.80	+	2.86	8.75E-10	4.08E-09
reciprocal meiotic recombination (GO:0007131)	34	25	8.76	+	2.85	7.67E-09	3.30E-08
homologous recombination (GO:0035825)	34	25	8.76	+	2.85	7.67E-09	3.29E-08
reciprocal homologous recombination (GO:0140527)	34	25	8.76	+	2.85	7.67E-09	3.28E-08
mitotic cell cycle checkpoint signaling (GO:0007093)	41	30	10.57	+	2.84	2.89E-10	1.42E-09
negative regulation of cell cycle (GO:0045786)	59	43	15.21	+	2.83	4.94E-14	3.59E-13
negative regulation of cell cycle process (GO:0010948)	59	43	15.21	+	2.83	4.94E-14	3.57E-13
negative regulation of cell cycle phase transition (GO:1901988)	59	43	15.21	+	2.83	4.94E-14	3.55E-13
glycosyl compound metabolic process (GO:1901657)	33	24	8.51	+	2.82	2.20E-08	9.19E-08
peptide catabolic process (GO:0043171)	11	8	2.84	+	2.82	1.48E-03	3.14E-03
cell cycle DNA replication (GO:0044786)	25	18	6.44	+	2.79	1.71E-06	5.68E-06
nuclear DNA replication (GO:0033260)	25	18	6.44	+	2.79	1.71E-06	5.66E-06
meiotic cell cycle process (GO:1903046)	57	41	14.69	+	2.79	3.97E-13	2.67E-12
mitochondrial respiratory chain complex assembly (GO:0033108)	32	23	8.25	+	2.79	6.25E-08	2.45E-07
rRNA modification (GO:0000154)	60	43	15.47	+	2.78	1.31E-13	9.21E-13
ceramide biosynthetic process (GO:0046513)	21	15	5.41	+	2.77	1.52E-05	4.46E-05
mitochondrial proton-transporting ATP synthase complex assembly (GO:0033615)	7	5	1.80	+	2.77	1.48E-02	2.55E-02
cell cycle checkpoint signaling (GO:0000075)	56	40	14.43	+	2.77	1.11E-12	7.19E-12
RNA methylation (GO:0001510)	86	61	22.17	+	2.75	2.35E-18	2.34E-17
tetrapyrrole metabolic process (GO:0033013)	34	24	8.76	+	2.74	5.64E-08	2.26E-07
tRNA metabolic process (GO:0006399)	248	175	63.93	+	2.74	2.21E-49	7.90E-48
rRNA methylation (GO:0031167)	37	26	9.54	+	2.73	1.82E-08	7.61E-08
ncRNA metabolic process (GO:0034660)	574	402	147.96	+	2.72	3.58E-110	3.33E-108
post-translational protein targeting to endoplasmic reticulum membrane (GO:0006620)	20	14	5.16	+	2.72	4.27E-05	1.16E-04
COPII-coated vesicle budding (GO:0090114)	20	14	5.16	+	2.72	4.27E-05	1.16E-04
energy derivation by oxidation of organic compounds (GO:0015980)	116	81	29.90	+	2.71	3.53E-23	5.07E-22
aspartate family amino acid biosynthetic process (GO:0009067)	43	30	11.08	+	2.71	1.89E-09	8.48E-09
nuclear export (GO:0051168)	89	62	22.94	+	2.70	5.27E-18	5.21E-17
DNA strand elongation involved in DNA replication (GO:0006271)	23	16	5.93	+	2.70	1.34E-05	3.96E-05
macromolecule methylation (GO:0043414)	124	86	31.96	+	2.69	3.41E-24	5.17E-23
rRNA processing (GO:0006364)	287	199	73.98	+	2.69	5.35E-54	2.33E-52
positive regulation of cell cycle (GO:0045787)	13	9	3.35	+	2.69	1.26E-03	2.70E-03
positive regulation of cell cycle process (GO:0090068)	13	9	3.35	+	2.69	1.26E-03	2.69E-03
tricarboxylic acid cycle (GO:0006099)	39	27	10.05	+	2.69	1.60E-08	6.75E-08
liposaccharide metabolic process (GO:1903509)	55	38	14.18	+	2.68	2.08E-11	1.15E-10
glycolipid metabolic process (GO:0006664)	55	38	14.18	+	2.68	2.08E-11	1.15E-10
glycolipid biosynthetic process (GO:0009247)	55	38	14.18	+	2.68	2.08E-11	1.14E-10
glycoprotein metabolic process (GO:0009100)	97	67	25.00	+	2.68	5.03E-19	5.53E-18
DNA-templated DNA replication (GO:0006261)	126	87	32.48	+	2.68	3.03E-24	4.64E-23
sphingolipid biosynthetic process (GO:0030148)	42	29	10.83	+	2.68	5.16E-09	2.25E-08
protein import into mitochondrial matrix (GO:0030150)	45	31	11.60	+	2.67	1.66E-09	7.55E-09
rRNA metabolic process (GO:0016072)	318	219	81.97	+	2.67	1.83E-58	8.51E-57
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	16	11	4.12	+	2.67	3.81E-04	8.90E-04
porphyrin-containing compound metabolic process (GO:0006778)	32	22	8.25	+	2.67	4.24E-07	1.55E-06
mitotic G2/M transition checkpoint (GO:0044818)	16	11	4.12	+	2.67	3.81E-04	8.89E-04
negative regulation of cell cycle G2/M phase transition (GO:1902750)	16	11	4.12	+	2.67	3.81E-04	8.87E-04
mitochondrial RNA processing (GO:0000963)	16	11	4.12	+	2.67	3.81E-04	8.86E-04
tRNA modification (GO:0006400)	102	70	26.29	+	2.66	1.45E-19	1.63E-18
ncRNA processing (GO:0034470)	446	306	114.96	+	2.66	1.45E-80	8.10E-79
tRNA processing (GO:0008033)	130	89	33.51	+	2.66	2.35E-24	3.73E-23
mitotic DNA integrity checkpoint signaling (GO:0044774)	19	13	4.90	+	2.65	1.17E-04	3.01E-04
arginine metabolic process (GO:0006525)	19	13	4.90	+	2.65	1.17E-04	3.01E-04
protein transmembrane transport (GO:0071806)	98	67	25.26	+	2.65	1.19E-18	1.23E-17
membrane lipid metabolic process (GO:0006643)	107	73	27.58	+	2.65	4.16E-20	4.84E-19
late endosome to vacuole transport (GO:0045324)	44	30	11.34	+	2.65	4.47E-09	1.96E-08
alcohol biosynthetic process (GO:0046165)	53	36	13.66	+	2.64	1.50E-10	7.59E-10
retrograde transport, endosome to Golgi (GO:0042147)	31	21	7.99	+	2.63	1.14E-06	3.88E-06
establishment of protein localization to organelle (GO:0072594)	282	191	72.69	+	2.63	1.91E-49	7.02E-48
mRNA catabolic process (GO:0006402)	111	75	28.61	+	2.62	3.14E-20	3.68E-19
GPI anchor biosynthetic process (GO:0006506)	40	27	10.31	+	2.62	3.71E-08	1.51E-07
GPI anchor metabolic process (GO:0006505)	40	27	10.31	+	2.62	3.71E-08	1.51E-07
RNA 3'-end processing (GO:0031123)	83	56	21.39	+	2.62	1.97E-15	1.55E-14
