




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	large_families_low_stringency.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Glycine max - REFLIST (55853)	large_families_low_stringency.txt (31045)	large_families_low_stringency.txt (expected)	large_families_low_stringency.txt (over/under)	large_families_low_stringency.txt (fold Enrichment)	large_families_low_stringency.txt (raw P-value)	large_families_low_stringency.txt (FDR)
hormone metabolic process (GO:0042445)	81	80	45.02	+	1.78	1.73E-19	2.24E-18
reproductive structure development (GO:0048608)	75	74	41.69	+	1.78	7.28E-18	8.60E-17
phytosteroid metabolic process (GO:0016128)	34	33	18.90	+	1.75	7.26E-08	3.71E-07
fruit development (GO:0010154)	31	30	17.23	+	1.74	4.30E-07	1.86E-06
amino acid transport (GO:0006865)	170	164	94.49	+	1.74	3.60E-34	8.96E-33
extracellular matrix organization (GO:0030198)	27	26	15.01	+	1.73	4.83E-06	1.84E-05
seed development (GO:0048316)	27	26	15.01	+	1.73	4.83E-06	1.83E-05
extracellular structure organization (GO:0043062)	27	26	15.01	+	1.73	4.83E-06	1.83E-05
reproductive system development (GO:0061458)	77	74	42.80	+	1.73	9.67E-16	1.04E-14
biological process involved in interspecies interaction between organisms (GO:0044419)	280	269	155.63	+	1.73	5.78E-54	2.60E-52
response to external biotic stimulus (GO:0043207)	271	260	150.63	+	1.73	6.34E-52	2.52E-50
response to other organism (GO:0051707)	271	260	150.63	+	1.73	6.34E-52	2.45E-50
response to biotic stimulus (GO:0009607)	271	260	150.63	+	1.73	6.34E-52	2.39E-50
defense response to other organism (GO:0098542)	271	260	150.63	+	1.73	6.34E-52	2.33E-50
amino acid transmembrane transport (GO:0003333)	143	137	79.48	+	1.72	1.68E-27	3.16E-26
xylan biosynthetic process (GO:0045492)	47	45	26.12	+	1.72	8.79E-10	5.62E-09
plant organ development (GO:0099402)	46	44	25.57	+	1.72	1.56E-09	9.61E-09
protein phosphorylation (GO:0006468)	986	943	548.05	+	1.72	2.88E-183	1.34E-180
mitochondrial RNA modification (GO:1900864)	22	21	12.23	+	1.72	5.22E-05	1.66E-04
polysaccharide biosynthetic process (GO:0000271)	131	125	72.81	+	1.72	9.44E-25	1.60E-23
phospholipid dephosphorylation (GO:0046839)	64	61	35.57	+	1.71	1.86E-12	1.57E-11
mitochondrial mRNA modification (GO:0080156)	21	20	11.67	+	1.71	9.22E-05	2.86E-04
microtubule depolymerization (GO:0007019)	21	20	11.67	+	1.71	9.22E-05	2.85E-04
cell wall organization or biogenesis (GO:0071554)	226	215	125.62	+	1.71	2.82E-41	9.14E-40
regulation of multicellular organismal process (GO:0051239)	39	37	21.68	+	1.71	9.20E-08	4.58E-07
actin filament bundle organization (GO:0061572)	38	36	21.12	+	1.70	1.67E-07	7.92E-07
actin filament bundle assembly (GO:0051017)	38	36	21.12	+	1.70	1.67E-07	7.89E-07
protein peptidyl-prolyl isomerization (GO:0000413)	56	53	31.13	+	1.70	1.00E-10	7.27E-10
phosphatidylinositol dephosphorylation (GO:0046856)	55	52	30.57	+	1.70	1.77E-10	1.23E-09
defense response (GO:0006952)	344	325	191.21	+	1.70	1.46E-59	7.84E-58
post-embryonic development (GO:0009791)	126	119	70.04	+	1.70	2.11E-22	3.16E-21
phosphorylation (GO:0016310)	1054	995	585.85	+	1.70	2.28E-180	7.95E-178
developmental process involved in reproduction (GO:0003006)	87	82	48.36	+	1.70	1.42E-15	1.52E-14
gibberellin metabolic process (GO:0009685)	34	32	18.90	+	1.69	9.48E-07	3.93E-06
phosphate ion transport (GO:0006817)	34	32	18.90	+	1.69	9.48E-07	3.92E-06
cell wall biogenesis (GO:0042546)	149	140	82.82	+	1.69	1.65E-25	2.87E-24
phospholipid catabolic process (GO:0009395)	33	31	18.34	+	1.69	1.65E-06	6.58E-06
polysaccharide metabolic process (GO:0005976)	214	201	118.95	+	1.69	3.63E-36	9.55E-35
organic acid transmembrane transport (GO:1903825)	163	153	90.60	+	1.69	1.08E-27	2.10E-26
carboxylic acid transmembrane transport (GO:1905039)	163	153	90.60	+	1.69	1.08E-27	2.07E-26
glucan metabolic process (GO:0044042)	114	107	63.37	+	1.69	1.06E-19	1.37E-18
peptidyl-threonine phosphorylation (GO:0018107)	43	40	23.90	+	1.67	9.23E-08	4.58E-07
peptidyl-serine phosphorylation (GO:0018105)	173	160	96.16	+	1.66	6.19E-27	1.14E-25
peptidyl-serine modification (GO:0018209)	173	160	96.16	+	1.66	6.19E-27	1.12E-25
calcium ion transmembrane transport (GO:0070588)	64	59	35.57	+	1.66	1.74E-10	1.21E-09
protein dephosphorylation (GO:0006470)	176	162	97.83	+	1.66	1.80E-26	3.17E-25
regulation of multicellular organismal development (GO:2000026)	25	23	13.90	+	1.66	1.45E-04	4.28E-04
system development (GO:0048731)	136	125	75.59	+	1.65	1.09E-20	1.46E-19
DNA geometric change (GO:0032392)	86	79	47.80	+	1.65	1.98E-13	1.81E-12
DNA duplex unwinding (GO:0032508)	86	79	47.80	+	1.65	1.98E-13	1.80E-12
oligosaccharide biosynthetic process (GO:0009312)	49	45	27.24	+	1.65	4.72E-08	2.48E-07
carbohydrate transport (GO:0008643)	61	56	33.91	+	1.65	9.00E-10	5.73E-09
response to external stimulus (GO:0009605)	347	318	192.87	+	1.65	5.56E-50	1.94E-48
shoot system development (GO:0048367)	70	64	38.91	+	1.64	9.14E-11	6.78E-10
tissue development (GO:0009888)	70	64	38.91	+	1.64	9.14E-11	6.74E-10
microtubule-based movement (GO:0007018)	58	53	32.24	+	1.64	4.74E-09	2.83E-08
autophagosome maturation (GO:0097352)	23	21	12.78	+	1.64	4.46E-04	1.22E-03
multicellular organismal process (GO:0032501)	218	199	121.17	+	1.64	6.27E-31	1.41E-29
carboxylic acid transport (GO:0046942)	202	184	112.28	+	1.64	1.45E-28	2.93E-27
organic acid transport (GO:0015849)	202	184	112.28	+	1.64	1.45E-28	2.89E-27
multicellular organism development (GO:0007275)	210	191	116.73	+	1.64	2.47E-29	5.14E-28
programmed cell death (GO:0012501)	22	20	12.23	+	1.64	7.81E-04	1.98E-03
cell death (GO:0008219)	22	20	12.23	+	1.64	7.81E-04	1.98E-03
developmental growth (GO:0048589)	22	20	12.23	+	1.64	7.81E-04	1.98E-03
cell growth (GO:0016049)	22	20	12.23	+	1.64	7.81E-04	1.97E-03
developmental growth involved in morphogenesis (GO:0060560)	22	20	12.23	+	1.64	7.81E-04	1.97E-03
growth (GO:0040007)	22	20	12.23	+	1.64	7.81E-04	1.97E-03
unidimensional cell growth (GO:0009826)	22	20	12.23	+	1.64	7.81E-04	1.96E-03
anatomical structure development (GO:0048856)	298	270	165.64	+	1.63	3.77E-40	1.17E-38
response to salt stress (GO:0009651)	82	74	45.58	+	1.62	1.23E-11	9.68E-11
cellular response to endogenous stimulus (GO:0071495)	139	125	77.26	+	1.62	1.37E-18	1.69E-17
hormone-mediated signaling pathway (GO:0009755)	137	123	76.15	+	1.62	3.90E-18	4.69E-17
cellular response to hormone stimulus (GO:0032870)	137	123	76.15	+	1.62	3.90E-18	4.65E-17
dephosphorylation (GO:0016311)	249	223	138.40	+	1.61	1.55E-31	3.53E-30
spindle elongation (GO:0051231)	19	17	10.56	+	1.61	2.22E-03	5.06E-03
calcium ion transport (GO:0006816)	66	59	36.69	+	1.61	5.22E-09	3.09E-08
developmental process (GO:0032502)	421	376	234.01	+	1.61	1.65E-51	5.91E-50
mitotic cell cycle phase transition (GO:0044772)	93	83	51.69	+	1.61	2.66E-12	2.22E-11
cell cycle phase transition (GO:0044770)	93	83	51.69	+	1.61	2.66E-12	2.21E-11
response to organic cyclic compound (GO:0014070)	37	33	20.57	+	1.60	1.68E-05	5.79E-05
detoxification (GO:0098754)	37	33	20.57	+	1.60	1.68E-05	5.77E-05
response to toxic substance (GO:0009636)	37	33	20.57	+	1.60	1.68E-05	5.76E-05
cellular response to oxygen-containing compound (GO:1901701)	129	115	71.70	+	1.60	1.49E-16	1.66E-15
external encapsulating structure organization (GO:0045229)	73	65	40.58	+	1.60	8.08E-10	5.21E-09
carbohydrate phosphorylation (GO:0046835)	18	16	10.01	+	1.60	3.74E-03	8.05E-03
regulation of protein serine/threonine kinase activity (GO:0071900)	80	71	44.47	+	1.60	2.14E-10	1.46E-09
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	80	71	44.47	+	1.60	2.14E-10	1.45E-09
positive regulation of DNA-templated transcription, elongation (GO:0032786)	53	47	29.46	+	1.60	2.57E-07	1.16E-06
regulation of DNA-templated transcription elongation (GO:0032784)	53	47	29.46	+	1.60	2.57E-07	1.16E-06
secondary metabolic process (GO:0019748)	59	52	32.79	+	1.59	1.07E-07	5.26E-07
steroid biosynthetic process (GO:0006694)	59	52	32.79	+	1.59	1.07E-07	5.24E-07
response to osmotic stress (GO:0006970)	84	74	46.69	+	1.58	1.63E-10	1.14E-09
protein hydroxylation (GO:0018126)	25	22	13.90	+	1.58	8.88E-04	2.20E-03
P-body assembly (GO:0033962)	25	22	13.90	+	1.58	8.88E-04	2.20E-03
response to light stimulus (GO:0009416)	140	123	77.82	+	1.58	2.93E-16	3.21E-15
cell division (GO:0051301)	74	65	41.13	+	1.58	2.84E-09	1.72E-08
cell fate commitment (GO:0045165)	41	36	22.79	+	1.58	1.26E-05	4.44E-05
diterpenoid metabolic process (GO:0016101)	40	35	22.23	+	1.57	2.06E-05	6.94E-05
DNA unwinding involved in DNA replication (GO:0006268)	16	14	8.89	+	1.57	1.05E-02	2.04E-02
carbohydrate biosynthetic process (GO:0016051)	207	181	115.06	+	1.57	6.09E-23	9.23E-22
protein depolymerization (GO:0051261)	62	54	34.46	+	1.57	1.30E-07	6.25E-07
response to endogenous stimulus (GO:0009719)	199	173	110.61	+	1.56	1.93E-21	2.77E-20
response to hormone (GO:0009725)	197	171	109.50	+	1.56	5.05E-21	6.90E-20
regulation of transcription elongation by RNA polymerase II (GO:0034243)	45	39	25.01	+	1.56	1.38E-05	4.81E-05
positive regulation of transcription elongation by RNA polymerase II (GO:0032968)	45	39	25.01	+	1.56	1.38E-05	4.79E-05
phospholipid translocation (GO:0045332)	30	26	16.68	+	1.56	3.76E-04	1.04E-03
establishment or maintenance of cell polarity (GO:0007163)	30	26	16.68	+	1.56	3.76E-04	1.03E-03
cellular response to organic cyclic compound (GO:0071407)	30	26	16.68	+	1.56	3.76E-04	1.03E-03
regulation of kinase activity (GO:0043549)	82	71	45.58	+	1.56	2.25E-09	1.38E-08
regulation of protein kinase activity (GO:0045859)	82	71	45.58	+	1.56	2.25E-09	1.37E-08
potassium ion transport (GO:0006813)	50	43	27.79	+	1.55	5.83E-06	2.15E-05
DNA conformation change (GO:0071103)	92	79	51.14	+	1.54	6.53E-10	4.27E-09
response to oxygen-containing compound (GO:1901700)	302	259	167.86	+	1.54	2.28E-29	4.90E-28
intracellular signaling cassette (GO:0141124)	69	59	38.35	+	1.54	1.55E-07	7.41E-07
cell differentiation (GO:0030154)	186	159	103.39	+	1.54	2.97E-18	3.59E-17
steroid metabolic process (GO:0008202)	103	88	57.25	+	1.54	1.17E-10	8.38E-10
secondary metabolite biosynthetic process (GO:0044550)	48	41	26.68	+	1.54	1.50E-05	5.20E-05
sterol metabolic process (GO:0016125)	100	85	55.58	+	1.53	4.63E-10	3.09E-09
telomere maintenance via telomerase (GO:0007004)	66	56	36.69	+	1.53	6.33E-07	2.69E-06
cell wall organization (GO:0071555)	46	39	25.57	+	1.53	3.84E-05	1.24E-04
cellular response to lipid (GO:0071396)	92	78	51.14	+	1.53	4.73E-09	2.83E-08
organic anion transport (GO:0015711)	234	198	130.07	+	1.52	2.98E-21	4.20E-20
cellular developmental process (GO:0048869)	188	159	104.50	+	1.52	3.38E-17	3.89E-16
regulation of transferase activity (GO:0051338)	84	71	46.69	+	1.52	2.78E-08	1.51E-07
carbohydrate catabolic process (GO:0016052)	205	173	113.95	+	1.52	2.55E-18	3.12E-17
regulation of pH (GO:0006885)	89	75	49.47	+	1.52	1.14E-08	6.59E-08
response to radiation (GO:0009314)	146	123	81.15	+	1.52	2.56E-13	2.30E-12
steroid hormone mediated signaling pathway (GO:0043401)	25	21	13.90	+	1.51	4.10E-03	8.75E-03
response to steroid hormone (GO:0048545)	25	21	13.90	+	1.51	4.10E-03	8.74E-03
cellular response to steroid hormone stimulus (GO:0071383)	25	21	13.90	+	1.51	4.10E-03	8.73E-03
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	55	46	30.57	+	1.50	1.57E-05	5.44E-05
mitotic spindle organization (GO:0007052)	55	46	30.57	+	1.50	1.57E-05	5.43E-05
telomere maintenance via telomere lengthening (GO:0010833)	67	56	37.24	+	1.50	1.64E-06	6.57E-06
regulation of cell shape (GO:0008360)	24	20	13.34	+	1.50	6.55E-03	1.34E-02
iron ion transmembrane transport (GO:0034755)	18	15	10.01	+	1.50	1.78E-02	3.27E-02
glycolytic process (GO:0006096)	89	74	49.47	+	1.50	4.58E-08	2.42E-07
negative regulation of DNA recombination (GO:0045910)	23	19	12.78	+	1.49	1.04E-02	2.03E-02
pattern specification process (GO:0007389)	23	19	12.78	+	1.49	1.04E-02	2.03E-02
siRNA processing (GO:0030422)	17	14	9.45	+	1.48	2.82E-02	4.97E-02
response to reactive oxygen species (GO:0000302)	84	69	46.69	+	1.48	4.06E-07	1.78E-06
regulation of developmental process (GO:0050793)	145	119	80.60	+	1.48	2.17E-11	1.67E-10
signal transduction (GO:0007165)	768	630	426.88	+	1.48	9.10E-55	4.23E-53
signaling (GO:0023052)	770	630	427.99	+	1.47	7.51E-54	3.17E-52
protein palmitoylation (GO:0018345)	44	36	24.46	+	1.47	3.70E-04	1.02E-03
cellular response to chemical stimulus (GO:0070887)	263	215	146.18	+	1.47	4.03E-19	5.11E-18
anatomical structure morphogenesis (GO:0009653)	76	62	42.24	+	1.47	2.39E-06	9.18E-06
diterpenoid biosynthetic process (GO:0016102)	27	22	15.01	+	1.47	6.30E-03	1.29E-02
cell communication (GO:0007154)	806	655	448.00	+	1.46	7.19E-54	3.13E-52
lipid translocation (GO:0034204)	32	26	17.79	+	1.46	3.74E-03	8.05E-03
carbohydrate metabolic process (GO:0005975)	506	411	281.25	+	1.46	3.03E-34	7.67E-33
response to chemical (GO:0042221)	550	446	305.71	+	1.46	1.24E-36	3.34E-35
regulation of DNA-templated transcription (GO:0006355)	1498	1213	832.64	+	1.46	1.59E-97	1.84E-95
regulation of RNA biosynthetic process (GO:2001141)	1498	1213	832.64	+	1.46	1.59E-97	1.70E-95
actin filament depolymerization (GO:0030042)	21	17	11.67	+	1.46	2.58E-02	4.56E-02
actin polymerization or depolymerization (GO:0008154)	21	17	11.67	+	1.46	2.58E-02	4.56E-02
lipid modification (GO:0030258)	156	126	86.71	+	1.45	4.31E-11	3.24E-10
response to organic substance (GO:0010033)	377	304	209.55	+	1.45	1.54E-24	2.55E-23
response to lipid (GO:0033993)	123	99	68.37	+	1.45	8.74E-09	5.10E-08
metal ion transport (GO:0030001)	210	169	116.73	+	1.45	4.52E-14	4.34E-13
glutathione metabolic process (GO:0006749)	87	70	48.36	+	1.45	1.34E-06	5.44E-06
cellular response to oxidative stress (GO:0034599)	46	37	25.57	+	1.45	5.38E-04	1.43E-03
monoatomic ion homeostasis (GO:0050801)	244	196	135.62	+	1.45	4.88E-16	5.32E-15
chaperone cofactor-dependent protein refolding (GO:0051085)	66	53	36.69	+	1.44	3.23E-05	1.06E-04
cellular response to organic substance (GO:0071310)	176	141	97.83	+	1.44	9.23E-12	7.40E-11
chemical homeostasis (GO:0048878)	330	264	183.43	+	1.44	1.25E-20	1.66E-19
response to gibberellin (GO:0009739)	35	28	19.45	+	1.44	3.43E-03	7.42E-03
regulation of transcription by RNA polymerase II (GO:0006357)	820	656	455.78	+	1.44	2.24E-49	7.63E-48
endocytosis (GO:0006897)	144	115	80.04	+	1.44	1.21E-09	7.55E-09
lipid homeostasis (GO:0055088)	59	47	32.79	+	1.43	1.83E-04	5.32E-04
purine ribonucleotide catabolic process (GO:0009154)	93	74	51.69	+	1.43	1.70E-06	6.75E-06
ribonucleotide catabolic process (GO:0009261)	93	74	51.69	+	1.43	1.70E-06	6.73E-06
nucleoside diphosphate catabolic process (GO:0009134)	107	85	59.47	+	1.43	4.04E-07	1.78E-06
clathrin-dependent endocytosis (GO:0072583)	63	50	35.02	+	1.43	1.09E-04	3.30E-04
transmembrane transport (GO:0055085)	993	787	551.94	+	1.43	6.16E-56	2.96E-54
monoatomic cation homeostasis (GO:0055080)	231	183	128.40	+	1.43	5.95E-14	5.64E-13
response to abscisic acid (GO:0009737)	62	49	34.46	+	1.42	1.63E-04	4.78E-04
peptidyl-amino acid modification (GO:0018193)	419	331	232.89	+	1.42	1.21E-23	1.96E-22
receptor-mediated endocytosis (GO:0006898)	76	60	42.24	+	1.42	2.50E-05	8.37E-05
phosphate-containing compound metabolic process (GO:0006796)	1910	1506	1061.64	+	1.42	9.59E-104	1.21E-101
phospholipid transport (GO:0015914)	33	26	18.34	+	1.42	7.84E-03	1.56E-02
phosphorus metabolic process (GO:0006793)	1934	1523	1074.98	+	1.42	4.58E-104	6.38E-102
import into cell (GO:0098657)	155	122	86.15	+	1.42	2.84E-09	1.71E-08
regulation of RNA metabolic process (GO:0051252)	1632	1284	907.12	+	1.42	4.71E-87	4.37E-85
glutamate metabolic process (GO:0006536)	28	22	15.56	+	1.41	2.07E-02	3.72E-02
nucleoside diphosphate metabolic process (GO:0009132)	116	91	64.48	+	1.41	4.45E-07	1.91E-06
heterochromatin organization (GO:0070828)	37	29	20.57	+	1.41	4.73E-03	9.94E-03
heterochromatin formation (GO:0031507)	37	29	20.57	+	1.41	4.73E-03	9.93E-03
inorganic cation transmembrane transport (GO:0098662)	231	181	128.40	+	1.41	5.11E-13	4.57E-12
response to abiotic stimulus (GO:0009628)	355	278	197.32	+	1.41	3.55E-19	4.54E-18
protein-containing complex disassembly (GO:0032984)	110	86	61.14	+	1.41	1.04E-06	4.24E-06
intracellular signal transduction (GO:0035556)	356	278	197.88	+	1.40	6.92E-19	8.69E-18
regulation of localization (GO:0032879)	41	32	22.79	+	1.40	4.13E-03	8.77E-03
inorganic ion transmembrane transport (GO:0098660)	255	199	141.74	+	1.40	8.66E-14	8.10E-13
regulation of protein phosphorylation (GO:0001932)	91	71	50.58	+	1.40	1.09E-05	3.95E-05
regulation of phosphorylation (GO:0042325)	91	71	50.58	+	1.40	1.09E-05	3.94E-05
negative regulation of catalytic activity (GO:0043086)	50	39	27.79	+	1.40	1.48E-03	3.54E-03
negative regulation of molecular function (GO:0044092)	50	39	27.79	+	1.40	1.48E-03	3.53E-03
protein modification process (GO:0036211)	2172	1694	1207.27	+	1.40	2.96E-109	4.58E-107
response to extracellular stimulus (GO:0009991)	54	42	30.02	+	1.40	8.84E-04	2.20E-03
response to nutrient levels (GO:0031667)	54	42	30.02	+	1.40	8.84E-04	2.20E-03
terpenoid metabolic process (GO:0006721)	76	59	42.24	+	1.40	7.28E-05	2.27E-04
regulation of nucleobase-containing compound metabolic process (GO:0019219)	1691	1312	939.92	+	1.40	1.08E-81	7.17E-80
positive regulation of DNA-templated transcription (GO:0045893)	276	214	153.41	+	1.39	3.11E-14	3.07E-13
positive regulation of RNA biosynthetic process (GO:1902680)	276	214	153.41	+	1.39	3.11E-14	3.05E-13
response to stimulus (GO:0050896)	2354	1820	1308.43	+	1.39	2.63E-111	4.57E-109
regulatory ncRNA-mediated gene silencing (GO:0031047)	44	34	24.46	+	1.39	3.62E-03	7.82E-03
actin filament organization (GO:0007015)	104	80	57.81	+	1.38	6.94E-06	2.55E-05
regulation of biological quality (GO:0065008)	356	273	197.88	+	1.38	1.40E-16	1.58E-15
exocytosis (GO:0006887)	111	85	61.70	+	1.38	5.32E-06	1.99E-05
monoatomic cation transport (GO:0006812)	256	196	142.29	+	1.38	3.15E-12	2.59E-11
monoatomic ion transport (GO:0006811)	272	208	151.19	+	1.38	9.24E-13	8.00E-12
response to starvation (GO:0042594)	46	35	25.57	+	1.37	4.67E-03	9.84E-03
regulation of protein stability (GO:0031647)	46	35	25.57	+	1.37	4.67E-03	9.83E-03
regulation of gene expression (GO:0010468)	2009	1527	1116.67	+	1.37	2.76E-83	2.03E-81
regulation of biosynthetic process (GO:0009889)	2036	1546	1131.68	+	1.37	8.90E-84	7.30E-82
regulation of cellular biosynthetic process (GO:0031326)	2036	1546	1131.68	+	1.37	8.90E-84	6.89E-82
regulation of nitrogen compound metabolic process (GO:0051171)	1902	1444	1057.20	+	1.37	4.50E-78	2.61E-76
regulation of cellular process (GO:0050794)	3194	2424	1775.33	+	1.37	1.39E-132	3.22E-130
calcium ion homeostasis (GO:0055074)	58	44	32.24	+	1.36	2.08E-03	4.84E-03
intracellular calcium ion homeostasis (GO:0006874)	58	44	32.24	+	1.36	2.08E-03	4.84E-03
regulation of macromolecule biosynthetic process (GO:0010556)	2013	1527	1118.89	+	1.36	2.75E-82	1.92E-80
maintenance of location in cell (GO:0051651)	66	50	36.69	+	1.36	1.10E-03	2.69E-03
