




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	small_families_high_stringency.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Glycine max - REFLIST (55853)	small_families_high_stringency.txt (22994)	small_families_high_stringency.txt (expected)	small_families_high_stringency.txt (over/under)	small_families_high_stringency.txt (fold Enrichment)	small_families_high_stringency.txt (raw P-value)	small_families_high_stringency.txt (FDR)
metaphase/anaphase transition of mitotic cell cycle (GO:0007091)	4	4	1.65	+	2.43	2.87E-02	4.95E-02
metaphase/anaphase transition of cell cycle (GO:0044784)	4	4	1.65	+	2.43	2.87E-02	4.94E-02
pollen development (GO:0009555)	4	4	1.65	+	2.43	2.87E-02	4.94E-02
negative regulation of RNA catabolic process (GO:1902369)	7	7	2.88	+	2.43	2.00E-03	4.69E-03
intermembrane lipid transfer (GO:0120009)	14	14	5.76	+	2.43	4.01E-06	1.58E-05
mitotic DNA replication initiation (GO:1902975)	8	8	3.29	+	2.43	8.25E-04	2.11E-03
mitotic DNA replication (GO:1902969)	14	14	5.76	+	2.43	4.01E-06	1.58E-05
membrane protein ectodomain proteolysis (GO:0006509)	4	4	1.65	+	2.43	2.87E-02	4.93E-02
vitamin transport (GO:0051180)	6	6	2.47	+	2.43	4.87E-03	1.06E-02
positive regulation of cell cycle (GO:0045787)	13	13	5.35	+	2.43	9.74E-06	3.66E-05
tRNA threonylcarbamoyladenosine metabolic process (GO:0070525)	5	5	2.06	+	2.43	1.18E-02	2.32E-02
positive regulation of organelle organization (GO:0010638)	19	19	7.82	+	2.43	4.73E-08	2.48E-07
carbohydrate transmembrane transport (GO:0034219)	6	6	2.47	+	2.43	4.87E-03	1.06E-02
regulation of mitotic sister chromatid separation (GO:0010965)	31	31	12.76	+	2.43	1.11E-12	1.10E-11
regulation of macroautophagy (GO:0016241)	6	6	2.47	+	2.43	4.87E-03	1.06E-02
negative regulation of nuclear division (GO:0051784)	24	24	9.88	+	2.43	5.58E-10	4.01E-09
positive regulation of cell cycle process (GO:0090068)	13	13	5.35	+	2.43	9.74E-06	3.65E-05
mitochondrial electron transport, succinate to ubiquinone (GO:0006121)	5	5	2.06	+	2.43	1.18E-02	2.32E-02
detection of mechanical stimulus (GO:0050982)	5	5	2.06	+	2.43	1.18E-02	2.31E-02
negative regulation of chromosome separation (GO:1905819)	22	22	9.06	+	2.43	3.30E-09	2.14E-08
regulation of chromosome separation (GO:1905818)	31	31	12.76	+	2.43	1.11E-12	1.09E-11
RNA stabilization (GO:0043489)	5	5	2.06	+	2.43	1.18E-02	2.31E-02
regulation of membrane potential (GO:0042391)	10	10	4.12	+	2.43	1.40E-04	4.24E-04
negative regulation of mitotic sister chromatid segregation (GO:0033048)	22	22	9.06	+	2.43	3.30E-09	2.13E-08
regulation of mitotic sister chromatid segregation (GO:0033047)	22	22	9.06	+	2.43	3.30E-09	2.12E-08
negative regulation of sister chromatid segregation (GO:0033046)	22	22	9.06	+	2.43	3.30E-09	2.11E-08
regulation of autophagy (GO:0010506)	17	17	7.00	+	2.43	2.79E-07	1.32E-06
mitophagy (GO:0000423)	10	10	4.12	+	2.43	1.40E-04	4.23E-04
positive regulation of transcription by RNA polymerase I (GO:0045943)	6	6	2.47	+	2.43	4.87E-03	1.06E-02
negative regulation of mitotic sister chromatid separation (GO:2000816)	22	22	9.06	+	2.43	3.30E-09	2.10E-08
regulation of mitotic metaphase/anaphase transition (GO:0030071)	35	35	14.41	+	2.43	3.19E-14	3.50E-13
negative regulation of chromosome segregation (GO:0051985)	22	22	9.06	+	2.43	3.30E-09	2.09E-08
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	22	22	9.06	+	2.43	3.30E-09	2.08E-08
transcription elongation by RNA polymerase II (GO:0006368)	24	24	9.88	+	2.43	5.58E-10	3.99E-09
regulation of telomere maintenance (GO:0032204)	6	6	2.47	+	2.43	4.87E-03	1.06E-02
detection of stimulus (GO:0051606)	5	5	2.06	+	2.43	1.18E-02	2.31E-02
regulation of transcription by RNA polymerase I (GO:0006356)	6	6	2.47	+	2.43	4.87E-03	1.06E-02
DNA modification (GO:0006304)	13	13	5.35	+	2.43	9.74E-06	3.64E-05
negative regulation of protein modification process (GO:0031400)	6	6	2.47	+	2.43	4.87E-03	1.05E-02
nuclear envelope organization (GO:0006998)	10	10	4.12	+	2.43	1.40E-04	4.22E-04
mRNA cis splicing, via spliceosome (GO:0045292)	19	19	7.82	+	2.43	4.73E-08	2.47E-07
DNA demethylation (GO:0080111)	5	5	2.06	+	2.43	1.18E-02	2.31E-02
negative regulation of chromosome organization (GO:2001251)	24	24	9.88	+	2.43	5.58E-10	3.97E-09
protein processing involved in protein targeting to mitochondrion (GO:0006627)	6	6	2.47	+	2.43	4.87E-03	1.05E-02
cellular response to light stimulus (GO:0071482)	6	6	2.47	+	2.43	4.87E-03	1.05E-02
protein export from nucleus (GO:0006611)	10	10	4.12	+	2.43	1.40E-04	4.22E-04
negative regulation of programmed cell death (GO:0043069)	6	6	2.47	+	2.43	4.87E-03	1.05E-02
negative regulation of apoptotic process (GO:0043066)	6	6	2.47	+	2.43	4.87E-03	1.05E-02
endoplasmic reticulum tubular network organization (GO:0071786)	6	6	2.47	+	2.43	4.87E-03	1.05E-02
nuclear membrane organization (GO:0071763)	10	10	4.12	+	2.43	1.40E-04	4.21E-04
mitotic spindle assembly checkpoint signaling (GO:0007094)	22	22	9.06	+	2.43	3.30E-09	2.07E-08
regulation of mitotic nuclear division (GO:0007088)	31	31	12.76	+	2.43	1.11E-12	1.08E-11
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	35	35	14.41	+	2.43	3.19E-14	3.47E-13
cell cycle DNA replication (GO:0044786)	25	25	10.29	+	2.43	2.30E-10	1.76E-09
nuclear DNA replication (GO:0033260)	25	25	10.29	+	2.43	2.30E-10	1.75E-09
membrane assembly (GO:0071709)	6	6	2.47	+	2.43	4.87E-03	1.04E-02
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	22	22	9.06	+	2.43	3.30E-09	2.06E-08
negative regulation of mitotic nuclear division (GO:0045839)	22	22	9.06	+	2.43	3.30E-09	2.05E-08
Arp2/3 complex-mediated actin nucleation (GO:0034314)	17	17	7.00	+	2.43	2.79E-07	1.32E-06
plasma membrane organization (GO:0007009)	6	6	2.47	+	2.43	4.87E-03	1.04E-02
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972)	11	11	4.53	+	2.43	5.75E-05	1.86E-04
pyrimidine nucleobase catabolic process (GO:0006208)	5	5	2.06	+	2.43	1.18E-02	2.30E-02
poly(A)+ mRNA export from nucleus (GO:0016973)	13	13	5.35	+	2.43	9.74E-06	3.63E-05
homologous chromosome segregation (GO:0045143)	6	6	2.47	+	2.43	4.87E-03	1.04E-02
monoatomic anion transport (GO:0006820)	12	12	4.94	+	2.43	2.37E-05	8.27E-05
protein neddylation (GO:0045116)	13	13	5.35	+	2.43	9.74E-06	3.62E-05
chaperone-mediated protein complex assembly (GO:0051131)	9	9	3.71	+	2.43	3.39E-04	9.54E-04
regulation of nuclear division (GO:0051783)	37	37	15.23	+	2.43	5.39E-15	6.26E-14
biological process involved in interaction with host (GO:0051701)	9	9	3.71	+	2.43	3.39E-04	9.52E-04
replication-born double-strand break repair via sister chromatid exchange (GO:1990414)	9	9	3.71	+	2.43	3.39E-04	9.50E-04
positive regulation of mitotic cell cycle (GO:0045931)	9	9	3.71	+	2.43	3.39E-04	9.48E-04
regulation of vesicle-mediated transport (GO:0060627)	9	9	3.71	+	2.43	3.39E-04	9.46E-04
positive regulation of mitotic nuclear division (GO:0045840)	9	9	3.71	+	2.43	3.39E-04	9.44E-04
endosome organization (GO:0007032)	9	9	3.71	+	2.43	3.39E-04	9.42E-04
negative regulation of catabolic process (GO:0009895)	9	9	3.71	+	2.43	3.39E-04	9.41E-04
negative regulation of cellular catabolic process (GO:0031330)	9	9	3.71	+	2.43	3.39E-04	9.39E-04
dicarboxylic acid transport (GO:0006835)	9	9	3.71	+	2.43	3.39E-04	9.37E-04
RNA localization (GO:0006403)	63	62	25.94	+	2.39	4.53E-23	1.05E-21
RNA transport (GO:0050658)	59	58	24.29	+	2.39	1.49E-21	2.96E-20
nucleic acid transport (GO:0050657)	59	58	24.29	+	2.39	1.49E-21	2.92E-20
RNA export from nucleus (GO:0006405)	59	58	24.29	+	2.39	1.49E-21	2.88E-20
establishment of RNA localization (GO:0051236)	59	58	24.29	+	2.39	1.49E-21	2.84E-20
regulation of chromosome organization (GO:0033044)	46	45	18.94	+	2.38	1.21E-16	1.64E-15
mRNA export from nucleus (GO:0006406)	45	44	18.53	+	2.38	2.89E-16	3.73E-15
mRNA transport (GO:0051028)	45	44	18.53	+	2.38	2.89E-16	3.69E-15
peroxisome organization (GO:0007031)	43	42	17.70	+	2.37	1.63E-15	2.00E-14
regulation of sister chromatid segregation (GO:0033045)	40	39	16.47	+	2.37	2.18E-14	2.48E-13
regulation of chromosome segregation (GO:0051983)	40	39	16.47	+	2.37	2.18E-14	2.46E-13
DNA-templated transcription elongation (GO:0006354)	33	32	13.59	+	2.36	9.08E-12	7.91E-11
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	24	23	9.88	+	2.33	1.97E-08	1.08E-07
ceramide biosynthetic process (GO:0046513)	21	20	8.65	+	2.31	2.49E-07	1.20E-06
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)	21	20	8.65	+	2.31	2.49E-07	1.19E-06
transcription by RNA polymerase II (GO:0006366)	121	115	49.81	+	2.31	6.70E-37	2.59E-35
RNA polymerase II preinitiation complex assembly (GO:0051123)	20	19	8.23	+	2.31	5.76E-07	2.62E-06
microautophagy (GO:0016237)	19	18	7.82	+	2.30	1.33E-06	5.79E-06
piecemeal microautophagy of the nucleus (GO:0034727)	19	18	7.82	+	2.30	1.33E-06	5.77E-06
protein sumoylation (GO:0016925)	19	18	7.82	+	2.30	1.33E-06	5.75E-06
nucleotide-sugar transmembrane transport (GO:0015780)	18	17	7.41	+	2.29	3.07E-06	1.25E-05
protein import into peroxisome matrix (GO:0016558)	17	16	7.00	+	2.29	7.07E-06	2.70E-05
DNA unwinding involved in DNA replication (GO:0006268)	16	15	6.59	+	2.28	1.62E-05	5.88E-05
DNA replication initiation (GO:0006270)	30	28	12.35	+	2.27	2.53E-09	1.66E-08
embryo development (GO:0009790)	14	13	5.76	+	2.26	8.42E-05	2.65E-04
aerobic electron transport chain (GO:0019646)	28	26	11.53	+	2.26	1.30E-08	7.50E-08
protein transmembrane import into intracellular organelle (GO:0044743)	66	61	27.17	+	2.25	1.97E-18	3.19E-17
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	26	24	10.70	+	2.24	6.64E-08	3.43E-07
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	26	24	10.70	+	2.24	6.64E-08	3.42E-07
protein insertion into membrane (GO:0051205)	13	12	5.35	+	2.24	1.91E-04	5.60E-04
protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043328)	12	11	4.94	+	2.23	4.30E-04	1.16E-03
DNA strand elongation involved in DNA replication (GO:0006271)	23	21	9.47	+	2.22	7.48E-07	3.35E-06
protein import into mitochondrial matrix (GO:0030150)	45	41	18.53	+	2.21	2.95E-12	2.64E-11
protein localization to plasma membrane (GO:0072659)	11	10	4.53	+	2.21	9.62E-04	2.44E-03
endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)	11	10	4.53	+	2.21	9.62E-04	2.44E-03
protein N-linked glycosylation via asparagine (GO:0018279)	11	10	4.53	+	2.21	9.62E-04	2.43E-03
lysosomal transport (GO:0007041)	11	10	4.53	+	2.21	9.62E-04	2.43E-03
transcription initiation at RNA polymerase II promoter (GO:0006367)	54	49	22.23	+	2.20	3.03E-14	3.38E-13
regulatory ncRNA processing (GO:0070918)	21	19	8.65	+	2.20	3.69E-06	1.47E-05
nucleobase-containing compound transport (GO:0015931)	103	93	42.40	+	2.19	1.65E-25	4.59E-24
nucleolar large rRNA transcription by RNA polymerase I (GO:0042790)	10	9	4.12	+	2.19	2.14E-03	4.99E-03
fatty acid transport (GO:0015908)	10	9	4.12	+	2.19	2.14E-03	4.98E-03
COPII-coated vesicle budding (GO:0090114)	20	18	8.23	+	2.19	8.14E-06	3.07E-05
double-strand break repair via break-induced replication (GO:0000727)	19	17	7.82	+	2.17	1.79E-05	6.44E-05
positive regulation of protein phosphorylation (GO:0001934)	9	8	3.71	+	2.16	4.71E-03	1.05E-02
microtubule polymerization (GO:0046785)	18	16	7.41	+	2.16	3.90E-05	1.31E-04
positive regulation of phosphorus metabolic process (GO:0010562)	9	8	3.71	+	2.16	4.71E-03	1.05E-02
positive regulation of phosphorylation (GO:0042327)	9	8	3.71	+	2.16	4.71E-03	1.04E-02
positive regulation of phosphate metabolic process (GO:0045937)	9	8	3.71	+	2.16	4.71E-03	1.04E-02
transcription elongation by RNA polymerase I (GO:0006362)	9	8	3.71	+	2.16	4.71E-03	1.04E-02
positive regulation of protein modification process (GO:0031401)	9	8	3.71	+	2.16	4.71E-03	1.04E-02
protein polymerization (GO:0051258)	18	16	7.41	+	2.16	3.90E-05	1.31E-04
mitotic chromosome condensation (GO:0007076)	9	8	3.71	+	2.16	4.71E-03	1.04E-02
amide transport (GO:0042886)	18	16	7.41	+	2.16	3.90E-05	1.31E-04
mitochondrial protein processing (GO:0034982)	9	8	3.71	+	2.16	4.71E-03	1.04E-02
meiotic chromosome segregation (GO:0045132)	9	8	3.71	+	2.16	4.71E-03	1.03E-02
siRNA processing (GO:0030422)	17	15	7.00	+	2.14	8.48E-05	2.66E-04
negative regulation of mitotic cell cycle phase transition (GO:1901991)	41	36	16.88	+	2.13	1.12E-09	7.65E-09
microtubule nucleation (GO:0007020)	16	14	6.59	+	2.13	1.83E-04	5.40E-04
mitochondrial RNA processing (GO:0000963)	16	14	6.59	+	2.13	1.83E-04	5.39E-04
DNA-templated DNA replication (GO:0006261)	126	110	51.87	+	2.12	6.53E-27	1.94E-25
ATP synthesis coupled electron transport (GO:0042773)	31	27	12.76	+	2.12	2.34E-07	1.13E-06
rRNA methylation (GO:0031167)	37	32	15.23	+	2.10	1.87E-08	1.03E-07
late endosome to vacuole transport (GO:0045324)	44	38	18.11	+	2.10	8.00E-10	5.58E-09
negative regulation of mitotic cell cycle (GO:0045930)	44	38	18.11	+	2.10	8.00E-10	5.55E-09
Golgi to plasma membrane transport (GO:0006893)	36	31	14.82	+	2.09	3.82E-08	2.03E-07
vesicle-mediated transport to the plasma membrane (GO:0098876)	43	37	17.70	+	2.09	1.66E-09	1.11E-08
endocytic recycling (GO:0032456)	7	6	2.88	+	2.08	2.20E-02	4.00E-02
lipid storage (GO:0019915)	21	18	8.65	+	2.08	4.93E-05	1.60E-04
nuclear export (GO:0051168)	89	76	36.64	+	2.07	1.37E-17	1.99E-16
mitotic cell cycle checkpoint signaling (GO:0007093)	41	35	16.88	+	2.07	7.08E-09	4.20E-08
sister chromatid cohesion (GO:0007062)	41	35	16.88	+	2.07	7.08E-09	4.18E-08
respiratory electron transport chain (GO:0022904)	40	34	16.47	+	2.06	1.46E-08	8.35E-08
multivesicular body sorting pathway (GO:0071985)	40	34	16.47	+	2.06	1.46E-08	8.31E-08
oxidative phosphorylation (GO:0006119)	40	34	16.47	+	2.06	1.46E-08	8.28E-08
maturation of SSU-rRNA (GO:0030490)	80	68	32.94	+	2.06	1.27E-15	1.57E-14
snRNA processing (GO:0016180)	20	17	8.23	+	2.06	9.77E-05	3.05E-04
snRNA 3'-end processing (GO:0034472)	20	17	8.23	+	2.06	9.77E-05	3.04E-04
endosome transport via multivesicular body sorting pathway (GO:0032509)	40	34	16.47	+	2.06	1.46E-08	8.25E-08
fatty acid beta-oxidation (GO:0006635)	40	34	16.47	+	2.06	1.46E-08	8.21E-08
respiratory chain complex IV assembly (GO:0008535)	13	11	5.35	+	2.06	2.75E-03	6.38E-03
mitochondrial cytochrome c oxidase assembly (GO:0033617)	13	11	5.35	+	2.06	2.75E-03	6.37E-03
polyadenylation-dependent ncRNA catabolic process (GO:0043634)	13	11	5.35	+	2.06	2.75E-03	6.36E-03
arginine metabolic process (GO:0006525)	19	16	7.82	+	2.05	1.94E-04	5.67E-04
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	63	53	25.94	+	2.04	2.78E-12	2.52E-11
electron transport chain (GO:0022900)	69	58	28.41	+	2.04	4.10E-13	4.20E-12
protein N-linked glycosylation (GO:0006487)	62	52	25.52	+	2.04	1.04E-11	8.98E-11
chromosome organization involved in meiotic cell cycle (GO:0070192)	12	10	4.94	+	2.02	5.34E-03	1.13E-02
meiosis I (GO:0007127)	36	30	14.82	+	2.02	3.84E-07	1.80E-06
snRNA metabolic process (GO:0016073)	36	30	14.82	+	2.02	3.84E-07	1.80E-06
mitotic sister chromatid cohesion (GO:0007064)	24	20	9.88	+	2.02	3.14E-05	1.08E-04
post-Golgi vesicle-mediated transport (GO:0006892)	54	45	22.23	+	2.02	2.44E-10	1.85E-09
reciprocal meiotic recombination (GO:0007131)	34	28	14.00	+	2.00	1.40E-06	6.01E-06
homologous recombination (GO:0035825)	34	28	14.00	+	2.00	1.40E-06	5.99E-06
reciprocal homologous recombination (GO:0140527)	34	28	14.00	+	2.00	1.40E-06	5.97E-06
tRNA metabolic process (GO:0006399)	248	204	102.10	+	2.00	2.52E-40	1.00E-38
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	28	23	11.53	+	2.00	1.82E-05	6.54E-05
meiotic nuclear division (GO:0140013)	39	32	16.06	+	1.99	2.30E-07	1.12E-06
meiosis I cell cycle process (GO:0061982)	39	32	16.06	+	1.99	2.30E-07	1.12E-06
protein localization to mitochondrion (GO:0070585)	77	63	31.70	+	1.99	3.43E-13	3.57E-12
mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122)	11	9	4.53	+	1.99	1.03E-02	2.06E-02
establishment of protein localization to mitochondrion (GO:0072655)	77	63	31.70	+	1.99	3.43E-13	3.55E-12
ncRNA metabolic process (GO:0034660)	574	468	236.31	+	1.98	2.18E-88	1.79E-86
rRNA base methylation (GO:0070475)	27	22	11.12	+	1.98	3.39E-05	1.16E-04
macromolecule methylation (GO:0043414)	124	101	51.05	+	1.98	5.37E-20	9.60E-19
nuclear division (GO:0000280)	86	70	35.41	+	1.98	3.17E-14	3.51E-13
negative regulation of cell cycle (GO:0045786)	59	48	24.29	+	1.98	3.21E-10	2.41E-09
negative regulation of cell cycle process (GO:0010948)	59	48	24.29	+	1.98	3.21E-10	2.39E-09
negative regulation of cell cycle phase transition (GO:1901988)	59	48	24.29	+	1.98	3.21E-10	2.38E-09
protein glycosylation (GO:0006486)	75	61	30.88	+	1.98	1.30E-12	1.26E-11
macromolecule glycosylation (GO:0043413)	75	61	30.88	+	1.98	1.30E-12	1.25E-11
double-strand break repair via nonhomologous end joining (GO:0006303)	16	13	6.59	+	1.97	1.50E-03	3.69E-03
mismatch repair (GO:0006298)	16	13	6.59	+	1.97	1.50E-03	3.69E-03
glycosylation (GO:0070085)	85	69	34.99	+	1.97	6.00E-14	6.49E-13
protein targeting to mitochondrion (GO:0006626)	74	60	30.46	+	1.97	2.54E-12	2.33E-11
sister chromatid segregation (GO:0000819)	52	42	21.41	+	1.96	6.68E-09	3.99E-08
sphingolipid metabolic process (GO:0006665)	52	42	21.41	+	1.96	6.68E-09	3.98E-08
meiotic cell cycle process (GO:1903046)	57	46	23.47	+	1.96	1.96E-09	1.31E-08
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	31	25	12.76	+	1.96	9.95E-06	3.69E-05
protein transmembrane transport (GO:0071806)	98	79	40.35	+	1.96	1.77E-15	2.15E-14
rRNA metabolic process (GO:0016072)	318	256	130.92	+	1.96	6.37E-47	2.96E-45
rRNA processing (GO:0006364)	287	231	118.15	+	1.96	3.08E-42	1.26E-40
carbohydrate derivative transport (GO:1901264)	46	37	18.94	+	1.95	7.36E-08	3.76E-07
cell cycle checkpoint signaling (GO:0000075)	56	45	23.05	+	1.95	3.58E-09	2.20E-08
ncRNA processing (GO:0034470)	446	358	183.61	+	1.95	2.32E-64	1.34E-62
glycoprotein biosynthetic process (GO:0009101)	76	61	31.29	+	1.95	4.56E-12	4.02E-11
RNA methylation (GO:0001510)	86	69	35.41	+	1.95	2.36E-13	2.49E-12
rRNA modification (GO:0000154)	60	48	24.70	+	1.94	1.08E-09	7.43E-09
mitotic nuclear division (GO:0140014)	50	40	20.58	+	1.94	2.50E-08	1.36E-07
resolution of meiotic recombination intermediates (GO:0000712)	10	8	4.12	+	1.94	1.99E-02	3.67E-02
protein localization to chloroplast (GO:0072598)	25	20	10.29	+	1.94	1.19E-04	3.64E-04
mitotic sister chromatid segregation (GO:0000070)	50	40	20.58	+	1.94	2.50E-08	1.36E-07
chloroplast RNA modification (GO:1900865)	10	8	4.12	+	1.94	1.99E-02	3.66E-02
tRNA methylation (GO:0030488)	35	28	14.41	+	1.94	5.87E-06	2.26E-05
protein targeting to ER (GO:0045047)	49	39	20.17	+	1.93	8.04E-08	4.09E-07
establishment of protein localization to endoplasmic reticulum (GO:0072599)	49	39	20.17	+	1.93	8.04E-08	4.07E-07
ncRNA transcription (GO:0098781)	29	23	11.94	+	1.93	3.66E-05	1.24E-04
monocarboxylic acid catabolic process (GO:0072329)	57	45	23.47	+	1.92	7.37E-09	4.34E-08
negative regulation of protein metabolic process (GO:0051248)	33	26	13.59	+	1.91	1.90E-05	6.80E-05
tRNA processing (GO:0008033)	130	102	53.52	+	1.91	5.31E-18	8.05E-17
chromosome segregation (GO:0007059)	139	109	57.22	+	1.90	4.81E-19	8.27E-18
intra-Golgi vesicle-mediated transport (GO:0006891)	55	43	22.64	+	1.90	4.36E-08	2.30E-07
regulation of cellular catabolic process (GO:0031329)	87	68	35.82	+	1.90	2.73E-12	2.48E-11
vacuolar transport (GO:0007034)	90	70	37.05	+	1.89	2.81E-12	2.52E-11
translational initiation (GO:0006413)	72	56	29.64	+	1.89	3.33E-10	2.45E-09
Golgi to vacuole transport (GO:0006896)	18	14	7.41	+	1.89	2.75E-03	6.38E-03
organelle fission (GO:0048285)	116	90	47.76	+	1.88	2.00E-15	2.41E-14
glycoprotein metabolic process (GO:0009100)	97	75	39.93	+	1.88	4.86E-13	4.95E-12
regulation of mitotic cell cycle phase transition (GO:1901990)	66	51	27.17	+	1.88	3.56E-09	2.20E-08
