




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	large_families_high_stringency.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Glycine max - REFLIST (55853)	large_families_high_stringency.txt (21135)	large_families_high_stringency.txt (expected)	large_families_high_stringency.txt (over/under)	large_families_high_stringency.txt (fold Enrichment)	large_families_high_stringency.txt (raw P-value)	large_families_high_stringency.txt (FDR)
DNA conformation change (GO:0071103)	92	64	34.81	+	1.84	8.79E-10	7.21E-09
defense response to symbiont (GO:0140546)	23	16	8.70	+	1.84	2.30E-03	5.95E-03
signal transduction (GO:0007165)	768	532	290.61	+	1.83	2.31E-70	2.48E-68
response to oxygen-containing compound (GO:1901700)	302	209	114.28	+	1.83	2.32E-28	5.78E-27
hormone metabolic process (GO:0042445)	81	56	30.65	+	1.83	1.34E-08	9.04E-08
signaling (GO:0023052)	770	532	291.37	+	1.83	8.26E-70	8.22E-68
glucose metabolic process (GO:0006006)	84	58	31.79	+	1.82	1.09E-08	7.51E-08
response to hormone (GO:0009725)	197	136	74.55	+	1.82	8.85E-19	1.52E-17
cell wall organization or biogenesis (GO:0071554)	226	156	85.52	+	1.82	2.61E-21	4.98E-20
cell communication (GO:0007154)	806	555	304.99	+	1.82	5.69E-72	6.61E-70
lipid translocation (GO:0034204)	32	22	12.11	+	1.82	7.10E-04	2.07E-03
purine nucleotide catabolic process (GO:0006195)	99	68	37.46	+	1.82	5.62E-10	4.75E-09
response to gibberellin (GO:0009739)	35	24	13.24	+	1.81	3.24E-04	1.00E-03
defense response to bacterium (GO:0042742)	38	26	14.38	+	1.81	1.60E-04	5.28E-04
response to bacterium (GO:0009617)	38	26	14.38	+	1.81	1.60E-04	5.27E-04
spindle elongation (GO:0051231)	19	13	7.19	+	1.81	8.24E-03	1.87E-02
response to endogenous stimulus (GO:0009719)	199	136	75.30	+	1.81	3.19E-18	5.29E-17
nucleoside diphosphate catabolic process (GO:0009134)	107	73	40.49	+	1.80	3.08E-10	2.70E-09
actin cytoskeleton organization (GO:0030036)	113	77	42.76	+	1.80	7.74E-11	7.24E-10
nucleoside diphosphate metabolic process (GO:0009132)	116	79	43.89	+	1.80	6.14E-11	5.78E-10
actin filament-based process (GO:0030029)	119	81	45.03	+	1.80	3.02E-11	2.94E-10
reproductive shoot system development (GO:0090567)	31	21	11.73	+	1.79	1.19E-03	3.22E-03
flower development (GO:0009908)	31	21	11.73	+	1.79	1.19E-03	3.22E-03
protein depolymerization (GO:0051261)	62	42	23.46	+	1.79	2.33E-06	1.10E-05
phosphate ion transport (GO:0006817)	34	23	12.87	+	1.79	5.59E-04	1.65E-03
regulation of cellular component biogenesis (GO:0044087)	40	27	15.14	+	1.78	2.20E-04	6.94E-04
cellular modified amino acid metabolic process (GO:0006575)	163	110	61.68	+	1.78	2.93E-14	3.97E-13
nucleotide catabolic process (GO:0009166)	101	68	38.22	+	1.78	2.96E-09	2.24E-08
carbohydrate catabolic process (GO:0016052)	205	138	77.57	+	1.78	2.02E-17	3.32E-16
calcium ion transmembrane transport (GO:0070588)	64	43	24.22	+	1.78	3.29E-06	1.52E-05
phospholipid transport (GO:0015914)	33	22	12.49	+	1.76	9.63E-04	2.73E-03
extracellular matrix organization (GO:0030198)	27	18	10.22	+	1.76	2.65E-03	6.76E-03
innate immune response (GO:0045087)	21	14	7.95	+	1.76	1.12E-02	2.42E-02
extracellular structure organization (GO:0043062)	27	18	10.22	+	1.76	2.65E-03	6.74E-03
regulation of actin cytoskeleton organization (GO:0032956)	47	31	17.78	+	1.74	1.17E-04	3.99E-04
endoplasmic reticulum organization (GO:0007029)	47	31	17.78	+	1.74	1.17E-04	3.98E-04
response to salt stress (GO:0009651)	82	54	31.03	+	1.74	4.74E-07	2.52E-06
telomere maintenance (GO:0000723)	79	52	29.89	+	1.74	5.73E-07	3.01E-06
telomere organization (GO:0032200)	79	52	29.89	+	1.74	5.73E-07	2.99E-06
organophosphate catabolic process (GO:0046434)	154	101	58.27	+	1.73	4.26E-12	4.46E-11
protein-containing complex disassembly (GO:0032984)	110	72	41.62	+	1.73	5.05E-09	3.71E-08
calcium ion transport (GO:0006816)	66	43	24.97	+	1.72	9.53E-06	4.11E-05
developmental process (GO:0032502)	421	274	159.31	+	1.72	1.31E-29	3.59E-28
cell differentiation (GO:0030154)	186	121	70.38	+	1.72	8.16E-14	1.07E-12
DNA biosynthetic process (GO:0071897)	80	52	30.27	+	1.72	1.22E-06	5.99E-06
phosphate-containing compound metabolic process (GO:0006796)	1910	1240	722.75	+	1.72	5.31E-131	1.23E-128
phosphorus metabolic process (GO:0006793)	1934	1255	731.83	+	1.71	2.44E-132	6.80E-130
intracellular signal transduction (GO:0035556)	356	231	134.71	+	1.71	6.71E-25	1.46E-23
long-chain fatty acid metabolic process (GO:0001676)	31	20	11.73	+	1.70	2.83E-03	7.02E-03
response to abscisic acid (GO:0009737)	62	40	23.46	+	1.70	3.16E-05	1.27E-04
cellular developmental process (GO:0048869)	188	121	71.14	+	1.70	2.21E-13	2.68E-12
response to osmotic stress (GO:0006970)	84	54	31.79	+	1.70	1.27E-06	6.23E-06
hexose metabolic process (GO:0019318)	109	70	41.25	+	1.70	2.77E-08	1.80E-07
intracellular iron ion homeostasis (GO:0006879)	47	30	17.78	+	1.69	4.08E-04	1.23E-03
organic anion transport (GO:0015711)	234	149	88.55	+	1.68	1.76E-15	2.55E-14
programmed cell death (GO:0012501)	22	14	8.32	+	1.68	1.55E-02	3.25E-02
cell death (GO:0008219)	22	14	8.32	+	1.68	1.55E-02	3.25E-02
nucleosome assembly (GO:0006334)	22	14	8.32	+	1.68	1.55E-02	3.24E-02
purine-containing compound catabolic process (GO:0072523)	120	76	45.41	+	1.67	2.25E-08	1.49E-07
regulation of actin filament-based process (GO:0032970)	49	31	18.54	+	1.67	3.40E-04	1.04E-03
monosaccharide metabolic process (GO:0005996)	141	89	53.35	+	1.67	1.51E-09	1.19E-08
response to light stimulus (GO:0009416)	140	88	52.98	+	1.66	2.40E-09	1.86E-08
import into cell (GO:0098657)	155	97	58.65	+	1.65	6.16E-10	5.17E-09
diterpenoid metabolic process (GO:0016101)	40	25	15.14	+	1.65	1.74E-03	4.57E-03
endocytosis (GO:0006897)	144	90	54.49	+	1.65	2.40E-09	1.87E-08
intracellular monoatomic cation homeostasis (GO:0030003)	177	110	66.98	+	1.64	8.05E-11	7.48E-10
intracellular monoatomic ion homeostasis (GO:0006873)	177	110	66.98	+	1.64	8.05E-11	7.43E-10
carbohydrate metabolic process (GO:0005975)	506	314	191.47	+	1.64	2.25E-28	5.82E-27
regulation of membrane lipid distribution (GO:0097035)	36	22	13.62	+	1.61	5.41E-03	1.27E-02
intracellular chemical homeostasis (GO:0055082)	200	122	75.68	+	1.61	3.68E-11	3.53E-10
regulation of localization (GO:0032879)	41	25	15.51	+	1.61	3.28E-03	7.99E-03
glutamate metabolic process (GO:0006536)	28	17	10.60	+	1.60	1.79E-02	3.54E-02
cellular response to starvation (GO:0009267)	38	23	14.38	+	1.60	6.55E-03	1.52E-02
cellular response to nutrient levels (GO:0031669)	38	23	14.38	+	1.60	6.55E-03	1.52E-02
cellular response to extracellular stimulus (GO:0031668)	38	23	14.38	+	1.60	6.55E-03	1.52E-02
anatomical structure development (GO:0048856)	298	180	112.76	+	1.60	3.67E-15	5.12E-14
carbohydrate biosynthetic process (GO:0016051)	207	125	78.33	+	1.60	5.24E-11	4.97E-10
nucleoside phosphate catabolic process (GO:1901292)	121	73	45.79	+	1.59	6.93E-07	3.50E-06
response to radiation (GO:0009314)	146	88	55.25	+	1.59	4.53E-08	2.84E-07
response to organic substance (GO:0010033)	377	227	142.66	+	1.59	1.55E-18	2.63E-17
protein modification process (GO:0036211)	2172	1307	821.89	+	1.59	4.24E-102	7.39E-100
amine metabolic process (GO:0009308)	117	70	44.27	+	1.58	2.00E-06	9.57E-06
regulation of transcription by RNA polymerase II (GO:0006357)	820	490	310.29	+	1.58	2.51E-37	7.44E-36
lipid modification (GO:0030258)	156	93	59.03	+	1.58	4.71E-08	2.95E-07
response to reactive oxygen species (GO:0000302)	84	50	31.79	+	1.57	6.51E-05	2.36E-04
cellular response to organic substance (GO:0071310)	176	104	66.60	+	1.56	1.29E-08	8.71E-08
supramolecular fiber organization (GO:0097435)	166	98	62.82	+	1.56	3.34E-08	2.16E-07
cellular response to external stimulus (GO:0071496)	39	23	14.76	+	1.56	7.96E-03	1.80E-02
peptidyl-amino acid modification (GO:0018193)	419	247	158.55	+	1.56	2.49E-18	4.18E-17
polysaccharide biosynthetic process (GO:0000271)	131	77	49.57	+	1.55	1.30E-06	6.32E-06
response to heat (GO:0009408)	167	98	63.19	+	1.55	5.63E-08	3.47E-07
developmental process involved in reproduction (GO:0003006)	87	51	32.92	+	1.55	9.17E-05	3.26E-04
polysaccharide metabolic process (GO:0005976)	214	125	80.98	+	1.54	1.17E-09	9.43E-09
response to stimulus (GO:0050896)	2354	1371	890.76	+	1.54	6.39E-93	8.10E-91
response to chemical (GO:0042221)	550	320	208.12	+	1.54	3.60E-22	7.17E-21
regulation of DNA-templated transcription (GO:0006355)	1498	871	566.85	+	1.54	2.22E-58	1.82E-56
regulation of RNA biosynthetic process (GO:2001141)	1498	871	566.85	+	1.54	2.22E-58	1.72E-56
system development (GO:0048731)	136	79	51.46	+	1.54	2.00E-06	9.56E-06
mitotic cell cycle phase transition (GO:0044772)	93	54	35.19	+	1.53	9.53E-05	3.35E-04
cell cycle phase transition (GO:0044770)	93	54	35.19	+	1.53	9.53E-05	3.34E-04
negative regulation of gene expression, epigenetic (GO:0045814)	50	29	18.92	+	1.53	5.03E-03	1.19E-02
response to abiotic stimulus (GO:0009628)	355	204	134.33	+	1.52	8.88E-14	1.16E-12
regulation of cytoskeleton organization (GO:0051493)	54	31	20.43	+	1.52	4.52E-03	1.08E-02
carbohydrate transport (GO:0008643)	61	35	23.08	+	1.52	2.19E-03	5.70E-03
reproductive structure development (GO:0048608)	75	43	28.38	+	1.52	7.44E-04	2.16E-03
cortical cytoskeleton organization (GO:0030865)	44	25	16.65	+	1.50	1.22E-02	2.63E-02
regulation of biological quality (GO:0065008)	356	202	134.71	+	1.50	5.39E-13	6.26E-12
regulation of cellular process (GO:0050794)	3194	1811	1208.62	+	1.50	2.35E-109	4.67E-107
transmembrane transport (GO:0055085)	993	562	375.76	+	1.50	1.66E-33	4.62E-32
terpenoid metabolic process (GO:0006721)	76	43	28.76	+	1.50	1.23E-03	3.33E-03
regulation of RNA metabolic process (GO:0051252)	1632	922	617.56	+	1.49	5.49E-54	3.06E-52
cellular response to chemical stimulus (GO:0070887)	263	148	99.52	+	1.49	1.41E-09	1.11E-08
regulation of protein serine/threonine kinase activity (GO:0071900)	80	45	30.27	+	1.49	1.10E-03	3.02E-03
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	80	45	30.27	+	1.49	1.10E-03	3.02E-03
monoatomic ion homeostasis (GO:0050801)	244	137	92.33	+	1.48	8.65E-09	6.06E-08
ribonucleoside triphosphate metabolic process (GO:0009199)	139	78	52.60	+	1.48	1.45E-05	6.14E-05
cell fate commitment (GO:0045165)	41	23	15.51	+	1.48	2.29E-02	4.44E-02
regulation of developmental process (GO:0050793)	145	81	54.87	+	1.48	1.46E-05	6.17E-05
reproductive system development (GO:0061458)	77	43	29.14	+	1.48	1.41E-03	3.79E-03
nicotinamide nucleotide metabolic process (GO:0046496)	156	87	59.03	+	1.47	6.49E-06	2.84E-05
pyridine nucleotide metabolic process (GO:0019362)	156	87	59.03	+	1.47	6.49E-06	2.84E-05
shoot system development (GO:0048367)	70	39	26.49	+	1.47	2.83E-03	7.03E-03
regulation of biological process (GO:0050789)	3326	1847	1258.57	+	1.47	8.20E-101	1.14E-98
