Gene1	Gene2	Gene1_name	Gene2_name	Family_ID	Chromosome	Distance_bp	Gene1_Start	Gene2_Start	Strand1	Strand2	Same_Orientation
KRG93833	KRG93836	GLYMA_19G044800	GLYMA_19G045100	1	19	51544	6672966	6724510	+	+	True
KRG94099	KRG94100	GLYMA_19G062100	GLYMA_19G062200	1	19	12407	13044759	13057166	-	-	True
KRG94229	KRG94230	GLYMA_19G069600	GLYMA_19G069700	1	19	22096	22705309	22727405	+	+	True
KRH71662	KRH71663	GLYMA_02G161700	GLYMA_02G161800	1	2	3917	20516629	20520546	-	-	True
KRH71883	KRH71884	GLYMA_02G175200	GLYMA_02G175300	1	2	16642	28117171	28133813	+	-	False
KRH72079	KRH72080	GLYMA_02G190400	GLYMA_02G190500	1	2	15349	35805251	35820600	+	+	True
KRG89590	KRG89591	GLYMA_20G034400	GLYMA_20G034500	1	20	3615	4738705	4742320	-	+	False
KRG89590	KRG89600	GLYMA_20G034400	GLYMA_20G034700	1	20	8944	4738705	4747649	-	+	False
KRG89590	KRG89618	GLYMA_20G034400	GLYMA_20G034900	1	20	29960	4738705	4768665	-	+	False
KRG89591	KRG89600	GLYMA_20G034500	GLYMA_20G034700	1	20	5329	4742320	4747649	+	+	True
KRG89591	KRG89618	GLYMA_20G034500	GLYMA_20G034900	1	20	26345	4742320	4768665	+	+	True
KRG89600	KRG89618	GLYMA_20G034700	GLYMA_20G034900	1	20	21016	4747649	4768665	+	+	True
KRG90310	KRG90312	GLYMA_20G082200	GLYMA_20G082400	1	20	56547	30944430	31000977	+	+	True
KRH65080	KRH65084	GLYMA_03G011900	GLYMA_03G012300	1	3	37828	1197093	1234921	-	-	True
KRH65748	KRH65749	GLYMA_03G058900	GLYMA_03G059000	1	3	1545	8498941	8500486	+	+	True
KRH65882	KRH65883	GLYMA_03G068400	GLYMA_03G068500	1	3	1970	14226552	14228522	-	-	True
KRH66127	KRH66128	GLYMA_03G084700	GLYMA_03G084800	1	3	2465	24416672	24419137	-	-	True
KRH66267	KRH66268	GLYMA_03G095000	GLYMA_03G095100	1	3	3176	28017857	28021033	+	+	True
KRH66312	KRH66313	GLYMA_03G098000	GLYMA_03G098100	1	3	2322	28574789	28577111	+	-	False
KRH66438	KRH66444	GLYMA_03G106700	GLYMA_03G107100	1	3	60674	30614249	30674923	-	+	False
KRH62557	KRH62558	GLYMA_04G116000	GLYMA_04G116100	1	4	19594	13363026	13382620	-	-	True
KRH62557	KRH62561	GLYMA_04G116000	GLYMA_04G116300	1	4	57412	13363026	13420438	-	-	True
KRH62558	KRH62561	GLYMA_04G116100	GLYMA_04G116300	1	4	37818	13382620	13420438	-	-	True
KRH63514	KRH63521	GLYMA_04G181800	GLYMA_04G182400	1	4	57613	44799424	44857037	+	-	False
KRH63514	KRH63522	GLYMA_04G181800	GLYMA_04G182500	1	4	60591	44799424	44860015	+	-	False
KRH63521	KRH63522	GLYMA_04G182400	GLYMA_04G182500	1	4	2978	44857037	44860015	-	-	True
KRH63532	KRH63535	GLYMA_04G183200	GLYMA_04G183500	1	4	89439	45060655	45150094	+	+	True
KRH57510	KRH57511	GLYMA_05G065500	GLYMA_05G065600	1	5	1706	6418164	6419870	+	+	True
KRH57696	KRH57697	GLYMA_05G078400	GLYMA_05G078500	1	5	72939	10467550	10540489	-	-	True
KRH57696	KRH57698	GLYMA_05G078400	GLYMA_05G078600	1	5	75043	10467550	10542593	-	-	True
KRH57697	KRH57698	GLYMA_05G078500	GLYMA_05G078600	1	5	2104	10540489	10542593	-	-	True
KRH57900	KRH57901	GLYMA_05G091400	GLYMA_05G091500	1	5	1875	22030446	22032321	-	-	True
KRH57927	KRH57928	GLYMA_05G093300	GLYMA_05G093400	1	5	2926	23505113	23508039	-	-	True
KRH54626	KRH54627	GLYMA_06G199200	GLYMA_06G199300	1	6	2123	18202927	18205050	+	+	True
KRH55073	KRH55074	GLYMA_06G228500	GLYMA_06G228600	1	6	2334	34729522	34731856	+	+	True
KRH55088	KRH55089	GLYMA_06G229500	GLYMA_06G229600	1	6	41849	34973313	35015162	-	-	True
KRH55139	KRH55140	GLYMA_06G232900	GLYMA_06G233000	1	6	9194	36959776	36968970	-	-	True
KRH49675	KRH49676	GLYMA_07G171700	GLYMA_07G171800	1	7	2951	29715430	29718381	-	-	True
KRH49714	KRH49715	GLYMA_07G174400	GLYMA_07G174500	1	7	11799	31344430	31356229	+	+	True
KRH49779	KRH49781	GLYMA_07G178900	GLYMA_07G179100	1	7	98822	34249840	34348662	-	+	False
KRH49781	KRH49782	GLYMA_07G179100	GLYMA_07G179200	1	7	51532	34348662	34400194	+	-	False
KRH49781	KRH49783	GLYMA_07G179100	GLYMA_07G179300	1	7	53009	34348662	34401671	+	-	False
KRH49782	KRH49783	GLYMA_07G179200	GLYMA_07G179300	1	7	1477	34400194	34401671	-	-	True
KRH45001	KRH45005	GLYMA_08G243900	GLYMA_08G244300	1	8	29649	20979705	21009354	-	+	False
KRH45474	KRH45475	GLYMA_08G2738002	GLYMA_08G2738001	1	8	3708	36158250	36161958	-	-	True
KRH38062	KRH38063	GLYMA_09G108200	GLYMA_09G108300	1	9	2089	20553373	20555462	-	-	True
KRH38258	KRH38259	GLYMA_09G122300	GLYMA_09G122400	1	9	2826	29374316	29377142	-	-	True
KRH38621	KRH38622	GLYMA_09G147600	GLYMA_09G147700	1	9	3425	36566668	36570093	-	-	True
KRG88592	KRG88593	GLYMA_U000200	GLYMA_U000300	1	scaffold_105	1842	7738	9580	-	-	True
KRG88592	KRG88596	GLYMA_U000200	GLYMA_U000600	1	scaffold_105	28275	7738	36013	-	-	True
KRG88593	KRG88596	GLYMA_U000300	GLYMA_U000600	1	scaffold_105	26433	9580	36013	-	-	True
KRH77323	KRH77324	GLYMA_01G206600	GLYMA_01G206700	2	1	12525	53876576	53889101	-	+	False
KRH77483	KRH77484	GLYMA_01G216000	GLYMA_01G216200	2	1	14300	54666537	54680837	-	-	True
KRH77624	KRH77640	GLYMA_01G224100	GLYMA_01G225000	2	1	86158	55285384	55371542	+	-	False
KRH77737	KRH77739	GLYMA_01G231000	GLYMA_01G231200	2	1	16354	55815819	55832173	-	+	False
KRH77737	KRH77755	GLYMA_01G231000	GLYMA_01G232000	2	1	59512	55815819	55875331	-	+	False
KRH77739	KRH77755	GLYMA_01G231200	GLYMA_01G232000	2	1	43158	55832173	55875331	+	+	True
KRH31709	KRH31710	GLYMA_10G007000	GLYMA_10G007100	2	10	13444	687091	700535	-	-	True
KRH32175	KRH32176	GLYMA_10G036200	GLYMA_10G036300	2	10	7566	3159758	3167324	+	+	True
KRH32175	KRH32179	GLYMA_10G036200	GLYMA_10G036600	2	10	50140	3159758	3209898	+	-	False
KRH32175	KRH32180	GLYMA_10G036200	GLYMA_10G036700	2	10	60116	3159758	3219874	+	+	True
KRH32176	KRH32179	GLYMA_10G036300	GLYMA_10G036600	2	10	42574	3167324	3209898	+	-	False
KRH32176	KRH32180	GLYMA_10G036300	GLYMA_10G036700	2	10	52550	3167324	3219874	+	+	True
KRH32179	KRH32180	GLYMA_10G036600	GLYMA_10G036700	2	10	9976	3209898	3219874	-	+	False
KRH32668	KRH32669	GLYMA_10G066900	GLYMA_10G067000	2	10	35506	6536855	6572361	+	-	False
KRH33374	KRH33376	GLYMA_10G118900	GLYMA_10G119100	2	10	25098	30333348	30358446	+	-	False
KRH34483	KRH34484	GLYMA_10G186800	GLYMA_10G186900	2	10	22910	41985721	42008631	-	-	True
KRH34483	KRH34485	GLYMA_10G186800	GLYMA_10G187000	2	10	31549	41985721	42017270	-	-	True
KRH34484	KRH34485	GLYMA_10G186900	GLYMA_10G187000	2	10	8639	42008631	42017270	-	-	True
KRH34596	KRH34607	GLYMA_10G193400	GLYMA_10G194200	2	10	68005	42562106	42630111	+	-	False
KRH35382	KRH35383	GLYMA_10G239300	GLYMA_10G239400	2	10	15934	46792292	46808226	+	+	True
KRH27792	KRH27803	GLYMA_11G014200	GLYMA_11G014800	2	11	35255	991223	1026478	+	+	True
KRH27850	KRH27859	GLYMA_11G018100	GLYMA_11G019000	2	11	70914	1260713	1331627	+	-	False
KRH28146	KRH28164	GLYMA_11G035100	GLYMA_11G036400	2	11	76316	2543877	2620193	-	-	True
KRH28146	KRH28165	GLYMA_11G035100	GLYMA_11G036500	2	11	85759	2543877	2629636	-	+	False
KRH28164	KRH28165	GLYMA_11G036400	GLYMA_11G036500	2	11	9443	2620193	2629636	-	+	False
KRH26586	KRH26588	GLYMA_12G182200	GLYMA_12G182400	2	12	20480	34313369	34333849	-	-	True
KRH19547	KRH19548	GLYMA_13G122500	GLYMA_13G122600	2	13	10459	23533822	23544281	+	+	True
KRH19547	KRH19549	GLYMA_13G122500	GLYMA_13G122700	2	13	23213	23533822	23557035	+	+	True
KRH19547	KRH19550	GLYMA_13G122500	GLYMA_13G122800	2	13	37312	23533822	23571134	+	+	True
KRH19547	KRH19551	GLYMA_13G122500	GLYMA_13G122900	2	13	69190	23533822	23603012	+	+	True
KRH19547	KRH19552	GLYMA_13G122500	GLYMA_13G123000	2	13	89444	23533822	23623266	+	-	False
KRH19548	KRH19549	GLYMA_13G122600	GLYMA_13G122700	2	13	12754	23544281	23557035	+	+	True
KRH19548	KRH19550	GLYMA_13G122600	GLYMA_13G122800	2	13	26853	23544281	23571134	+	+	True
KRH19548	KRH19551	GLYMA_13G122600	GLYMA_13G122900	2	13	58731	23544281	23603012	+	+	True
KRH19548	KRH19552	GLYMA_13G122600	GLYMA_13G123000	2	13	78985	23544281	23623266	+	-	False
KRH19548	KRH19553	GLYMA_13G122600	GLYMA_13G123100	2	13	92101	23544281	23636382	+	+	True
KRH19549	KRH19550	GLYMA_13G122700	GLYMA_13G122800	2	13	14099	23557035	23571134	+	+	True
KRH19549	KRH19551	GLYMA_13G122700	GLYMA_13G122900	2	13	45977	23557035	23603012	+	+	True
KRH19549	KRH19552	GLYMA_13G122700	GLYMA_13G123000	2	13	66231	23557035	23623266	+	-	False
KRH19549	KRH19553	GLYMA_13G122700	GLYMA_13G123100	2	13	79347	23557035	23636382	+	+	True
KRH19550	KRH19551	GLYMA_13G122800	GLYMA_13G122900	2	13	31878	23571134	23603012	+	+	True
KRH19550	KRH19552	GLYMA_13G122800	GLYMA_13G123000	2	13	52132	23571134	23623266	+	-	False
KRH19550	KRH19553	GLYMA_13G122800	GLYMA_13G123100	2	13	65248	23571134	23636382	+	+	True
KRH19551	KRH19552	GLYMA_13G122900	GLYMA_13G123000	2	13	20254	23603012	23623266	+	-	False
KRH19551	KRH19553	GLYMA_13G122900	GLYMA_13G123100	2	13	33370	23603012	23636382	+	+	True
KRH19552	KRH19553	GLYMA_13G123000	GLYMA_13G123100	2	13	13116	23623266	23636382	-	+	False
KRH20037	KRH20038	GLYMA_13G151900	GLYMA_13G152000	2	13	15904	26625373	26641277	+	-	False
KRH21337	KRH21338	GLYMA_13G233800	GLYMA_13G233900	2	13	4093	34455747	34459840	+	-	False
KRH21384	KRH21385	GLYMA_13G236500	GLYMA_13G236600	2	13	23973	34675713	34699686	+	-	False
KRH10926	KRH10927	GLYMA_15G077000	GLYMA_15G077100	2	15	17556	5920704	5938260	+	-	False
KRH10962	KRH10963	GLYMA_15G079100	GLYMA_15G079200	2	15	4479	6085551	6090030	+	-	False
KRH12207	KRH12208	GLYMA_15G159100	GLYMA_15G159200	2	15	8195	13416437	13424632	+	+	True
KRH03986	KRH03987	GLYMA_17G131800	GLYMA_17G131900	2	17	10499	10579458	10589957	+	+	True
KRH04191	KRH04192	GLYMA_17G145300	GLYMA_17G145400	2	17	14265	11923829	11938094	-	+	False
KRH01075	KRH01076	GLYMA_18G252200	GLYMA_18G252300	2	18	5798	53899264	53905062	+	+	True
KRH01075	KRH01077	GLYMA_18G252200	GLYMA_18G252400	2	18	10542	53899264	53909806	+	+	True
KRH01076	KRH01077	GLYMA_18G252300	GLYMA_18G252400	2	18	4744	53905062	53909806	+	+	True
KRG93709	KRG93713	GLYMA_19G035100	GLYMA_19G035500	2	19	47254	4623835	4671089	+	+	True
KRG95653	KRG95654	GLYMA_19G163700	GLYMA_19G163800	2	19	6201	42449900	42456101	+	+	True
KRG95653	KRG95655	GLYMA_19G163700	GLYMA_19G163900	2	19	13073	42449900	42462973	+	+	True
KRG95653	KRG95657	GLYMA_19G163700	GLYMA_19G164100	2	19	46141	42449900	42496041	+	+	True
KRG95654	KRG95655	GLYMA_19G163800	GLYMA_19G163900	2	19	6872	42456101	42462973	+	+	True
KRG95654	KRG95657	GLYMA_19G163800	GLYMA_19G164100	2	19	39940	42456101	42496041	+	+	True
KRG95655	KRG95657	GLYMA_19G163900	GLYMA_19G164100	2	19	33068	42462973	42496041	+	+	True
KRH70063	KRH70088	GLYMA_02G066200	GLYMA_02G067600	2	2	96778	5878333	5975111	+	+	True
KRG90129	KRG90130	GLYMA_20G070000	GLYMA_20G070100	2	20	16219	24879792	24896011	+	-	False
KRG91437	KRG91438	GLYMA_20G155100	GLYMA_20G155200	2	20	14745	39385911	39400656	-	-	True
KRG92180	KRG92185	GLYMA_20G195900	GLYMA_20G196400	2	20	23989	43406892	43430881	+	+	True
KRG92180	KRG92191	GLYMA_20G195900	GLYMA_20G197000	2	20	54112	43406892	43461004	+	-	False
KRG92185	KRG92191	GLYMA_20G196400	GLYMA_20G197000	2	20	30123	43430881	43461004	+	-	False
KRG92309	KRG92310	GLYMA_20G203500	GLYMA_20G203600	2	20	10543	44029963	44040506	+	+	True
KRG92309	KRG92311	GLYMA_20G203500	GLYMA_20G203700	2	20	26841	44029963	44056804	+	+	True
KRG92310	KRG92311	GLYMA_20G203600	GLYMA_20G203700	2	20	16298	44040506	44056804	+	+	True
KRH66522	KRH66523	GLYMA_03G111700	GLYMA_03G111800	2	3	18369	31704856	31723225	-	-	True
KRH66522	KRH66525	GLYMA_03G111700	GLYMA_03G112000	2	3	63467	31704856	31768323	-	+	False
KRH66523	KRH66525	GLYMA_03G111800	GLYMA_03G112000	2	3	45098	31723225	31768323	-	+	False
KRH66525	KRH66526	GLYMA_03G112000	GLYMA_03G112100	2	3	71401	31768323	31839724	+	+	True
KRH66526	KRH66529	GLYMA_03G112100	GLYMA_03G112400	2	3	45876	31839724	31885600	+	-	False
KRH66526	KRH66531	GLYMA_03G112100	GLYMA_03G112600	2	3	87996	31839724	31927720	+	-	False
KRH66526	KRH66532	GLYMA_03G112100	GLYMA_03G112700	2	3	90354	31839724	31930078	+	-	False
KRH66526	KRH66533	GLYMA_03G112100	GLYMA_03G112800	2	3	94461	31839724	31934185	+	+	True
KRH66529	KRH66531	GLYMA_03G112400	GLYMA_03G112600	2	3	42120	31885600	31927720	-	-	True
KRH66529	KRH66532	GLYMA_03G112400	GLYMA_03G112700	2	3	44478	31885600	31930078	-	-	True
KRH66529	KRH66533	GLYMA_03G112400	GLYMA_03G112800	2	3	48585	31885600	31934185	-	+	False
KRH66531	KRH66532	GLYMA_03G112600	GLYMA_03G112700	2	3	2358	31927720	31930078	-	-	True
KRH66531	KRH66533	GLYMA_03G112600	GLYMA_03G112800	2	3	6465	31927720	31934185	-	+	False
KRH66532	KRH66533	GLYMA_03G112700	GLYMA_03G112800	2	3	4107	31930078	31934185	-	+	False
KRH67368	KRH67369	GLYMA_03G162400	GLYMA_03G162500	2	3	4834	37717268	37722102	+	+	True
KRH67368	KRH67370	GLYMA_03G162400	GLYMA_03G162600	2	3	23642	37717268	37740910	+	-	False
KRH67368	KRH67371	GLYMA_03G162400	GLYMA_03G162700	2	3	35646	37717268	37752914	+	+	True
KRH67369	KRH67370	GLYMA_03G162500	GLYMA_03G162600	2	3	18808	37722102	37740910	+	-	False
KRH67369	KRH67371	GLYMA_03G162500	GLYMA_03G162700	2	3	30812	37722102	37752914	+	+	True
KRH67370	KRH67371	GLYMA_03G162600	GLYMA_03G162700	2	3	12004	37740910	37752914	-	+	False
KRH63877	KRH63879	GLYMA_04G201700	GLYMA_04G201900	2	4	8958	47460161	47469119	+	+	True
KRH57257	KRH57258	GLYMA_05G049800	GLYMA_05G049900	2	5	6921	4458004	4464925	+	+	True
KRH57483	KRH57484	GLYMA_05G063500	GLYMA_05G063600	2	5	43873	6132703	6176576	-	+	False
KRH47384	KRH47397	GLYMA_07G025800	GLYMA_07G027000	2	7	98932	2020503	2119435	+	-	False
KRH48809	KRH48811	GLYMA_07G113800	GLYMA_07G114000	2	7	7970	11839715	11847685	-	+	False
KRH44513	KRH44522	GLYMA_08G215700	GLYMA_08G216600	2	8	64197	17513184	17577381	+	-	False
KRH37226	KRH37227	GLYMA_09G052800	GLYMA_09G052900	2	9	6868	4645153	4652021	+	+	True
KRH37226	KRH37228	GLYMA_09G052800	GLYMA_09G053000	2	9	24446	4645153	4669599	+	+	True
KRH37227	KRH37228	GLYMA_09G052900	GLYMA_09G053000	2	9	17578	4652021	4669599	+	+	True
KRH31759	KRH31760	GLYMA_10G010300	GLYMA_10G010400	3	10	7901	976000	983901	+	+	True
KRH34790	KRH34791	GLYMA_10G206400	GLYMA_10G206500	3	10	8394	43811297	43819691	+	+	True
KRH35328	KRH35334	GLYMA_10G236400	GLYMA_10G236600	3	10	7803	46541417	46549220	-	-	True
KRH25458	KRH25459	GLYMA_12G104500	GLYMA_12G104600	3	12	21362	9467174	9488536	+	+	True
KRH25458	KRH25461	GLYMA_12G104500	GLYMA_12G104800	3	12	36685	9467174	9503859	+	+	True
KRH25458	KRH25467	GLYMA_12G104500	GLYMA_12G105300	3	12	74440	9467174	9541614	+	+	True
KRH25459	KRH25461	GLYMA_12G104600	GLYMA_12G104800	3	12	15323	9488536	9503859	+	+	True
KRH25459	KRH25467	GLYMA_12G104600	GLYMA_12G105300	3	12	53078	9488536	9541614	+	+	True
KRH25461	KRH25467	GLYMA_12G104800	GLYMA_12G105300	3	12	37755	9503859	9541614	+	+	True
KRH25461	KRH25468	GLYMA_12G104800	GLYMA_12G105400	3	12	92959	9503859	9596818	+	+	True
KRH25467	KRH25468	GLYMA_12G105300	GLYMA_12G105400	3	12	55204	9541614	9596818	+	+	True
KRH26874	KRH26875	GLYMA_12G199100	GLYMA_12G199200	3	12	17465	36031074	36048539	+	+	True
KRH26874	KRH26879	GLYMA_12G199100	GLYMA_12G199600	3	12	62624	36031074	36093698	+	-	False
KRH26875	KRH26879	GLYMA_12G199200	GLYMA_12G199600	3	12	45159	36048539	36093698	+	-	False
KRH22242	KRH22243	GLYMA_13G287700	GLYMA_13G287800	3	13	6329	38819754	38826083	+	+	True
KRH22467	KRH22480	GLYMA_13G302400	GLYMA_13G303100	3	13	60004	39947028	40007032	-	-	True
KRH22467	KRH22481	GLYMA_13G302400	GLYMA_13G303200	3	13	67648	39947028	40014676	-	-	True
KRH22480	KRH22481	GLYMA_13G303100	GLYMA_13G303200	3	13	7644	40007032	40014676	-	-	True
KRH06175	KRH06177	GLYMA_16G007100	GLYMA_16G007200	3	16	10960	583765	594725	+	+	True
KRH01207	KRH01212	GLYMA_18G261400	GLYMA_18G261700	3	18	24629	54739489	54764118	+	-	False
KRH01207	KRH01217	GLYMA_18G261400	GLYMA_18G262000	3	18	48877	54739489	54788366	+	-	False
KRH01212	KRH01217	GLYMA_18G261700	GLYMA_18G262000	3	18	24248	54764118	54788366	-	-	True
KRH01378	KRH01379	GLYMA_18G273300	GLYMA_18G273400	3	18	4378	55604789	55609167	+	+	True
KRG94086	KRG94090	GLYMA_19G061300	GLYMA_19G0616002	3	19	51909	12740485	12792394	-	-	True
KRG94086	KRG94092	GLYMA_19G061300	GLYMA_19G0616001	3	19	56920	12740485	12797405	-	-	True
KRG94090	KRG94092	GLYMA_19G0616002	GLYMA_19G0616001	3	19	5011	12792394	12797405	-	-	True
KRG94424	KRG94429	GLYMA_19G083700	GLYMA_19G084000	3	19	79146	30180296	30259442	+	+	True
KRG96561	KRG96563	GLYMA_19G218800	GLYMA_19G219000	3	19	8949	47122812	47131761	-	-	True
KRH70776	KRH70777	GLYMA_02G110000	GLYMA_02G110100	3	2	35894	10568649	10604543	+	+	True
KRH70776	KRH70778	GLYMA_02G110000	GLYMA_02G110200	3	2	60722	10568649	10629371	+	+	True
KRH70777	KRH70778	GLYMA_02G110100	GLYMA_02G110200	3	2	24828	10604543	10629371	+	+	True
KRG89764	KRG89766	GLYMA_20G047400	GLYMA_20G047600	3	20	84095	8892307	8976402	+	-	False
KRG91494	KRG91501	GLYMA_20G157900	GLYMA_20G158100	3	20	12611	39663180	39675791	+	+	True
KRG91990	KRG91991	GLYMA_20G184100	GLYMA_20G184200	3	20	10698	42218554	42229252	-	-	True
KRH68299	KRH68301	GLYMA_03G221700	GLYMA_03G221900	3	3	7819	42472204	42480023	-	-	True
KRH57456	KRH57457	GLYMA_05G0619002	GLYMA_05G0619001	3	5	2133	5790866	5792999	-	-	True
KRH56050	KRH56056	GLYMA_06G299300	GLYMA_06G299900	3	6	75454	48784473	48859927	+	-	False
KRH56050	KRH56057	GLYMA_06G299300	GLYMA_06G300000	3	6	95793	48784473	48880266	+	-	False
KRH56056	KRH56057	GLYMA_06G299900	GLYMA_06G300000	3	6	20339	48859927	48880266	-	-	True
KRH56056	KRH56058	GLYMA_06G299900	GLYMA_06G300100	3	6	30608	48859927	48890535	-	-	True
KRH56056	KRH56059	GLYMA_06G299900	GLYMA_06G300200	3	6	48708	48859927	48908635	-	-	True
KRH56056	KRH56060	GLYMA_06G299900	GLYMA_06G300300	3	6	58053	48859927	48917980	-	-	True
KRH56056	KRH56061	GLYMA_06G299900	GLYMA_06G300400	3	6	69494	48859927	48929421	-	-	True
KRH56057	KRH56058	GLYMA_06G300000	GLYMA_06G300100	3	6	10269	48880266	48890535	-	-	True
KRH56057	KRH56059	GLYMA_06G300000	GLYMA_06G300200	3	6	28369	48880266	48908635	-	-	True
KRH56057	KRH56060	GLYMA_06G300000	GLYMA_06G300300	3	6	37714	48880266	48917980	-	-	True
KRH56057	KRH56061	GLYMA_06G300000	GLYMA_06G300400	3	6	49155	48880266	48929421	-	-	True
