geneA	geneB	tag_id	startA	endA	strandA	startB	endB	strandB	orientation
KRH74878	KRH74879	482_TAG1	5681940	5684496	-1	5695082	5697378	-1	tandem
KRH74901	KRH74902	336_TAG1	6026181	6027108	1	6027753	6027965	1	tandem
KRH74910	KRH74911	5_TAG5	6114439	6115803	1	6252995	6254510	1	tandem
KRH74938	KRH74939	308_TAG2	6518999	6534157	1	6538430	6538971	1	tandem
KRH75017	KRH75018	66_TAG1	7525703	7533850	-1	7537464	7539817	-1	tandem
KRH75044	KRH75048	14_TAG2	7775524	7777317	-1	7790857	7792847	-1	tandem
KRH75123	KRH75124	20_TAG4	9380928	9394254	1	9496131	9496662	1	tandem
KRH75123	KRH75127	20_TAG4	9380928	9394254	1	9497939	9500657	1	tandem
KRH75124	KRH75127	20_TAG4	9496131	9496662	1	9497939	9500657	1	tandem
KRH75151	KRH75152	2031_TAG1	10080759	10085887	1	10100394	10108404	1	tandem
KRH75156	KRH75157	30_TAG2	10191246	10193108	-1	10337068	10338889	-1	tandem
KRH75156	KRH75159	30_TAG2	10191246	10193108	-1	10403999	10405863	-1	tandem
KRH75157	KRH75159	30_TAG2	10337068	10338889	-1	10403999	10405863	-1	tandem
KRH75209	KRH75210	1526_TAG1	11957903	11958314	-1	11974212	11975335	-1	tandem
KRH75238	KRH75239	132_TAG1	13341778	13344853	-1	13344929	13357815	-1	tandem
KRH75258	KRH75259	4_TAG10	14446411	14448213	-1	14448653	14450534	-1	tandem
KRH75280	KRH75282	1578_TAG1	16817206	16817747	1	16835215	16837297	1	tandem
KRH75280	KRH75283	1578_TAG1	16817206	16817747	1	16872442	16890182	1	tandem
KRH75282	KRH75283	1578_TAG1	16835215	16837297	1	16872442	16890182	1	tandem
KRH75287	KRH75288	119_TAG2	17042561	17049552	1	17154114	17157080	-1	convergent
KRH75296	KRH75297	16_TAG3	18069356	18069964	1	18073653	18077662	-1	convergent
KRH75378	KRH75379	25_TAG3	23676023	23681576	1	23698304	23701695	1	tandem
KRH75442	KRH75445	37_TAG5	25231530	25245899	1	25274635	25277191	1	tandem
KRH75442	KRH75446	37_TAG5	25231530	25245899	1	25343208	25345580	1	tandem
KRH75442	KRH75447	37_TAG5	25231530	25245899	1	25378074	25380736	1	tandem
KRH75445	KRH75446	37_TAG5	25274635	25277191	1	25343208	25345580	1	tandem
KRH75445	KRH75447	37_TAG5	25274635	25277191	1	25378074	25380736	1	tandem
KRH75446	KRH75447	37_TAG5	25343208	25345580	1	25378074	25380736	1	tandem
KRH75456	KRH75469	2526_TAG1	25676433	25688055	-1	25701810	25706023	-1	tandem
KRH75479	KRH75480	1550_TAG1	26205090	26210292	-1	26240964	26243645	-1	tandem
KRH75549	KRH75550	127_TAG1	27892476	27893782	-1	27894130	27894578	-1	tandem
KRH75553	KRH75554	3563_TAG1	27900005	27900942	-1	27944192	27945565	-1	tandem
KRH75637	KRH75641	4426_TAG1	32659609	32661787	1	32700313	32702482	1	tandem
KRH75700	KRH75702	209_TAG1	34131955	34133696	1	34164743	34168253	1	tandem
KRH75700	KRH75705	209_TAG1	34131955	34133696	1	34337791	34343121	1	tandem
KRH75702	KRH75705	209_TAG1	34164743	34168253	1	34337791	34343121	1	tandem
KRH75718	KRH75719	1043_TAG1	34675697	34678669	-1	34681801	34683828	1	divergent
KRH75720	KRH75721	16_TAG8	34756185	34757159	-1	34760707	34761652	1	divergent
KRH75749	KRH75750	59_TAG2	35856268	35858442	1	35880778	35882807	1	tandem
KRH75773	KRH75774	71_TAG1	36947715	36956807	-1	36968202	36971897	-1	tandem
KRH75773	KRH75775	71_TAG1	36947715	36956807	-1	36981928	36986006	-1	tandem
KRH75774	KRH75775	71_TAG1	36968202	36971897	-1	36981928	36986006	-1	tandem
KRH75780	KRH75781	1043_TAG2	37059402	37063387	1	37085477	37089095	1	tandem
KRH75822	KRH75825	8_TAG5	38052055	38061835	1	38071339	38078837	1	tandem
KRH75841	KRH75842	811_TAG2	38951181	38951998	1	38958799	38959230	1	tandem
KRH75841	KRH75843	811_TAG2	38951181	38951998	1	38975352	38976242	1	tandem
KRH75842	KRH75843	811_TAG2	38958799	38959230	1	38975352	38976242	1	tandem
KRH75851	KRH75857	842_TAG1	39584363	39586708	1	39627907	39629591	-1	convergent
KRH75867	KRH75871	842_TAG2	39914172	39915206	-1	39989466	39991540	-1	tandem
KRH75867	KRH75872	842_TAG2	39914172	39915206	-1	40039703	40041657	1	divergent
KRH75871	KRH75872	842_TAG2	39989466	39991540	-1	40039703	40041657	1	divergent
KRH75885	KRH75887	151_TAG1	40138944	40152980	1	40154907	40156231	1	tandem
KRH75885	KRH75888	151_TAG1	40138944	40152980	1	40163286	40165597	1	tandem
KRH75885	KRH75889	151_TAG1	40138944	40152980	1	40191469	40199263	1	tandem
KRH75887	KRH75888	151_TAG1	40154907	40156231	1	40163286	40165597	1	tandem
KRH75887	KRH75889	151_TAG1	40154907	40156231	1	40191469	40199263	1	tandem
KRH75888	KRH75889	151_TAG1	40163286	40165597	1	40191469	40199263	1	tandem
KRH75890	KRH75891	121_TAG1	40205966	40206434	-1	40207039	40209574	-1	tandem
KRH75893	KRH75894	2_TAG9	40366052	40369893	1	40481596	40482003	1	tandem
KRH75893	KRH75895	2_TAG9	40366052	40369893	1	40497296	40501480	-1	convergent
KRH75894	KRH75895	2_TAG9	40481596	40482003	1	40497296	40501480	-1	convergent
KRH75931	KRH75936	1_TAG22	40784231	40793131	1	40803098	40803482	1	tandem
KRH75931	KRH75938	1_TAG22	40784231	40793131	1	40826050	40838828	1	tandem
KRH75931	KRH75939	1_TAG22	40784231	40793131	1	40859920	40890833	1	tandem
KRH75936	KRH75938	1_TAG22	40803098	40803482	1	40826050	40838828	1	tandem
KRH75936	KRH75939	1_TAG22	40803098	40803482	1	40859920	40890833	1	tandem
KRH75938	KRH75939	1_TAG22	40826050	40838828	1	40859920	40890833	1	tandem
KRH75951	KRH75952	8_TAG6	41191210	41191991	-1	41197286	41198586	-1	tandem
KRH75954	KRH75955	2_TAG12	41270756	41274625	1	41290458	41293816	1	tandem
KRH76015	KRH76019	45_TAG2	43072174	43076075	1	43107332	43111390	1	tandem
KRH76023	KRH76026	8_TAG7	43315015	43319760	-1	43394156	43403339	-1	tandem
KRH76034	KRH76036	916_TAG1	43477093	43480432	-1	43506639	43510355	-1	tandem
KRH76040	KRH76041	161_TAG1	43570466	43571606	1	43597983	43598827	1	tandem
KRH76045	KRH76047	161_TAG2	43712979	43713852	1	43806805	43807905	1	tandem
KRH76045	KRH76049	161_TAG2	43712979	43713852	1	43890357	43891777	1	tandem
KRH76047	KRH76049	161_TAG2	43806805	43807905	1	43890357	43891777	1	tandem
KRH76060	KRH76064	3564_TAG1	44081416	44085511	-1	44104248	44108569	-1	tandem
KRH76071	KRH76072	557_TAG1	44260979	44263149	1	44287286	44289554	1	tandem
KRH76083	KRH76084	297_TAG1	44435956	44439864	-1	44470678	44472260	-1	tandem
KRH76083	KRH76085	297_TAG1	44435956	44439864	-1	44486224	44488395	-1	tandem
KRH76084	KRH76085	297_TAG1	44470678	44472260	-1	44486224	44488395	-1	tandem
KRH76088	KRH76091	12_TAG3	44585651	44587706	1	44650078	44652586	1	tandem
KRH76117	KRH76118	297_TAG2	45184633	45186190	1	45213175	45214840	1	tandem
KRH76142	KRH76143	1976_TAG1	45575175	45583810	1	45576740	45580929	1	tandem
KRH76147	KRH76150	502_TAG1	45619791	45625653	-1	45655512	45656439	1	divergent
KRH76184	KRH76188	30_TAG5	46433818	46438059	-1	46517589	46519892	-1	tandem
KRH76184	KRH76189	30_TAG5	46433818	46438059	-1	46542648	46544665	1	divergent
KRH76188	KRH76189	30_TAG5	46517589	46519892	-1	46542648	46544665	1	divergent
KRH76196	KRH76197	327_TAG1	46619742	46620640	-1	46658152	46658616	-1	tandem
KRH76214	KRH76215	3259_TAG1	46787249	46789072	-1	46801922	46805707	-1	tandem
KRH76236	KRH76240	512_TAG1	47030015	47030266	-1	47204113	47204544	-1	tandem
KRH76236	KRH76241	512_TAG1	47030015	47030266	-1	47207937	47208353	-1	tandem
KRH76236	KRH76242	512_TAG1	47030015	47030266	-1	47243142	47243558	-1	tandem
KRH76236	KRH76244	512_TAG1	47030015	47030266	-1	47309334	47309968	1	divergent
KRH76236	KRH76246	512_TAG1	47030015	47030266	-1	47350285	47350924	1	divergent
KRH76236	KRH76253	512_TAG1	47030015	47030266	-1	47416824	47417480	-1	tandem
KRH76236	KRH76254	512_TAG1	47030015	47030266	-1	47419675	47420109	-1	tandem
KRH76236	KRH76255	512_TAG1	47030015	47030266	-1	47442336	47442692	-1	tandem
KRH76240	KRH76241	512_TAG1	47204113	47204544	-1	47207937	47208353	-1	tandem
KRH76240	KRH76242	512_TAG1	47204113	47204544	-1	47243142	47243558	-1	tandem
KRH76240	KRH76244	512_TAG1	47204113	47204544	-1	47309334	47309968	1	divergent
KRH76240	KRH76246	512_TAG1	47204113	47204544	-1	47350285	47350924	1	divergent
KRH76240	KRH76253	512_TAG1	47204113	47204544	-1	47416824	47417480	-1	tandem
KRH76240	KRH76254	512_TAG1	47204113	47204544	-1	47419675	47420109	-1	tandem
KRH76240	KRH76255	512_TAG1	47204113	47204544	-1	47442336	47442692	-1	tandem
KRH76241	KRH76242	512_TAG1	47207937	47208353	-1	47243142	47243558	-1	tandem
KRH76241	KRH76244	512_TAG1	47207937	47208353	-1	47309334	47309968	1	divergent
KRH76241	KRH76246	512_TAG1	47207937	47208353	-1	47350285	47350924	1	divergent
KRH76241	KRH76253	512_TAG1	47207937	47208353	-1	47416824	47417480	-1	tandem
KRH76241	KRH76254	512_TAG1	47207937	47208353	-1	47419675	47420109	-1	tandem
KRH76241	KRH76255	512_TAG1	47207937	47208353	-1	47442336	47442692	-1	tandem
KRH76242	KRH76244	512_TAG1	47243142	47243558	-1	47309334	47309968	1	divergent
KRH76242	KRH76246	512_TAG1	47243142	47243558	-1	47350285	47350924	1	divergent
KRH76242	KRH76253	512_TAG1	47243142	47243558	-1	47416824	47417480	-1	tandem
KRH76242	KRH76254	512_TAG1	47243142	47243558	-1	47419675	47420109	-1	tandem
KRH76242	KRH76255	512_TAG1	47243142	47243558	-1	47442336	47442692	-1	tandem
KRH76244	KRH76246	512_TAG1	47309334	47309968	1	47350285	47350924	1	tandem
KRH76244	KRH76253	512_TAG1	47309334	47309968	1	47416824	47417480	-1	convergent
KRH76244	KRH76254	512_TAG1	47309334	47309968	1	47419675	47420109	-1	convergent
KRH76244	KRH76255	512_TAG1	47309334	47309968	1	47442336	47442692	-1	convergent
KRH76246	KRH76253	512_TAG1	47350285	47350924	1	47416824	47417480	-1	convergent
KRH76246	KRH76254	512_TAG1	47350285	47350924	1	47419675	47420109	-1	convergent
KRH76246	KRH76255	512_TAG1	47350285	47350924	1	47442336	47442692	-1	convergent
KRH76253	KRH76254	512_TAG1	47416824	47417480	-1	47419675	47420109	-1	tandem
KRH76253	KRH76255	512_TAG1	47416824	47417480	-1	47442336	47442692	-1	tandem
KRH76254	KRH76255	512_TAG1	47419675	47420109	-1	47442336	47442692	-1	tandem
KRH76281	KRH76282	54_TAG2	47752470	47757620	-1	47782559	47787461	1	divergent
KRH76343	KRH76344	292_TAG1	48381607	48383633	1	48383966	48388062	1	tandem
KRH76412	KRH76413	3529_TAG1	48784527	48785890	-1	48787223	48787552	1	divergent
KRH76430	KRH76431	2_TAG20	48919677	48920849	-1	48920898	48923219	-1	tandem
KRH76463	KRH76464	1043_TAG3	49115914	49118738	-1	49120641	49124236	1	divergent
KRH76480	KRH76481	1330_TAG1	49292318	49294673	1	49298763	49301666	1	tandem
KRH76556	KRH76558	655_TAG1	49855736	49858284	-1	49858435	49858933	-1	tandem
KRH76561	KRH76564	80_TAG1	49875564	49876463	1	49888306	49889377	1	tandem
KRH76561	KRH76565	80_TAG1	49875564	49876463	1	49891600	49892567	1	tandem
KRH76561	KRH76567	80_TAG1	49875564	49876463	1	49903403	49904459	1	tandem
KRH76561	KRH76568	80_TAG1	49875564	49876463	1	49907842	49908717	1	tandem
KRH76561	KRH76569	80_TAG1	49875564	49876463	1	49910918	49911994	1	tandem
KRH76561	KRH76570	80_TAG1	49875564	49876463	1	49920056	49920994	1	tandem
KRH76564	KRH76565	80_TAG1	49888306	49889377	1	49891600	49892567	1	tandem
KRH76564	KRH76567	80_TAG1	49888306	49889377	1	49903403	49904459	1	tandem
KRH76564	KRH76568	80_TAG1	49888306	49889377	1	49907842	49908717	1	tandem
KRH76564	KRH76569	80_TAG1	49888306	49889377	1	49910918	49911994	1	tandem
KRH76564	KRH76570	80_TAG1	49888306	49889377	1	49920056	49920994	1	tandem
KRH76565	KRH76567	80_TAG1	49891600	49892567	1	49903403	49904459	1	tandem
KRH76565	KRH76568	80_TAG1	49891600	49892567	1	49907842	49908717	1	tandem
KRH76565	KRH76569	80_TAG1	49891600	49892567	1	49910918	49911994	1	tandem
KRH76565	KRH76570	80_TAG1	49891600	49892567	1	49920056	49920994	1	tandem
KRH76567	KRH76568	80_TAG1	49903403	49904459	1	49907842	49908717	1	tandem
KRH76567	KRH76569	80_TAG1	49903403	49904459	1	49910918	49911994	1	tandem
KRH76567	KRH76570	80_TAG1	49903403	49904459	1	49920056	49920994	1	tandem
KRH76568	KRH76569	80_TAG1	49907842	49908717	1	49910918	49911994	1	tandem
KRH76568	KRH76570	80_TAG1	49907842	49908717	1	49920056	49920994	1	tandem
KRH76569	KRH76570	80_TAG1	49910918	49911994	1	49920056	49920994	1	tandem
KRH76586	KRH76587	1729_TAG1	49994803	49998996	-1	50000654	50003984	-1	tandem
KRH76636	KRH76637	518_TAG1	50211479	50215316	1	50218086	50222144	1	tandem
KRH76648	KRH76650	79_TAG1	50285622	50287921	-1	50304936	50307136	-1	tandem
KRH76648	KRH76653	79_TAG1	50285622	50287921	-1	50323085	50323932	-1	tandem
KRH76650	KRH76653	79_TAG1	50304936	50307136	-1	50323085	50323932	-1	tandem
KRH76698	KRH76699	1287_TAG1	50639559	50646352	1	50650509	50654660	1	tandem
KRH76739	KRH76740	154_TAG1	50859817	50861630	-1	50866595	50870288	-1	tandem
KRH76759	KRH76760	220_TAG3	50980073	50982344	-1	51006487	51012441	-1	tandem
KRH76759	KRH76762	220_TAG3	50980073	50982344	-1	51015925	51018163	-1	tandem
KRH76759	KRH76763	220_TAG3	50980073	50982344	-1	51020047	51025420	-1	tandem
KRH76760	KRH76762	220_TAG3	51006487	51012441	-1	51015925	51018163	-1	tandem
KRH76760	KRH76763	220_TAG3	51006487	51012441	-1	51020047	51025420	-1	tandem
KRH76762	KRH76763	220_TAG3	51015925	51018163	-1	51020047	51025420	-1	tandem
KRH76772	KRH76773	71_TAG3	51045598	51048323	-1	51051702	51054330	-1	tandem
KRH76787	KRH76789	100_TAG1	51129486	51132059	1	51133848	51137248	1	tandem
KRH76882	KRH76883	1_TAG28	51506580	51509303	1	51511017	51514626	-1	convergent
KRH76886	KRH76887	9_TAG6	51530823	51533307	-1	51538082	51540147	-1	tandem
KRH76886	KRH76888	9_TAG6	51530823	51533307	-1	51542408	51545526	-1	tandem
KRH76886	KRH76889	9_TAG6	51530823	51533307	-1	51552478	51554588	-1	tandem
KRH76887	KRH76888	9_TAG6	51538082	51540147	-1	51542408	51545526	-1	tandem
KRH76887	KRH76889	9_TAG6	51538082	51540147	-1	51552478	51554588	-1	tandem
KRH76888	KRH76889	9_TAG6	51542408	51545526	-1	51552478	51554588	-1	tandem
KRH76922	KRH76923	9_TAG7	51750226	51752479	1	51764341	51771081	1	tandem
KRH76939	KRH76940	306_TAG2	51854594	51858269	1	51859784	51864541	1	tandem
KRH76942	KRH76944	7_TAG9	51865338	51873203	-1	51876358	51876699	-1	tandem
KRH77010	KRH77011	811_TAG3	52221313	52222251	1	52232346	52233185	1	tandem
KRH77188	KRH77190	2_TAG24	53149151	53153447	-1	53169792	53173646	-1	tandem
KRH77192	KRH77193	141_TAG1	53190468	53192016	-1	53200751	53202455	-1	tandem
KRH77192	KRH77195	141_TAG1	53190468	53192016	-1	53209719	53211774	-1	tandem
KRH77193	KRH77195	141_TAG1	53200751	53202455	-1	53209719	53211774	-1	tandem
KRH77196	KRH77197	987_TAG1	53216061	53218727	-1	53217977	53218534	-1	tandem
KRH77205	KRH77206	76_TAG3	53270264	53271016	1	53282749	53286780	-1	convergent
KRH77244	KRH77245	1082_TAG1	53477407	53478941	1	53479249	53481181	1	tandem
KRH77250	KRH77251	2304_TAG1	53493684	53494098	-1	53494902	53498059	-1	tandem
KRH77257	KRH77258	27_TAG3	53513956	53517572	-1	53518552	53522189	-1	tandem
KRH77261	KRH77262	160_TAG2	53555426	53555962	-1	53556065	53557673	-1	tandem
KRH77307	KRH77308	3499_TAG1	53801208	53803695	-1	53806574	53810407	-1	tandem
KRH77320	KRH77322	1_TAG32	53862311	53865063	-1	53864531	53873823	1	divergent
KRH77320	KRH77321	1_TAG32	53862311	53865063	-1	53866309	53869264	-1	tandem
KRH77322	KRH77321	1_TAG32	53864531	53873823	1	53866309	53869264	-1	convergent
KRH77323	KRH77324	6_TAG7	53876576	53878093	-1	53889101	53889948	1	divergent
KRH77325	KRH77326	526_TAG1	53894237	53896068	1	53896480	53901305	1	tandem
KRH77361	KRH77362	3498_TAG1	54080104	54087487	1	54093282	54101201	1	tandem
KRH77446	KRH77447	29_TAG4	54504348	54506591	1	54510472	54512920	1	tandem
KRH77468	KRH77469	211_TAG3	54579823	54585550	1	54590283	54590793	1	tandem
KRH77468	KRH77470	211_TAG3	54579823	54585550	1	54594741	54597954	1	tandem
KRH77469	KRH77470	211_TAG3	54590283	54590793	1	54594741	54597954	1	tandem
KRH77483	KRH77484	6_TAG8	54666537	54675840	-1	54680837	54681388	-1	tandem
KRH77506	KRH77507	79_TAG2	54781496	54783061	1	54785135	54786700	1	tandem
KRH77528	KRH77529	399_TAG1	54869884	54874793	1	54880021	54887792	1	tandem
KRH77533	KRH77534	475_TAG1	54898360	54899711	1	54901152	54901625	1	tandem
KRH77548	KRH77549	1701_TAG1	54946786	54948146	1	54950150	54954751	1	tandem
KRH77552	KRH77554	578_TAG1	54964716	54968554	1	54969439	54970973	1	tandem
KRH77594	KRH77595	3496_TAG1	55174010	55174880	1	55177663	55178530	1	tandem
KRH77721	KRH77722	56_TAG3	55754712	55756078	-1	55763375	55765262	-1	tandem
KRH77737	KRH77739	6_TAG11	55815819	55816430	-1	55832173	55832727	1	divergent
KRH77756	KRH77757	334_TAG2	55877117	55879265	-1	55881376	55883143	-1	tandem
KRH77764	KRH77765	314_TAG1	55927523	55930592	1	55931212	55936773	1	tandem
KRH77834	KRH77837	1148_TAG1	56193800	56194639	1	56201763	56202822	1	tandem
KRH77858	KRH77859	554_TAG1	56263630	56270645	-1	56272306	56280098	-1	tandem
KRH77873	KRH77874	83_TAG1	56350417	56352160	-1	56355835	56357023	-1	tandem
KRH77873	KRH77875	83_TAG1	56350417	56352160	-1	56359933	56361479	1	divergent
KRH77873	KRH77876	83_TAG1	56350417	56352160	-1	56366844	56368625	1	divergent
KRH77874	KRH77875	83_TAG1	56355835	56357023	-1	56359933	56361479	1	divergent
KRH77874	KRH77876	83_TAG1	56355835	56357023	-1	56366844	56368625	1	divergent
KRH77875	KRH77876	83_TAG1	56359933	56361479	1	56366844	56368625	1	tandem
KRH77903	KRH77904	1_TAG34	56449419	56452248	1	56454917	56458951	1	tandem
KRH77903	KRH77907	1_TAG34	56449419	56452248	1	56460233	56463499	1	tandem
KRH77904	KRH77907	1_TAG34	56454917	56458951	1	56460233	56463499	1	tandem
KRH77983	KRH77985	1564_TAG1	56796545	56798082	-1	56815197	56824566	-1	tandem
KRH31612	KRH31613	457_TAG1	63082	66248	-1	71115	74498	-1	tandem
KRH31619	KRH31620	3823_TAG1	104625	114623	1	122421	132370	1	tandem
KRH31688	KRH31689	25_TAG9	535249	541722	1	545269	550554	1	tandem
KRH31694	KRH31697	3047_TAG1	589035	592833	-1	596216	599921	-1	tandem
KRH31709	KRH31710	6_TAG13	687091	688165	-1	700535	701388	-1	tandem
KRH31717	KRH31719	11_TAG8	731168	734331	-1	742509	745327	-1	tandem
KRH31742	KRH31745	12_TAG9	899850	901352	1	909707	910794	-1	convergent
KRH31759	KRH31760	5_TAG17	976000	977159	1	983901	985551	1	tandem
KRH31795	KRH31796	1_TAG37	1170874	1171621	1	1176602	1177408	1	tandem
KRH31847	KRH31849	1028_TAG2	1467332	1469442	-1	1471429	1474823	-1	tandem
KRH31851	KRH31852	4518_TAG1	1481938	1483248	1	1485141	1486020	1	tandem
KRH31856	KRH31857	30_TAG10	1506598	1510896	-1	1516848	1519869	1	divergent
KRH31859	KRH31860	716_TAG1	1527310	1528631	1	1531465	1532660	1	tandem
KRH31895	KRH31896	108_TAG2	1665415	1677518	-1	1681918	1697471	-1	tandem
KRH31910	KRH31911	363_TAG1	1782653	1786135	1	1788367	1792863	1	tandem
KRH31915	KRH31916	118_TAG1	1808789	1810391	-1	1815784	1816071	-1	tandem
KRH31915	KRH31917	118_TAG1	1808789	1810391	-1	1822877	1823688	-1	tandem
KRH31915	KRH31918	118_TAG1	1808789	1810391	-1	1834055	1834886	1	divergent
KRH31915	KRH31919	118_TAG1	1808789	1810391	-1	1844856	1845641	1	divergent
