Gene_ID	Chromosome	Start	End	Strand
gene:GLYMA_01G009200	1	901695	903187	+
gene:GLYMA_01G009300	1	908484	917161	+
gene:GLYMA_01G009400	1	920066	926129	-
gene:GLYMA_01G009500	1	934715	936944	+
gene:GLYMA_01G009600	1	937652	940822	-
gene:GLYMA_01G009700	1	952611	956924	+
gene:GLYMA_01G009800	1	959845	963550	+
gene:GLYMA_01G009900	1	967283	971604	-
gene:GLYMA_01G010000	1	973266	978674	-
gene:GLYMA_01G010100	1	980614	987665	-
gene:GLYMA_01G010200	1	993024	997480	-
gene:GLYMA_01G010300	1	1001210	1006864	-
gene:GLYMA_01G010400	1	1009200	1013846	+
gene:GLYMA_01G010500	1	1018533	1021955	+
gene:GLYMA_01G010600	1	1023389	1026035	+
gene:GLYMA_01G010700	1	1029283	1033685	+
gene:GLYMA_01G010800	1	1036293	1043767	-
gene:GLYMA_01G010900	1	1047531	1051340	+
gene:GLYMA_01G011000	1	1053128	1053792	-
gene:GLYMA_01G011100	1	1057125	1061925	+
gene:GLYMA_01G011200	1	1066465	1073644	-
gene:GLYMA_01G011300	1	1084424	1087061	+
gene:GLYMA_01G011400	1	1087724	1091143	+
gene:GLYMA_01G011500	1	1091564	1095405	-
gene:GLYMA_01G011600	1	1122016	1126673	-
gene:GLYMA_01G011700	1	1130669	1132629	+
gene:GLYMA_01G011800	1	1134872	1136320	-
gene:GLYMA_01G011900	1	1140332	1146805	-
gene:GLYMA_01G012000	1	1157100	1161503	+
gene:GLYMA_01G012100	1	1162070	1167484	-
gene:GLYMA_01G012200	1	1181837	1185096	-
gene:GLYMA_01G012300	1	1193004	1194457	-
gene:GLYMA_01G012400	1	1197820	1201968	+
gene:GLYMA_01G012500	1	1204032	1208621	+
gene:GLYMA_01G012600	1	1207929	1208531	-
gene:GLYMA_01G012700	1	1211160	1216306	+
gene:GLYMA_01G012800	1	1220267	1224974	+
gene:GLYMA_01G012900	1	1228018	1230052	-
gene:GLYMA_01G013000	1	1232056	1232591	+
gene:GLYMA_01G013100	1	1233755	1237513	-
gene:GLYMA_01G013200	1	1245513	1250153	-
gene:GLYMA_01G013300	1	1267962	1275041	+
gene:GLYMA_01G013400	1	1278300	1280130	-
gene:GLYMA_01G013500	1	1284193	1292972	-
gene:GLYMA_01G013600	1	1302163	1312433	-
gene:GLYMA_01G013700	1	1309915	1310645	+
gene:GLYMA_01G013800	1	1314163	1316550	+
gene:GLYMA_01G013900	1	1327885	1331315	+
gene:GLYMA_01G014000	1	1337737	1342734	-
gene:GLYMA_01G014100	1	1352031	1357445	-
gene:GLYMA_01G014200	1	1371903	1382029	-
gene:GLYMA_01G014300	1	1386439	1387102	-
gene:GLYMA_01G014400	1	1389107	1393444	+
gene:GLYMA_01G014500	1	1394486	1397925	-
gene:GLYMA_01G014600	1	1404289	1411232	+
gene:GLYMA_01G014700	1	1427800	1434338	+
gene:GLYMA_01G0148002	1	1459585	1462094	+
gene:GLYMA_01G0148001	1	1463543	1464612	+
gene:GLYMA_01G014900	1	1479986	1484286	+
gene:GLYMA_01G015000	1	1485325	1491704	-
gene:GLYMA_01G015100	1	1496846	1500010	+
gene:GLYMA_01G015200	1	1501239	1505312	-
gene:GLYMA_01G015300	1	1507119	1508864	-
gene:GLYMA_01G015400	1	1510354	1511458	+
gene:GLYMA_01G015500	1	1516447	1519964	-
gene:GLYMA_01G015600	1	1522027	1527320	+
gene:GLYMA_01G015700	1	1528792	1532355	+
gene:GLYMA_01G015800	1	1533147	1534160	-
gene:GLYMA_01G015900	1	1536576	1540311	-
gene:GLYMA_01G016000	1	1547216	1547437	-
gene:GLYMA_01G016100	1	1548355	1551672	-
gene:GLYMA_01G016200	1	1553067	1556242	-
gene:GLYMA_01G016300	1	1555182	1556040	-
gene:GLYMA_01G016400	1	1560698	1564822	+
gene:GLYMA_01G016500	1	1573790	1583422	+
gene:GLYMA_01G016600	1	1592908	1595410	+
gene:GLYMA_01G016700	1	1599357	1600466	-
gene:GLYMA_01G016800	1	1609124	1612598	+
gene:GLYMA_01G016900	1	1614637	1619559	-
gene:GLYMA_01G017000	1	1622886	1624365	-
gene:GLYMA_01G017100	1	1634013	1637492	+
gene:GLYMA_01G017200	1	1642862	1643728	+
gene:GLYMA_01G017300	1	1648449	1650121	-
gene:GLYMA_01G017400	1	1653678	1657140	-
gene:GLYMA_01G017500	1	1662657	1663915	+
gene:GLYMA_01G017600	1	1673427	1674421	+
gene:GLYMA_01G017700	1	1689030	1691957	-
gene:GLYMA_01G017800	1	1722270	1723518	+
gene:GLYMA_01G017900	1	1734474	1735545	+
gene:GLYMA_01G018000	1	1736217	1737749	-
gene:GLYMA_01G018100	1	1745243	1746141	+
gene:GLYMA_01G018200	1	1748639	1749703	-
gene:GLYMA_01G018300	1	1750027	1754223	-
gene:GLYMA_01G018400	1	1772897	1774869	+
gene:GLYMA_01G018500	1	1782875	1783916	+
gene:GLYMA_01G018600	1	1783917	1787272	-
gene:GLYMA_01G018700	1	1790049	1792039	+
gene:GLYMA_01G018800	1	1803842	1805405	-
gene:GLYMA_01G018900	1	1814560	1817417	-
gene:GLYMA_01G019000	1	1818232	1821908	-
gene:GLYMA_01G019100	1	1826798	1836387	-
gene:GLYMA_01G019200	1	1839153	1846859	-
gene:GLYMA_01G019300	1	1865692	1868540	-
gene:GLYMA_01G019400	1	1886628	1890851	-
gene:GLYMA_01G019500	1	1905829	1906826	+
gene:GLYMA_01G019600	1	1929870	1932580	+
gene:GLYMA_01G019700	1	1941089	1943035	-
gene:GLYMA_01G019800	1	1971084	1977113	-
gene:GLYMA_01G019900	1	1979213	1984198	-
gene:GLYMA_01G020000	1	1990783	1994783	+
gene:GLYMA_01G020100	1	1999880	2008419	+
gene:GLYMA_01G020200	1	2009725	2010906	-
gene:GLYMA_01G020300	1	2011230	2020186	-
gene:GLYMA_01G020400	1	2035445	2036241	+
gene:GLYMA_01G020500	1	2039275	2056055	-
gene:GLYMA_01G020600	1	2067151	2067966	-
gene:GLYMA_01G020700	1	2069065	2069931	+
gene:GLYMA_01G020800	1	2092161	2100211	+
gene:GLYMA_01G020900	1	2104937	2109784	-
gene:GLYMA_01G021000	1	2122589	2125447	+
gene:GLYMA_01G021100	1	2140441	2142143	+
gene:GLYMA_01G021200	1	2148822	2155157	-
gene:GLYMA_01G021300	1	2159641	2163970	+
gene:GLYMA_01G021400	1	2171115	2176385	-
gene:GLYMA_01G021500	1	2186117	2186869	+
gene:GLYMA_01G021600	1	2189923	2194362	-
gene:GLYMA_01G021700	1	2197811	2200232	+
gene:GLYMA_01G021800	1	2202117	2203202	+
gene:GLYMA_01G021900	1	2205370	2206736	+
gene:GLYMA_01G022000	1	2209688	2210849	-
gene:GLYMA_01G022100	1	2210751	2211738	+
gene:GLYMA_01G022200	1	2212834	2213622	+
gene:GLYMA_01G022300	1	2215383	2217438	+
gene:GLYMA_01G0224002	1	2235786	2236837	+
gene:GLYMA_01G0224001	1	2239362	2241294	+
gene:GLYMA_01G022500	1	2246170	2251398	-
gene:GLYMA_01G022600	1	2281410	2286917	+
gene:GLYMA_01G022700	1	2287485	2293185	-
gene:GLYMA_01G0228002	1	2296901	2296940	+
gene:GLYMA_01G0228001	1	2298566	2303966	+
gene:GLYMA_01G022900	1	2304042	2308423	-
gene:GLYMA_01G023000	1	2314359	2317518	-
gene:GLYMA_01G023100	1	2327716	2330874	+
gene:GLYMA_01G023200	1	2331638	2339135	+
gene:GLYMA_01G023300	1	2343215	2348080	-
gene:GLYMA_01G023400	1	2363290	2365720	+
gene:GLYMA_01G023500	1	2367321	2373449	-
gene:GLYMA_01G023600	1	2380849	2402441	+
gene:GLYMA_01G023700	1	2405107	2414341	+
gene:GLYMA_01G023800	1	2426625	2433075	+
gene:GLYMA_01G023900	1	2433777	2442737	-
gene:GLYMA_01G024000	1	2455767	2457198	+
gene:GLYMA_01G024100	1	2462884	2465300	+
gene:GLYMA_01G024200	1	2471111	2473720	+
gene:GLYMA_01G024300	1	2484222	2486235	+
gene:GLYMA_01G024400	1	2491294	2493664	+
gene:GLYMA_01G024500	1	2502596	2504339	+
gene:GLYMA_01G024600	1	2504633	2507081	-
gene:GLYMA_01G024700	1	2529244	2531919	+
gene:GLYMA_01G024800	1	2537581	2544862	-
gene:GLYMA_01G024900	1	2550549	2551651	+
gene:GLYMA_01G025000	1	2558045	2560286	-
gene:GLYMA_01G025100	1	2601431	2602687	+
gene:GLYMA_01G025200	1	2616281	2621186	+
gene:GLYMA_01G025300	1	2649510	2652292	+
gene:GLYMA_01G025400	1	2683720	2685268	+
gene:GLYMA_01G025500	1	2699503	2701968	-
gene:GLYMA_01G025600	1	2702813	2706006	-
gene:GLYMA_01G025700	1	2712747	2712902	-
gene:GLYMA_01G025800	1	2714436	2715928	-
gene:GLYMA_01G025900	1	2731088	2731862	-
gene:GLYMA_01G026000	1	2732449	2740742	-
gene:GLYMA_01G026100	1	2741832	2744918	+
gene:GLYMA_01G026200	1	2747392	2755356	-
gene:GLYMA_01G026300	1	2757742	2760499	+
gene:GLYMA_01G026400	1	2765244	2767576	+
gene:GLYMA_01G026500	1	2768571	2771462	-
gene:GLYMA_01G026600	1	2781491	2782600	-
gene:GLYMA_01G026700	1	2800909	2808407	-
gene:GLYMA_01G026800	1	2819064	2823273	+
gene:GLYMA_01G026900	1	2829921	2833313	-
gene:GLYMA_01G027000	1	2836310	2838537	-
gene:GLYMA_01G027100	1	2841569	2846006	+
gene:GLYMA_01G027200	1	2848182	2849925	-
gene:GLYMA_01G027300	1	2852073	2856865	+
gene:GLYMA_01G027400	1	2859609	2863397	-
gene:GLYMA_01G027500	1	2874408	2877212	-
gene:GLYMA_01G027600	1	2884478	2887943	-
gene:GLYMA_01G027700	1	2889242	2892328	-
gene:GLYMA_01G027800	1	2895690	2900577	-
gene:GLYMA_01G027900	1	2912340	2915599	-
gene:GLYMA_01G028000	1	2923915	2927479	+
gene:GLYMA_01G028100	1	2929035	2934455	+
gene:GLYMA_01G028200	1	2934903	2938421	-
gene:GLYMA_01G028300	1	2948608	2957378	-
gene:GLYMA_01G028400	1	2998371	2999567	+
gene:GLYMA_01G028500	1	2999967	3001495	+
gene:GLYMA_01G028600	1	3002314	3007143	-
gene:GLYMA_01G028700	1	3014195	3020497	-
gene:GLYMA_01G028800	1	3037245	3038559	-
gene:GLYMA_01G028900	1	3060271	3064492	-
gene:GLYMA_01G029000	1	3079661	3082412	+
gene:GLYMA_01G029100	1	3084233	3090081	-
gene:GLYMA_01G029200	1	3098701	3100169	+
gene:GLYMA_01G029300	1	3107239	3109811	+
gene:GLYMA_01G029400	1	3123489	3124811	-
gene:GLYMA_01G029500	1	3130778	3135499	+
gene:GLYMA_01G029600	1	3137027	3140461	+
gene:GLYMA_01G029700	1	3140702	3142591	-
gene:GLYMA_01G029800	1	3148712	3151772	+
gene:GLYMA_01G029900	1	3152131	3157338	-
gene:GLYMA_01G030000	1	3159945	3161005	+
gene:GLYMA_01G030100	1	3163363	3164551	+
gene:GLYMA_01G030200	1	3167272	3172978	-
gene:GLYMA_01G030300	1	3178070	3179538	+
gene:GLYMA_01G030400	1	3182949	3187700	-
gene:GLYMA_01G030500	1	3189212	3200277	+
gene:GLYMA_01G030600	1	3202613	3206095	-
gene:GLYMA_01G030700	1	3204824	3205142	+
gene:GLYMA_01G030800	1	3208232	3215706	+
gene:GLYMA_01G030900	1	3234395	3237574	+
gene:GLYMA_01G031000	1	3242360	3244328	+
gene:GLYMA_01G031100	1	3245447	3246270	+
gene:GLYMA_01G031200	1	3248437	3251412	+
gene:GLYMA_01G031300	1	3257841	3260562	+
gene:GLYMA_01G031400	1	3264673	3271140	+
gene:GLYMA_01G031500	1	3278502	3282846	-
gene:GLYMA_01G031600	1	3292411	3295255	-
gene:GLYMA_01G031700	1	3298861	3302133	+
gene:GLYMA_01G031800	1	3328121	3334148	+
gene:GLYMA_01G031900	1	3342396	3347771	+
gene:GLYMA_01G032000	1	3363639	3366996	+
gene:GLYMA_01G032100	1	3374233	3387279	+
gene:GLYMA_01G032200	1	3392970	3394819	-
gene:GLYMA_01G032300	1	3396704	3399050	-
gene:GLYMA_01G032400	1	3404831	3411453	+
gene:GLYMA_01G032500	1	3415166	3425683	+
gene:GLYMA_01G032600	1	3428092	3430571	-
gene:GLYMA_01G032700	1	3430682	3431061	+
gene:GLYMA_01G032800	1	3440071	3441480	+
gene:GLYMA_01G032900	1	3455319	3459556	+
gene:GLYMA_01G033000	1	3459557	3462334	+
gene:GLYMA_01G033100	1	3469089	3471498	-
gene:GLYMA_01G033200	1	3487315	3493797	+
gene:GLYMA_01G033300	1	3499474	3504138	+
gene:GLYMA_01G033400	1	3504407	3505708	+
gene:GLYMA_01G033500	1	3514070	3519602	+
gene:GLYMA_01G033600	1	3524820	3525113	+
gene:GLYMA_01G0337002	1	3526381	3528862	+
gene:GLYMA_01G0337001	1	3532237	3533019	+
gene:GLYMA_01G033800	1	3535699	3539383	+
gene:GLYMA_01G033900	1	3545086	3549390	+
gene:GLYMA_01G034000	1	3552796	3554812	-
gene:GLYMA_01G034100	1	3564064	3569598	+
gene:GLYMA_01G034200	1	3565380	3572403	-
gene:GLYMA_01G034300	1	3573149	3579461	-
gene:GLYMA_01G034400	1	3583053	3583811	+
gene:GLYMA_01G034500	1	3585569	3588054	+
gene:GLYMA_01G034600	1	3588552	3590901	-
gene:GLYMA_01G034700	1	3599923	3602578	-
gene:GLYMA_01G034800	1	3605528	3607302	-
gene:GLYMA_01G034900	1	3613545	3615901	-
gene:GLYMA_01G035000	1	3626092	3630869	+
gene:GLYMA_01G035100	1	3634033	3639674	+
gene:GLYMA_01G035200	1	3645633	3650030	+
gene:GLYMA_01G035300	1	3678713	3680543	+
gene:GLYMA_01G035400	1	3692399	3696760	+
gene:GLYMA_01G035500	1	3717226	3717396	-
gene:GLYMA_01G035600	1	3717548	3720581	-
gene:GLYMA_01G035700	1	3738152	3741884	+
gene:GLYMA_01G035800	1	3755286	3756659	+
gene:GLYMA_01G035900	1	3761748	3762981	+
gene:GLYMA_01G036000	1	3770841	3773093	-
gene:GLYMA_01G036100	1	3789929	3790606	-
gene:GLYMA_01G036200	1	3791180	3811591	-
gene:GLYMA_01G036300	1	3813757	3814433	+
gene:GLYMA_01G036400	1	3817388	3817609	+
gene:GLYMA_01G036500	1	3821377	3825854	-
gene:GLYMA_01G036600	1	3860214	3861413	-
gene:GLYMA_01G036700	1	3865168	3872478	-
gene:GLYMA_01G036800	1	3916138	3918004	-
gene:GLYMA_01G036900	1	3922226	3924037	-
gene:GLYMA_01G037000	1	3927491	3927844	+
gene:GLYMA_01G037100	1	3931848	3933221	+
gene:GLYMA_01G037200	1	3946315	3948100	-
gene:GLYMA_01G037300	1	3957877	3962517	-
gene:GLYMA_01G037400	1	3971832	3976198	-
gene:GLYMA_01G037500	1	3986684	3988230	+
gene:GLYMA_01G037600	1	4002360	4005512	+
gene:GLYMA_01G037700	1	4005744	4011110	-
gene:GLYMA_01G037800	1	4011644	4013152	+
gene:GLYMA_01G037900	1	4014621	4016821	-
gene:GLYMA_01G038000	1	4026873	4032291	-
gene:GLYMA_01G038100	1	4033780	4041344	-
gene:GLYMA_01G038200	1	4044806	4045467	-
gene:GLYMA_01G038300	1	4045495	4058118	-
gene:GLYMA_01G038400	1	4092064	4096596	+
gene:GLYMA_01G038500	1	4115990	4118441	+
gene:GLYMA_01G0386002	1	4130643	4132709	+
gene:GLYMA_01G038700	1	4156739	4160713	+
gene:GLYMA_01G038800	1	4162465	4166783	-
gene:GLYMA_01G038900	1	4182744	4185349	-
gene:GLYMA_01G039000	1	4212429	4221344	+
gene:GLYMA_01G039100	1	4235182	4237298	+
gene:GLYMA_01G039200	1	4239455	4243315	-
gene:GLYMA_01G039300	1	4256747	4258161	-
gene:GLYMA_01G039400	1	4270598	4275060	+
gene:GLYMA_01G039500	1	4289457	4295700	+
gene:GLYMA_01G039600	1	4300332	4302844	-
gene:GLYMA_01G039700	1	4304713	4310259	-
gene:GLYMA_01G039800	1	4316464	4321369	+
gene:GLYMA_01G039900	1	4324079	4325876	-
gene:GLYMA_01G040000	1	4336374	4338196	+
gene:GLYMA_01G040100	1	4341457	4342817	+
gene:GLYMA_01G040200	1	4345723	4347332	+
gene:GLYMA_01G040300	1	4353053	4358969	+
gene:GLYMA_01G040400	1	4369831	4378842	+
gene:GLYMA_01G040500	1	4380966	4383169	+
gene:GLYMA_01G040600	1	4389420	4392033	+
gene:GLYMA_01G040700	1	4392159	4393458	-
gene:GLYMA_01G040800	1	4395069	4395257	+
gene:GLYMA_01G040900	1	4396965	4402461	-
gene:GLYMA_01G041000	1	4397506	4397703	+
gene:GLYMA_01G041100	1	4403613	4404643	-
gene:GLYMA_01G041200	1	4420529	4421978	-
gene:GLYMA_01G041300	1	4428651	4434734	-
gene:GLYMA_01G041400	1	4457128	4461721	-
gene:GLYMA_01G041500	1	4485002	4490713	+
gene:GLYMA_01G041600	1	4490538	4496387	-
gene:GLYMA_01G041700	1	4530106	4532731	-
gene:GLYMA_01G041800	1	4557097	4557489	+
gene:GLYMA_01G0419002	1	4559162	4561049	-
gene:GLYMA_01G0419001	1	4561360	4561594	-
gene:GLYMA_01G042000	1	4584964	4585226	+
gene:GLYMA_01G042100	1	4603561	4610141	+
gene:GLYMA_01G042200	1	4610171	4612525	-
gene:GLYMA_01G042300	1	4613542	4618432	-
gene:GLYMA_01G042400	1	4639124	4643385	+
gene:GLYMA_01G042500	1	4645926	4649577	-
gene:GLYMA_01G042600	1	4650283	4652980	+
gene:GLYMA_01G042700	1	4664908	4668011	+
gene:GLYMA_01G042800	1	4671215	4677520	-
gene:GLYMA_01G042900	1	4680672	4682282	-
gene:GLYMA_01G043000	1	4683289	4687883	+
gene:GLYMA_01G043100	1	4693924	4694964	+
gene:GLYMA_01G043200	1	4696767	4697324	+
gene:GLYMA_01G043300	1	4707961	4714222	+
gene:GLYMA_01G043400	1	4728360	4732325	+
gene:GLYMA_01G043500	1	4732281	4733326	-
gene:GLYMA_01G043600	1	4751167	4754842	+
gene:GLYMA_01G043700	1	4755228	4758910	-
gene:GLYMA_01G043800	1	4771957	4777439	+
gene:GLYMA_01G043900	1	4789684	4789977	-
gene:GLYMA_01G044000	1	4828066	4829670	-
gene:GLYMA_01G044100	1	4844360	4848720	-
gene:GLYMA_01G044200	1	4872768	4876635	+
gene:GLYMA_01G044300	1	4877269	4885185	-
gene:GLYMA_01G044400	1	4877822	4878133	+
gene:GLYMA_01G044500	1	4914070	4915216	-
gene:GLYMA_01G044600	1	4922421	4925287	-
gene:GLYMA_01G044700	1	4972924	4974140	+
gene:GLYMA_01G044800	1	4983755	4985423	-
gene:GLYMA_01G044900	1	5023297	5032196	-
gene:GLYMA_01G045000	1	5041216	5041816	+
gene:GLYMA_01G045100	1	5059854	5063734	+
gene:GLYMA_01G045200	1	5106053	5107135	+
gene:GLYMA_01G045300	1	5132710	5135851	+
gene:GLYMA_01G045400	1	5140834	5144197	-
gene:GLYMA_01G045500	1	5226449	5228845	-
gene:GLYMA_01G045600	1	5242432	5245038	-
gene:GLYMA_01G045700	1	5265956	5271379	-
gene:GLYMA_01G045800	1	5277237	5281549	-
gene:GLYMA_01G045900	1	5299765	5300990	-
gene:GLYMA_01G046000	1	5317206	5321170	+
gene:GLYMA_01G046100	1	5324168	5326096	-
gene:GLYMA_01G046200	1	5327037	5330677	-
gene:GLYMA_01G046300	1	5337434	5338915	-
gene:GLYMA_01G046400	1	5353518	5356554	+
gene:GLYMA_01G046500	1	5361968	5365535	+
gene:GLYMA_01G046600	1	5379316	5382027	-
gene:GLYMA_01G046700	1	5385859	5391055	-
gene:GLYMA_01G046800	1	5448322	5450706	+
gene:GLYMA_01G046900	1	5465664	5469257	-
gene:GLYMA_01G047000	1	5484606	5486622	-
gene:GLYMA_01G047100	1	5503526	5511806	+
gene:GLYMA_01G047200	1	5509567	5510429	-
gene:GLYMA_01G047300	1	5514127	5517339	+
gene:GLYMA_01G047400	1	5520517	5524259	+
gene:GLYMA_01G047500	1	5528742	5532260	-
gene:GLYMA_01G047600	1	5545562	5545978	+
gene:GLYMA_01G047700	1	5549606	5554165	+
gene:GLYMA_01G047800	1	5559528	5560353	+
gene:GLYMA_01G047900	1	5585129	5586802	+
gene:GLYMA_01G0480001	1	5596803	5601987	+
gene:GLYMA_01G048100	1	5605305	5607452	+
gene:GLYMA_01G048200	1	5615672	5619252	+
gene:GLYMA_01G048300	1	5620361	5624143	-
gene:GLYMA_01G048400	1	5627602	5631187	+
gene:GLYMA_01G048500	1	5659553	5665638	+
gene:GLYMA_01G048600	1	5668640	5670346	-
gene:GLYMA_01G048700	1	5680982	5681671	+
gene:GLYMA_01G048800	1	5681940	5684496	-
gene:GLYMA_01G048900	1	5695082	5697378	-
gene:GLYMA_01G049000	1	5710637	5711191	-
gene:GLYMA_01G049100	1	5717569	5719993	-
gene:GLYMA_01G049200	1	5736667	5737599	-
gene:GLYMA_01G049300	1	5740729	5741566	+
gene:GLYMA_01G049400	1	5763611	5767687	+
gene:GLYMA_01G049500	1	5802428	5803205	+
gene:GLYMA_01G049600	1	5814082	5816546	-
gene:GLYMA_01G049700	1	5828540	5829148	+
gene:GLYMA_01G049800	1	5833564	5834341	+
gene:GLYMA_01G049900	1	5863028	5863825	-
gene:GLYMA_01G050000	1	5869189	5875883	+
gene:GLYMA_01G050100	1	5887154	5889544	-
gene:GLYMA_01G050200	1	5937299	5938795	+
gene:GLYMA_01G050300	1	5945707	5945982	-
gene:GLYMA_01G050400	1	5963947	5970745	-
gene:GLYMA_01G050500	1	5994189	5997069	-
gene:GLYMA_01G050600	1	6015600	6015962	+
gene:GLYMA_01G050700	1	6026181	6027108	+
gene:GLYMA_01G050800	1	6027753	6027965	+
gene:GLYMA_01G050900	1	6028164	6030169	-
gene:GLYMA_01G051000	1	6037670	6039017	-
gene:GLYMA_01G051100	1	6040337	6040909	-
gene:GLYMA_01G051200	1	6050101	6055660	+
gene:GLYMA_01G051300	1	6060477	6062256	-
gene:GLYMA_01G051400	1	6084443	6094775	+
gene:GLYMA_01G051500	1	6104538	6105839	-
gene:GLYMA_01G051600	1	6114439	6115803	+
gene:GLYMA_01G051700	1	6252995	6254510	+
gene:GLYMA_01G051800	1	6280631	6282369	+
gene:GLYMA_01G051900	1	6298045	6299600	-
gene:GLYMA_01G052000	1	6318111	6319197	+
gene:GLYMA_01G052100	1	6319418	6320580	+
gene:GLYMA_01G052200	1	6327782	6335321	+
gene:GLYMA_01G052300	1	6337006	6343767	+
gene:GLYMA_01G052400	1	6366733	6370404	-
gene:GLYMA_01G052500	1	6371600	6378261	-
gene:GLYMA_01G052600	1	6429215	6439635	-
gene:GLYMA_01G052700	1	6440815	6444119	-
gene:GLYMA_01G052800	1	6451907	6456616	-
gene:GLYMA_01G0529002	1	6518999	6534157	+
gene:GLYMA_01G0529001	1	6538430	6538971	+
gene:GLYMA_01G053000	1	6569222	6569868	+
gene:GLYMA_01G053100	1	6620086	6625502	+
gene:GLYMA_01G053200	1	6632524	6638087	-
gene:GLYMA_01G053300	1	6710590	6717720	-
gene:GLYMA_01G053400	1	6750381	6758391	+
gene:GLYMA_01G053500	1	6750513	6750737	-
gene:GLYMA_01G053600	1	6787041	6793340	+
gene:GLYMA_01G053700	1	6798695	6804489	+
