Gene1	Gene2	Gene1_name	Gene2_name	Family_ID	Chromosome	Genes_Apart	Distance_bp	Strand1	Strand2	Same_Orientation
KRG99227	KRG99233	GLYMA_18G131100	GLYMA_18G131700	1	18	6	136385	+	+	True
KRG99400	KRG99401	GLYMA_18G1423002	GLYMA_18G1423001	1	18	1	4311	+	+	True
KRG99400	KRG99403	GLYMA_18G1423002	GLYMA_18G142400	1	18	2	23790	+	-	False
KRG99401	KRG99403	GLYMA_18G1423001	GLYMA_18G142400	1	18	1	19479	+	-	False
KRH00157	KRH00158	GLYMA_18G196500	GLYMA_18G196600	1	18	1	382	+	+	True
KRG93833	KRG93836	GLYMA_19G044800	GLYMA_19G045100	1	19	3	51544	+	+	True
KRG94099	KRG94100	GLYMA_19G062100	GLYMA_19G062200	1	19	1	12407	-	-	True
KRG94099	KRG94118	GLYMA_19G062100	GLYMA_19G063500	1	19	8	673845	-	-	True
KRG94100	KRG94118	GLYMA_19G062200	GLYMA_19G063500	1	19	7	661438	-	-	True
KRG94211	KRG94229	GLYMA_19G068400	GLYMA_19G069600	1	19	10	1851380	-	+	False
KRG94229	KRG94230	GLYMA_19G069600	GLYMA_19G069700	1	19	1	22096	+	+	True
KRH71655	KRH71662	GLYMA_02G161400	GLYMA_02G161700	1	2	3	809463	-	-	True
KRH71655	KRH71663	GLYMA_02G161400	GLYMA_02G161800	1	2	4	813380	-	-	True
KRH71662	KRH71663	GLYMA_02G161700	GLYMA_02G161800	1	2	1	3917	-	-	True
KRH71883	KRH71884	GLYMA_02G175200	GLYMA_02G175300	1	2	1	16642	+	-	False
KRH72079	KRH72080	GLYMA_02G190400	GLYMA_02G190500	1	2	1	15349	+	+	True
KRG89590	KRG89591	GLYMA_20G034400	GLYMA_20G034500	1	20	1	3615	-	+	False
KRG89590	KRG89600	GLYMA_20G034400	GLYMA_20G034700	1	20	3	8944	-	+	False
KRG89590	KRG89618	GLYMA_20G034400	GLYMA_20G034900	1	20	5	29960	-	+	False
KRG89591	KRG89600	GLYMA_20G034500	GLYMA_20G034700	1	20	2	5329	+	+	True
KRG89591	KRG89618	GLYMA_20G034500	GLYMA_20G034900	1	20	4	26345	+	+	True
KRG89600	KRG89618	GLYMA_20G034700	GLYMA_20G034900	1	20	2	21016	+	+	True
KRG90120	KRG90123	GLYMA_20G069200	GLYMA_20G069500	1	20	1	146378	+	+	True
KRG90298	KRG90299	GLYMA_20G081200	GLYMA_20G081300	1	20	1	111214	-	-	True
KRG90298	KRG90310	GLYMA_20G081200	GLYMA_20G082200	1	20	7	441286	-	+	False
KRG90298	KRG90312	GLYMA_20G081200	GLYMA_20G082400	1	20	9	497833	-	+	False
KRG90299	KRG90310	GLYMA_20G081300	GLYMA_20G082200	1	20	6	330072	-	+	False
KRG90299	KRG90312	GLYMA_20G081300	GLYMA_20G082400	1	20	8	386619	-	+	False
KRG90310	KRG90312	GLYMA_20G082200	GLYMA_20G082400	1	20	2	56547	+	+	True
KRH65080	KRH65084	GLYMA_03G011900	GLYMA_03G012300	1	3	4	37828	-	-	True
KRH65425	KRH65443	GLYMA_03G035100	GLYMA_03G036300	1	3	10	151717	+	-	False
KRH65748	KRH65749	GLYMA_03G058900	GLYMA_03G059000	1	3	1	1545	+	+	True
KRH65882	KRH65883	GLYMA_03G068400	GLYMA_03G068500	1	3	1	1970	-	-	True
KRH66127	KRH66128	GLYMA_03G084700	GLYMA_03G084800	1	3	1	2465	-	-	True
KRH66267	KRH66268	GLYMA_03G095000	GLYMA_03G095100	1	3	1	3176	+	+	True
KRH66312	KRH66313	GLYMA_03G098000	GLYMA_03G098100	1	3	1	2322	+	-	False
KRH66438	KRH66444	GLYMA_03G106700	GLYMA_03G107100	1	3	4	60674	-	+	False
KRH62546	KRH62557	GLYMA_04G115100	GLYMA_04G116000	1	4	9	263651	-	-	True
KRH62546	KRH62558	GLYMA_04G115100	GLYMA_04G116100	1	4	10	283245	-	-	True
KRH62557	KRH62558	GLYMA_04G116000	GLYMA_04G116100	1	4	1	19594	-	-	True
KRH62557	KRH62561	GLYMA_04G116000	GLYMA_04G116300	1	4	3	57412	-	-	True
KRH62558	KRH62561	GLYMA_04G116100	GLYMA_04G116300	1	4	2	37818	-	-	True
KRH63178	KRH63187	GLYMA_04G159800	GLYMA_04G160600	1	4	9	207935	+	+	True
KRH63187	KRH63217	GLYMA_04G160600	GLYMA_04G161500	1	4	9	242828	+	+	True
KRH63514	KRH63521	GLYMA_04G181800	GLYMA_04G182400	1	4	6	57613	+	-	False
KRH63514	KRH63522	GLYMA_04G181800	GLYMA_04G182500	1	4	7	60591	+	-	False
KRH63521	KRH63522	GLYMA_04G182400	GLYMA_04G182500	1	4	1	2978	-	-	True
KRH63521	KRH63532	GLYMA_04G182400	GLYMA_04G183200	1	4	7	203618	-	+	False
KRH63521	KRH63535	GLYMA_04G182400	GLYMA_04G183500	1	4	10	293057	-	+	False
KRH63522	KRH63532	GLYMA_04G182500	GLYMA_04G183200	1	4	6	200640	-	+	False
KRH63522	KRH63535	GLYMA_04G182500	GLYMA_04G183500	1	4	9	290079	-	+	False
KRH63532	KRH63535	GLYMA_04G183200	GLYMA_04G183500	1	4	3	89439	+	+	True
KRH57510	KRH57511	GLYMA_05G065500	GLYMA_05G065600	1	5	1	1706	+	+	True
KRH57510	KRH57526	GLYMA_05G065500	GLYMA_05G066400	1	5	9	102929	+	-	False
KRH57511	KRH57526	GLYMA_05G065600	GLYMA_05G066400	1	5	8	101223	+	-	False
KRH57696	KRH57697	GLYMA_05G078400	GLYMA_05G078500	1	5	1	72939	-	-	True
KRH57696	KRH57698	GLYMA_05G078400	GLYMA_05G078600	1	5	2	75043	-	-	True
KRH57697	KRH57698	GLYMA_05G078500	GLYMA_05G078600	1	5	1	2104	-	-	True
KRH57900	KRH57901	GLYMA_05G091400	GLYMA_05G091500	1	5	1	1875	-	-	True
KRH57927	KRH57928	GLYMA_05G093300	GLYMA_05G093400	1	5	1	2926	-	-	True
KRH54591	KRH54608	GLYMA_06G196500	GLYMA_06G197500	1	6	9	293218	-	+	False
KRH54608	KRH54621	GLYMA_06G197500	GLYMA_06G198700	1	6	9	136360	+	+	True
KRH54621	KRH54626	GLYMA_06G198700	GLYMA_06G199200	1	6	5	130278	+	+	True
KRH54621	KRH54627	GLYMA_06G198700	GLYMA_06G199300	1	6	6	132401	+	+	True
KRH54626	KRH54627	GLYMA_06G199200	GLYMA_06G199300	1	6	1	2123	+	+	True
KRH54803	KRH54815	GLYMA_06G210100	GLYMA_06G211100	1	6	10	237456	-	+	False
KRH55073	KRH55074	GLYMA_06G228500	GLYMA_06G228600	1	6	1	2334	+	+	True
KRH55073	KRH55088	GLYMA_06G228500	GLYMA_06G229500	1	6	7	243791	+	-	False
KRH55073	KRH55089	GLYMA_06G228500	GLYMA_06G229600	1	6	8	285640	+	-	False
KRH55074	KRH55088	GLYMA_06G228600	GLYMA_06G229500	1	6	6	241457	+	-	False
KRH55074	KRH55089	GLYMA_06G228600	GLYMA_06G229600	1	6	7	283306	+	-	False
KRH55088	KRH55089	GLYMA_06G229500	GLYMA_06G229600	1	6	1	41849	-	-	True
KRH55139	KRH55140	GLYMA_06G232900	GLYMA_06G233000	1	6	1	9194	-	-	True
KRH49675	KRH49676	GLYMA_07G171700	GLYMA_07G171800	1	7	1	2951	-	-	True
KRH49714	KRH49715	GLYMA_07G174400	GLYMA_07G174500	1	7	1	11799	+	+	True
KRH49779	KRH49781	GLYMA_07G178900	GLYMA_07G179100	1	7	2	98822	-	+	False
KRH49779	KRH49782	GLYMA_07G178900	GLYMA_07G179200	1	7	3	150354	-	-	True
KRH49779	KRH49783	GLYMA_07G178900	GLYMA_07G179300	1	7	4	151831	-	-	True
KRH49781	KRH49782	GLYMA_07G179100	GLYMA_07G179200	1	7	1	51532	+	-	False
KRH49781	KRH49783	GLYMA_07G179100	GLYMA_07G179300	1	7	2	53009	+	-	False
KRH49782	KRH49783	GLYMA_07G179200	GLYMA_07G179300	1	7	1	1477	-	-	True
KRH45001	KRH45005	GLYMA_08G243900	GLYMA_08G244300	1	8	4	29649	-	+	False
KRH45474	KRH45475	GLYMA_08G2738002	GLYMA_08G2738001	1	8	1	3708	-	-	True
KRH38062	KRH38063	GLYMA_09G108200	GLYMA_09G108300	1	9	1	2089	-	-	True
KRH38188	KRH38200	GLYMA_09G117000	GLYMA_09G117700	1	9	7	644411	+	+	True
KRH38258	KRH38259	GLYMA_09G122300	GLYMA_09G122400	1	9	1	2826	-	-	True
KRH38621	KRH38622	GLYMA_09G147600	GLYMA_09G147700	1	9	1	3425	-	-	True
KRG88592	KRG88593	GLYMA_U000200	GLYMA_U000300	1	scaffold_105	1	1842	-	-	True
KRG88592	KRG88596	GLYMA_U000200	GLYMA_U000600	1	scaffold_105	4	28275	-	-	True
KRG88593	KRG88596	GLYMA_U000300	GLYMA_U000600	1	scaffold_105	3	26433	-	-	True
KRH77323	KRH77324	GLYMA_01G206600	GLYMA_01G206700	2	1	1	12525	-	+	False
KRH77483	KRH77484	GLYMA_01G216000	GLYMA_01G216200	2	1	2	14300	-	-	True
KRH77624	KRH77640	GLYMA_01G224100	GLYMA_01G225000	2	1	9	86158	+	-	False
KRH77737	KRH77739	GLYMA_01G231000	GLYMA_01G231200	2	1	1	16354	-	+	False
KRH77737	KRH77755	GLYMA_01G231000	GLYMA_01G232000	2	1	8	59512	-	+	False
KRH77739	KRH77755	GLYMA_01G231200	GLYMA_01G232000	2	1	7	43158	+	+	True
KRH31709	KRH31710	GLYMA_10G007000	GLYMA_10G007100	2	10	1	13444	-	-	True
KRH32175	KRH32176	GLYMA_10G036200	GLYMA_10G036300	2	10	1	7566	+	+	True
KRH32175	KRH32179	GLYMA_10G036200	GLYMA_10G036600	2	10	2	50140	+	-	False
KRH32175	KRH32180	GLYMA_10G036200	GLYMA_10G036700	2	10	3	60116	+	+	True
KRH32176	KRH32179	GLYMA_10G036300	GLYMA_10G036600	2	10	1	42574	+	-	False
KRH32176	KRH32180	GLYMA_10G036300	GLYMA_10G036700	2	10	2	52550	+	+	True
KRH32179	KRH32180	GLYMA_10G036600	GLYMA_10G036700	2	10	1	9976	-	+	False
KRH32668	KRH32669	GLYMA_10G066900	GLYMA_10G067000	2	10	1	35506	+	-	False
KRH33374	KRH33376	GLYMA_10G118900	GLYMA_10G119100	2	10	2	25098	+	-	False
KRH34483	KRH34484	GLYMA_10G186800	GLYMA_10G186900	2	10	1	22910	-	-	True
KRH34483	KRH34485	GLYMA_10G186800	GLYMA_10G187000	2	10	2	31549	-	-	True
KRH34484	KRH34485	GLYMA_10G186900	GLYMA_10G187000	2	10	1	8639	-	-	True
KRH34596	KRH34607	GLYMA_10G193400	GLYMA_10G194200	2	10	8	68005	+	-	False
KRH35382	KRH35383	GLYMA_10G239300	GLYMA_10G239400	2	10	1	15934	+	+	True
KRH27792	KRH27803	GLYMA_11G014200	GLYMA_11G014800	2	11	6	35255	+	+	True
KRH27850	KRH27859	GLYMA_11G018100	GLYMA_11G019000	2	11	7	70914	+	-	False
KRH28164	KRH28165	GLYMA_11G036400	GLYMA_11G036500	2	11	1	9443	-	+	False
KRH26586	KRH26588	GLYMA_12G182200	GLYMA_12G182400	2	12	2	20480	-	-	True
KRH19547	KRH19548	GLYMA_13G122500	GLYMA_13G122600	2	13	1	10459	+	+	True
KRH19547	KRH19549	GLYMA_13G122500	GLYMA_13G122700	2	13	2	23213	+	+	True
KRH19547	KRH19550	GLYMA_13G122500	GLYMA_13G122800	2	13	3	37312	+	+	True
KRH19547	KRH19551	GLYMA_13G122500	GLYMA_13G122900	2	13	4	69190	+	+	True
KRH19547	KRH19552	GLYMA_13G122500	GLYMA_13G123000	2	13	5	89444	+	-	False
KRH19547	KRH19553	GLYMA_13G122500	GLYMA_13G123100	2	13	6	102560	+	+	True
KRH19548	KRH19549	GLYMA_13G122600	GLYMA_13G122700	2	13	1	12754	+	+	True
KRH19548	KRH19550	GLYMA_13G122600	GLYMA_13G122800	2	13	2	26853	+	+	True
KRH19548	KRH19551	GLYMA_13G122600	GLYMA_13G122900	2	13	3	58731	+	+	True
KRH19548	KRH19552	GLYMA_13G122600	GLYMA_13G123000	2	13	4	78985	+	-	False
KRH19548	KRH19553	GLYMA_13G122600	GLYMA_13G123100	2	13	5	92101	+	+	True
KRH19549	KRH19550	GLYMA_13G122700	GLYMA_13G122800	2	13	1	14099	+	+	True
KRH19549	KRH19551	GLYMA_13G122700	GLYMA_13G122900	2	13	2	45977	+	+	True
KRH19549	KRH19552	GLYMA_13G122700	GLYMA_13G123000	2	13	3	66231	+	-	False
KRH19549	KRH19553	GLYMA_13G122700	GLYMA_13G123100	2	13	4	79347	+	+	True
KRH19550	KRH19551	GLYMA_13G122800	GLYMA_13G122900	2	13	1	31878	+	+	True
KRH19550	KRH19552	GLYMA_13G122800	GLYMA_13G123000	2	13	2	52132	+	-	False
KRH19550	KRH19553	GLYMA_13G122800	GLYMA_13G123100	2	13	3	65248	+	+	True
KRH19551	KRH19552	GLYMA_13G122900	GLYMA_13G123000	2	13	1	20254	+	-	False
KRH19551	KRH19553	GLYMA_13G122900	GLYMA_13G123100	2	13	2	33370	+	+	True
KRH19552	KRH19553	GLYMA_13G123000	GLYMA_13G123100	2	13	1	13116	-	+	False
KRH20037	KRH20038	GLYMA_13G151900	GLYMA_13G152000	2	13	1	15904	+	-	False
KRH21337	KRH21338	GLYMA_13G233800	GLYMA_13G233900	2	13	1	4093	+	-	False
KRH21384	KRH21385	GLYMA_13G236500	GLYMA_13G236600	2	13	1	23973	+	-	False
KRH10926	KRH10927	GLYMA_15G077000	GLYMA_15G077100	2	15	1	17556	+	-	False
KRH10962	KRH10963	GLYMA_15G079100	GLYMA_15G079200	2	15	1	4479	+	-	False
KRH12207	KRH12208	GLYMA_15G159100	GLYMA_15G159200	2	15	1	8195	+	+	True
KRH08410	KRH08427	GLYMA_16G147500	GLYMA_16G148700	2	16	9	125677	+	+	True
KRH03986	KRH03987	GLYMA_17G131800	GLYMA_17G131900	2	17	1	10499	+	+	True
KRH04191	KRH04192	GLYMA_17G145300	GLYMA_17G145400	2	17	1	14265	-	+	False
KRH01075	KRH01076	GLYMA_18G252200	GLYMA_18G252300	2	18	1	5798	+	+	True
KRH01075	KRH01077	GLYMA_18G252200	GLYMA_18G252400	2	18	2	10542	+	+	True
KRH01076	KRH01077	GLYMA_18G252300	GLYMA_18G252400	2	18	1	4744	+	+	True
KRG93709	KRG93713	GLYMA_19G035100	GLYMA_19G035500	2	19	4	47254	+	+	True
KRG95653	KRG95654	GLYMA_19G163700	GLYMA_19G163800	2	19	1	6201	+	+	True
KRG95653	KRG95655	GLYMA_19G163700	GLYMA_19G163900	2	19	2	13073	+	+	True
KRG95653	KRG95657	GLYMA_19G163700	GLYMA_19G164100	2	19	3	46141	+	+	True
KRG95654	KRG95655	GLYMA_19G163800	GLYMA_19G163900	2	19	1	6872	+	+	True
KRG95654	KRG95657	GLYMA_19G163800	GLYMA_19G164100	2	19	2	39940	+	+	True
KRG95655	KRG95657	GLYMA_19G163900	GLYMA_19G164100	2	19	1	33068	+	+	True
KRG90129	KRG90130	GLYMA_20G070000	GLYMA_20G070100	2	20	1	16219	+	-	False
KRG91437	KRG91438	GLYMA_20G155100	GLYMA_20G155200	2	20	1	14745	-	-	True
KRG92180	KRG92185	GLYMA_20G195900	GLYMA_20G196400	2	20	4	23989	+	+	True
KRG92180	KRG92191	GLYMA_20G195900	GLYMA_20G197000	2	20	9	54112	+	-	False
KRG92185	KRG92191	GLYMA_20G196400	GLYMA_20G197000	2	20	5	30123	+	-	False
KRG92309	KRG92310	GLYMA_20G203500	GLYMA_20G203600	2	20	1	10543	+	+	True
KRG92309	KRG92311	GLYMA_20G203500	GLYMA_20G203700	2	20	2	26841	+	+	True
KRG92310	KRG92311	GLYMA_20G203600	GLYMA_20G203700	2	20	1	16298	+	+	True
KRH66522	KRH66523	GLYMA_03G111700	GLYMA_03G111800	2	3	1	18369	-	-	True
KRH66522	KRH66525	GLYMA_03G111700	GLYMA_03G112000	2	3	3	63467	-	+	False
KRH66522	KRH66526	GLYMA_03G111700	GLYMA_03G112100	2	3	4	134868	-	+	False
KRH66522	KRH66529	GLYMA_03G111700	GLYMA_03G112400	2	3	7	180744	-	-	True
KRH66522	KRH66531	GLYMA_03G111700	GLYMA_03G112600	2	3	9	222864	-	-	True
KRH66522	KRH66532	GLYMA_03G111700	GLYMA_03G112700	2	3	10	225222	-	-	True
KRH66523	KRH66525	GLYMA_03G111800	GLYMA_03G112000	2	3	2	45098	-	+	False
KRH66523	KRH66526	GLYMA_03G111800	GLYMA_03G112100	2	3	3	116499	-	+	False
KRH66523	KRH66529	GLYMA_03G111800	GLYMA_03G112400	2	3	6	162375	-	-	True
KRH66523	KRH66531	GLYMA_03G111800	GLYMA_03G112600	2	3	8	204495	-	-	True
KRH66523	KRH66532	GLYMA_03G111800	GLYMA_03G112700	2	3	9	206853	-	-	True
KRH66523	KRH66533	GLYMA_03G111800	GLYMA_03G112800	2	3	10	210960	-	+	False
KRH66525	KRH66526	GLYMA_03G112000	GLYMA_03G112100	2	3	1	71401	+	+	True
KRH66525	KRH66529	GLYMA_03G112000	GLYMA_03G112400	2	3	4	117277	+	-	False
KRH66525	KRH66531	GLYMA_03G112000	GLYMA_03G112600	2	3	6	159397	+	-	False
KRH66525	KRH66532	GLYMA_03G112000	GLYMA_03G112700	2	3	7	161755	+	-	False
KRH66525	KRH66533	GLYMA_03G112000	GLYMA_03G112800	2	3	8	165862	+	+	True
KRH66526	KRH66529	GLYMA_03G112100	GLYMA_03G112400	2	3	3	45876	+	-	False
KRH66526	KRH66531	GLYMA_03G112100	GLYMA_03G112600	2	3	5	87996	+	-	False
KRH66526	KRH66532	GLYMA_03G112100	GLYMA_03G112700	2	3	6	90354	+	-	False
KRH66526	KRH66533	GLYMA_03G112100	GLYMA_03G112800	2	3	7	94461	+	+	True
KRH66529	KRH66531	GLYMA_03G112400	GLYMA_03G112600	2	3	2	42120	-	-	True
KRH66529	KRH66532	GLYMA_03G112400	GLYMA_03G112700	2	3	3	44478	-	-	True
KRH66529	KRH66533	GLYMA_03G112400	GLYMA_03G112800	2	3	4	48585	-	+	False
KRH66531	KRH66532	GLYMA_03G112600	GLYMA_03G112700	2	3	1	2358	-	-	True
KRH66531	KRH66533	GLYMA_03G112600	GLYMA_03G112800	2	3	2	6465	-	+	False
KRH66532	KRH66533	GLYMA_03G112700	GLYMA_03G112800	2	3	1	4107	-	+	False
KRH67368	KRH67369	GLYMA_03G162400	GLYMA_03G162500	2	3	1	4834	+	+	True
KRH67368	KRH67370	GLYMA_03G162400	GLYMA_03G162600	2	3	2	23642	+	-	False
KRH67368	KRH67371	GLYMA_03G162400	GLYMA_03G162700	2	3	3	35646	+	+	True
KRH67369	KRH67370	GLYMA_03G162500	GLYMA_03G162600	2	3	1	18808	+	-	False
KRH67369	KRH67371	GLYMA_03G162500	GLYMA_03G162700	2	3	2	30812	+	+	True
KRH67370	KRH67371	GLYMA_03G162600	GLYMA_03G162700	2	3	1	12004	-	+	False
KRH63877	KRH63879	GLYMA_04G201700	GLYMA_04G201900	2	4	2	8958	+	+	True
KRH57257	KRH57258	GLYMA_05G049800	GLYMA_05G049900	2	5	1	6921	+	+	True
KRH57483	KRH57484	GLYMA_05G063500	GLYMA_05G063600	2	5	1	43873	-	+	False
KRH48809	KRH48811	GLYMA_07G113800	GLYMA_07G114000	2	7	1	7970	-	+	False
KRH48809	KRH48815	GLYMA_07G113800	GLYMA_07G114300	2	7	4	112041	-	+	False
KRH48811	KRH48815	GLYMA_07G114000	GLYMA_07G114300	2	7	3	104071	+	+	True
KRH44513	KRH44522	GLYMA_08G215700	GLYMA_08G216600	2	8	7	64197	+	-	False
KRH37226	KRH37227	GLYMA_09G052800	GLYMA_09G052900	2	9	1	6868	+	+	True
KRH37226	KRH37228	GLYMA_09G052800	GLYMA_09G053000	2	9	2	24446	+	+	True
KRH37227	KRH37228	GLYMA_09G052900	GLYMA_09G053000	2	9	1	17578	+	+	True
KRH74910	KRH74911	GLYMA_01G051600	GLYMA_01G051700	3	1	1	138556	+	+	True
KRH31759	KRH31760	GLYMA_10G010300	GLYMA_10G010400	3	10	1	7901	+	+	True
KRH34790	KRH34791	GLYMA_10G206400	GLYMA_10G206500	3	10	1	8394	+	+	True
KRH35328	KRH35334	GLYMA_10G236400	GLYMA_10G236600	3	10	2	7803	-	-	True
KRH25458	KRH25459	GLYMA_12G104500	GLYMA_12G104600	3	12	1	21362	+	+	True
KRH25458	KRH25461	GLYMA_12G104500	GLYMA_12G104800	3	12	3	36685	+	+	True
KRH25458	KRH25467	GLYMA_12G104500	GLYMA_12G105300	3	12	5	74440	+	+	True
