Rank	Gene_ID	Paralog_Count
157	KRH45388	2805
158	KRH61656	2804
159	KRH65306	2799
160	KRH76884	2795
161	KRH48100	2791
162	KRH37281	2789
163	KRH08785	2789
164	KRH75929	2785
165	KRH57438	2785
166	KRG88583	2785
167	KRH12254	2778
168	KRH49424	2777
169	KRG99722	2776
170	KRH23585	2772
171	KRG89672	2771
172	KRH60296	2767
173	KRG90030	2765
174	KRG96121	2757
175	KRH12825	2752
176	KRH09082	2752
177	KRH71992	2750
178	KRH35753	2750
179	KRH09001	2750
180	KRH09040	2747
181	KRH28748	2736
182	KRH41590	2735
183	KRH39050	2734
184	KRH03470	2730
185	KRH09746	2729
186	KRH08791	2726
187	KRH73172	2724
188	KRH62171	2723
189	KRH52878	2723
190	KRH01372	2723
191	KRH75895	2722
192	KRH08724	2718
193	KRH11578	2710
194	KRH08983	2707
195	KRH08824	2704
196	KRH00313	2703
197	KRH77788	2697
198	KRH41934	2697
199	KRH48292	2693
200	KRH36592	2690
201	KRH70146	2677
202	KRG91073	2673
203	KRH03058	2671
204	KRH00300	2667
205	KRH50342	2663
206	KRH07746	2661
207	KRH29680	2660
208	KRH49266	2658
209	KRH06975	2658
210	KRG91005	2658
211	KRH08994	2656
212	KRH08819	2656
213	KRH00087	2654
214	KRH11579	2650
215	KRG88530	2648
216	KRH49758	2647
217	KRH08968	2646
218	KRH45820	2644
219	KRH43480	2643
220	KRG89220	2640
221	KRH69825	2639
222	KRH08721	2639
223	KRH75893	2635
224	KRH24680	2635
225	KRH08956	2635
226	KRH62192	2634
227	KRH08961	2634
228	KRH08793	2632
229	KRH23565	2623
230	KRH16723	2622
231	KRH49262	2621
232	KRH39259	2619
233	KRH34154	2619
234	KRH75486	2617
235	KRH09029	2615
236	KRH08607	2612
237	KRH09033	2610
238	KRH33421	2608
239	KRH13661	2608
240	KRH08636	2607
241	KRH08277	2607
242	KRH72112	2605
243	KRH70201	2602
244	KRH04590	2602
245	KRH08671	2595
246	KRH49426	2592
247	KRH70312	2591
248	KRH43794	2589
249	KRH66165	2588
250	KRH00312	2588
251	KRH76706	2587
252	KRH16888	2584
253	KRH14251	2584
254	KRH14574	2583
255	KRH23742	2579
256	KRH09059	2576
257	KRH09097	2575
258	KRH08963	2575
259	KRG90627	2575
260	KRH40400	2574
261	KRH25652	2574
262	KRG89275	2572
263	KRH08635	2570
264	KRH08628	2568
265	KRH42456	2566
266	KRH13280	2565
267	KRH07060	2565
268	KRG90195	2565
269	KRH09121	2564
270	KRH74389	2563
271	KRH09030	2563
272	KRG92195	2560
273	KRG89236	2559
274	KRH70608	2556
275	KRH09045	2556
276	KRH65671	2552
277	KRH08987	2551
278	KRG92629	2551
279	KRH42437	2549
280	KRH08639	2548
281	KRH08947	2545
282	KRH32220	2542
283	KRH17313	2542
284	KRH18310	2540
285	KRH06628	2539
286	KRH41959	2534
287	KRH09027	2532
288	KRH43104	2531
289	KRH31646	2531
290	KRH60535	2530
291	KRH09095	2530
292	KRG88539	2529
293	KRH14258	2528
294	KRH72499	2527
295	KRH58543	2524
296	KRH31630	2523
297	KRH22446	2522
298	KRH57093	2521
299	KRH34593	2520
300	KRH08825	2518
301	KRH08954	2517
302	KRH72957	2514
303	KRH39004	2513
304	KRH18049	2513
305	KRH04829	2513
306	KRH12872	2512
307	KRH39058	2510
308	KRH24681	2510
309	KRG99196	2510
310	KRH39054	2509
311	KRH27571	2509
312	KRH63566	2508
313	KRH20733	2503
314	KRG90712	2498
315	KRH37162	2497
316	KRH08998	2497
317	KRH66918	2496
318	KRH69082	2495
319	KRH51621	2494
320	KRH08995	2494
321	KRH08740	2494
322	KRH08625	2493
323	KRG99921	2493
324	KRH75954	2492
325	KRH49318	2492
326	KRH39057	2488
327	KRH48741	2486
328	KRH75955	2485
329	KRH73580	2485
330	KRH67126	2485
331	KRH15402	2484
332	KRH57931	2480
333	KRH33612	2480
334	KRH03261	2476
335	KRH76043	2472
336	KRH75048	2472
337	KRH14543	2470
338	KRH08951	2470
339	KRH39112	2469
340	KRH16451	2468
341	KRH25655	2467
342	KRH23157	2467
343	KRH76462	2466
344	KRH52275	2465
345	KRH63421	2459
346	KRH41817	2458
347	KRH49289	2457
348	KRH09154	2455
349	KRH49698	2453
350	KRH12156	2453
351	KRH65683	2450
352	KRH67439	2449
353	KRH39066	2449
354	KRH05638	2444
355	KRG90412	2441
356	KRG95450	2440
357	KRH61604	2439
358	KRH75063	2438
359	KRH75044	2437
360	KRH14054	2437
361	KRH50344	2435
362	KRH08045	2435
363	KRH12977	2434
364	KRH08792	2433
365	KRH34921	2432
366	KRH27500	2432
367	KRH61075	2431
368	KRH68962	2430
369	KRH67435	2429
370	KRH24548	2429
371	KRH12873	2429
372	KRH03384	2429
373	KRG92628	2429
374	KRG88528	2424
375	KRH54492	2423
376	KRH08788	2418
377	KRH20845	2415
378	KRH77965	2414
379	KRH06580	2413
380	KRH73553	2411
381	KRH70370	2410
382	KRH41973	2407
383	KRH34155	2406
384	KRH49916	2403
385	KRH17148	2403
386	KRH39064	2402
387	KRH00298	2402
388	KRH56998	2401
389	KRH59248	2400
390	KRH29212	2400
391	KRH27783	2400
392	KRH00347	2400
393	KRG97364	2396
394	KRH09031	2395
395	KRH69809	2394
396	KRH60278	2394
397	KRH48615	2394
398	KRH16894	2394
399	KRH08742	2394
400	KRG92024	2394
401	KRH67440	2393
402	KRH68796	2392
403	KRH21116	2392
404	KRH33702	2391
405	KRH39074	2390
406	KRH08787	2390
407	KRH65659	2389
408	KRH09084	2389
409	KRH40170	2387
410	KRH08642	2386
411	KRH60945	2385
412	KRH40732	2383
413	KRH65663	2377
414	KRH65649	2376
415	KRH09067	2373
416	KRH09005	2373
417	KRH28859	2372
418	KRH09006	2369
419	KRH07063	2369
420	KRH77730	2368
421	KRH11127	2368
422	KRH01442	2367
423	KRH32402	2366
424	KRH09511	2365
425	KRG88610	2363
426	KRH13522	2360
427	KRH13389	2359
428	KRH41570	2358
429	KRG88538	2353
430	KRH08046	2352
431	KRH07715	2350
432	KRH39072	2349
433	KRH08991	2348
434	KRH56975	2347
435	KRH65995	2344
436	KRH49513	2344
437	KRH08739	2341
438	KRH27565	2340
439	KRH06893	2340
440	KRH54036	2339
441	KRH19713	2339
442	KRH51753	2337
443	KRH42744	2337
444	KRG89301	2333
445	KRH42259	2331
446	KRH07718	2331
447	KRH64176	2330
448	KRH11411	2328
449	KRH50368	2327
450	KRH31956	2327
451	KRH08992	2327
452	KRH08743	2323
453	KRH45159	2320
454	KRH35317	2319
455	KRH58843	2318
456	KRH66617	2317
457	KRG99637	2316
458	KRH72966	2314
459	KRG90501	2314
460	KRH20741	2310
461	KRH08745	2301
462	KRH05340	2301
463	KRG90583	2300
464	KRH23476	2299
465	KRG95718	2299
466	KRH58443	2298
467	KRH24378	2297
468	KRG94491	2297
469	KRH33556	2295
470	KRH28774	2295
471	KRH08043	2295
472	KRH52034	2292
473	KRH31554	2292
474	KRH54581	2291
475	KRH00299	2291
476	KRH00296	2290
477	KRH71499	2289
478	KRH49258	2288
479	KRH16229	2286
480	KRG93736	2286
481	KRH08753	2284
482	KRH54864	2283
483	KRH08725	2283
484	KRH38606	2281
485	KRH28934	2281
486	KRH39056	2279
487	KRH00678	2279
488	KRH58375	2278
489	KRH05056	2276
490	KRH08487	2275
491	KRH13393	2271
492	KRH01613	2270
493	KRH52886	2269
494	KRH50360	2268
495	KRH29350	2266
496	KRH08972	2266
497	KRH07061	2266
498	KRH37190	2265
499	KRH09053	2265
500	KRH49926	2264
501	KRH00183	2263
502	KRH07070	2262
503	KRH70896	2259
504	KRH38755	2258
505	KRH08102	2257
506	KRH35229	2255
507	KRH27402	2255
508	KRG88537	2255
509	KRH73396	2253
510	KRG91516	2249
511	KRH08979	2248
512	KRH27401	2245
513	KRH12976	2244
514	KRH11090	2242
515	KRG97324	2242
516	KRG90623	2242
517	KRG95348	2241
518	KRH51634	2239
519	KRH13925	2239
520	KRH08966	2237
521	KRH36131	2236
522	KRH08754	2235
523	KRH74520	2234
524	KRH28916	2232
525	KRH16730	2232
526	KRH31593	2231
527	KRG97047	2230
528	KRG95717	2230
529	KRH65658	2228
530	KRH08990	2228
531	KRH37767	2226
532	KRH65679	2225
533	KRH32307	2224
534	KRH44246	2222
535	KRH58221	2221
536	KRH08746	2221
537	KRG89319	2221
538	KRH65852	2220
539	KRH42321	2219
540	KRH08738	2218
541	KRH58559	2217
542	KRG93154	2217
543	KRH51875	2216
544	KRH56553	2214
545	KRH09042	2214
546	KRH02112	2213
547	KRH11141	2203
548	KRH02605	2201
549	KRH12777	2200
550	KRH75049	2199
551	KRH21358	2196
552	KRH24864	2193
553	KRH08726	2193
554	KRH73491	2190
555	KRH17046	2188
556	KRH72683	2187
557	KRH76544	2185
558	KRH21107	2184
559	KRH60959	2183
560	KRH49232	2178
561	KRH38972	2178
562	KRH36591	2176
563	KRH46714	2174
564	KRH11515	2173
565	KRG94690	2173
566	KRH36594	2170
567	KRH39060	2168
568	KRH59432	2166
569	KRH06837	2166
570	KRH39710	2164
571	KRG90809	2162
572	KRH09044	2160
573	KRH63179	2159
574	KRH39063	2157
575	KRH08741	2156
576	KRH29553	2153
577	KRH14653	2149
578	KRH11577	2148
579	KRH43841	2143
580	KRH08729	2142
581	KRH55815	2141
582	KRG90497	2140
583	KRH08723	2139
584	KRH51188	2138
585	KRH30514	2137
586	KRH21902	2137
587	KRH14700	2137
588	KRG88429	2137
589	KRH36381	2135
590	KRH53768	2133
591	KRH51654	2132
592	KRH25724	2132
593	KRH08957	2131
594	KRH18126	2129
595	KRH08748	2127
596	KRH01964	2127
597	KRH14115	2125
598	KRH08717	2125
599	KRH64026	2123
600	KRH08950	2123
601	KRH39781	2122
602	KRH13628	2122
603	KRH54760	2121
604	KRH43313	2121
605	KRH11807	2116
606	KRH36593	2114
607	KRH33531	2114
608	KRH09048	2114
609	KRH04318	2114
610	KRH35785	2113
611	KRH09058	2113
612	KRH64553	2112
613	KRH58377	2112
614	KRG90979	2112
615	KRH58407	2111
616	KRG94641	2111
617	KRH09496	2110
618	KRH05320	2110
619	KRH01436	2110
620	KRG89438	2110
621	KRG89188	2109
622	KRG90304	2107
623	KRH55198	2106
624	KRH45156	2106
625	KRH06022	2105
626	KRH08752	2104
627	KRH04326	2104
628	KRH58374	2103
629	KRH39397	2103
630	KRH39076	2103
631	KRG90530	2103
632	KRH63911	2100
633	KRH08985	2099
634	KRH33495	2098
635	KRH09613	2098
636	KRH63625	2094
637	KRH40192	2094
638	KRH21816	2093
639	KRG93832	2093
640	KRH01438	2092
641	KRH60504	2091
642	KRG91463	2089
643	KRH77249	2088
644	KRH54826	2087
645	KRH46804	2087
646	KRH14694	2087
647	KRG95907	2087
648	KRH27219	2084
649	KRH26029	2084
650	KRG91595	2081
651	KRH42258	2079
652	KRH70640	2078
653	KRH08627	2078
654	KRH05318	2075
655	KRH00109	2075
656	KRG94011	2074
657	KRH76408	2073
658	KRH58376	2073
659	KRH24329	2072
660	KRG89174	2069
661	KRH44403	2066
662	KRH56966	2065
663	KRH00579	2065
664	KRH07816	2063
665	KRH27805	2061
666	KRG88584	2061
667	KRH42571	2060
668	KRH21238	2058
669	KRH64523	2057
670	KRH71367	2056
671	KRH08722	2053
672	KRH05030	2053
673	KRH61687	2052
674	KRH59447	2052
675	KRH28950	2052
676	KRH17657	2052
677	KRH22120	2050
678	KRH09061	2047
679	KRH51998	2045
680	KRH09000	2045
681	KRH03414	2045
682	KRH22032	2044
683	KRH69177	2043
684	KRH57134	2043
685	KRH53286	2042
686	KRH14774	2042
687	KRH09035	2042
688	KRH09256	2040
689	KRG93487	2040
690	KRH75256	2039
691	KRH11477	2039
692	KRH67924	2037
693	KRH74982	2036
694	KRH58681	2035
695	KRH29398	2035
696	KRH58245	2034
697	KRH49526	2033
698	KRG97996	2032
699	KRH09944	2031
700	KRG99860	2031
701	KRH40513	2030
702	KRH09057	2030
703	KRG90293	2030
704	KRH23427	2029
705	KRH17230	2028
706	KRG90257	2028
707	KRG88611	2027
708	KRH51037	2025
709	KRH16502	2024
710	KRH39113	2023
711	KRH35050	2023
712	KRH08041	2022
713	KRH42991	2021
714	KRH76513	2019
715	KRH21224	2019
716	KRH49092	2018
717	KRH07714	2018
718	KRH53418	2016
719	KRH71890	2014
720	KRH35354	2013
721	KRH40399	2012
722	KRH53193	2011
723	KRH50225	2007
724	KRH13802	2006
725	KRG90455	2005
726	KRH09064	2004
727	KRH46607	2003
728	KRH01055	2002
729	KRG95944	2001
730	KRH64168	2000
731	KRH25167	2000
732	KRH08547	1999
733	KRH33031	1997
734	KRH09032	1995
735	KRH15990	1994
736	KRH50655	1993
737	KRH48603	1993
738	KRH67629	1992
739	KRH04200	1991
740	KRH40862	1990
741	KRH60502	1989
742	KRH36809	1989
743	KRH11793	1989
744	KRH26618	1986
745	KRH40813	1985
746	KRH09898	1985
747	KRH47930	1984
748	KRH26747	1984
749	KRH40645	1982
750	KRH14042	1982
751	KRH34632	1980
752	KRH66091	1979
753	KRH53777	1978
754	KRH36492	1977
755	KRH09004	1975
756	KRH44916	1974
757	KRH18124	1974
758	KRH03286	1973
759	KRH75772	1972
760	KRH48630	1971
761	KRH77824	1970
762	KRH09641	1970
763	KRH54498	1969
764	KRH32498	1967
765	KRH09847	1967
766	KRH05070	1966
767	KRG89724	1966
768	KRH27739	1962
769	KRH40588	1961
770	KRH33527	1960
771	KRH09056	1959
772	KRH64725	1956
773	KRH36172	1956
774	KRH22693	1956
775	KRH02451	1956
776	KRG92156	1956
777	KRH40885	1955
778	KRH35798	1955
779	KRG91448	1955
780	KRH77700	1953
781	KRH61565	1952
782	KRG99523	1951
783	KRG88495	1951
784	KRH40928	1950
785	KRH08545	1950
786	KRH63411	1949
787	KRH00702	1949
788	KRH66466	1948
789	KRH59429	1948
790	KRH43291	1946
791	KRH67654	1945
792	KRH58282	1945
793	KRH49754	1945
794	KRH27666	1944
795	KRH09491	1944
796	KRH14695	1943
797	KRG93954	1941
798	KRH64846	1940
799	KRH06495	1940
800	KRH70959	1939
801	KRH57076	1938
802	KRH16732	1938
803	KRH36663	1937
804	KRH16721	1937
805	KRG94670	1935
806	KRH39020	1933
807	KRH09037	1933
808	KRH76529	1932
809	KRH01051	1932
810	KRH44826	1930
811	KRG95268	1930
812	KRH66040	1929
813	KRH02371	1928
814	KRH29533	1927
815	KRH67774	1926
816	KRH66939	1926
817	KRH65668	1926
818	KRH38225	1924
819	KRH62083	1923
820	KRG91721	1922
821	KRH58358	1921
822	KRH38593	1920
823	KRG97246	1920
824	KRH34548	1919
825	KRH08955	1919
826	KRH12168	1918
827	KRH23393	1917
828	KRH24920	1916
829	KRH06908	1916
830	KRH77686	1914
831	KRH43509	1912
832	KRH76357	1910
833	KRH42239	1910
834	KRH08821	1910
835	KRH44047	1909
836	KRH17695	1908
837	KRH01038	1908
838	KRH00177	1908
839	KRH17512	1907
840	KRH07291	1904
841	KRH75397	1903
842	KRH20078	1903
843	KRH42256	1902
844	KRG94671	1897
845	KRH42885	1893
846	KRH38970	1890
847	KRH73861	1887
848	KRH71975	1887
849	KRH65242	1887
850	KRH47504	1886
851	KRG89242	1885
852	KRH55064	1883
853	KRH49498	1883
854	KRG96051	1883
855	KRH65266	1882
856	KRH54661	1882
857	KRH08986	1882
858	KRH50935	1879
859	KRH01731	1878
860	KRH64443	1877
861	KRG99295	1876
862	KRG96595	1876
863	KRH60228	1875
864	KRH13407	1874
865	KRH01040	1874
866	KRG88467	1873
867	KRH70276	1872
868	KRH08974	1871
869	KRH24227	1869
870	KRH08964	1866
871	KRH16724	1865
872	KRH09002	1865
873	KRH64585	1863
874	KRH24725	1863
875	KRH08982	1863
876	KRH06971	1863
877	KRH45157	1862
878	KRH71728	1861
879	KRH07939	1861
880	KRH73937	1860
881	KRH15715	1860
882	KRH35209	1859
883	KRG94777	1857
884	KRH63260	1856
885	KRH35205	1855
886	KRH00164	1855
887	KRH52768	1854
888	KRH35204	1854
889	KRH11045	1852
890	KRH53337	1851
891	KRH03251	1851
892	KRH53500	1850
893	KRH49422	1850
894	KRH06751	1849
895	KRG88581	1849
896	KRH54282	1848
897	KRH63666	1847
898	KRH43144	1847
899	KRH08668	1846
900	KRG95241	1844
901	KRH26275	1842
902	KRH69038	1841
903	KRH39384	1841
904	KRG93345	1840
905	KRH56366	1839
906	KRH29734	1837
907	KRH73404	1835
908	KRH64584	1835
909	KRH01026	1833
910	KRG88511	1833
911	KRH74799	1832
912	KRH65696	1832
913	KRH08976	1832
914	KRH46430	1831
915	KRH45752	1831
916	KRH06034	1830
917	KRH76917	1829
918	KRG99057	1826
919	KRH43300	1825
920	KRH35203	1822
921	KRH63604	1819
922	KRH76831	1818
923	KRH37687	1818
924	KRH08969	1818
925	KRH00186	1818
926	KRH14697	1817
927	KRH08988	1815
928	KRH45983	1813
929	KRH40332	1813
930	KRH19538	1813
931	KRH14717	1813
932	KRH13652	1813
933	KRH64325	1812
934	KRH41833	1811
935	KRH39059	1807
936	KRH65325	1806
937	KRH43169	1806
938	KRH00188	1806
939	KRH42990	1802
940	KRH20628	1802
941	KRH11369	1797
942	KRH00903	1797
943	KRH67464	1796
944	KRH24682	1796
945	KRH14721	1796
946	KRH70322	1795
947	KRH08128	1794
948	KRH38605	1792
949	KRG93547	1791
950	KRG92255	1791
951	KRH32888	1790
952	KRH57713	1789
953	KRH14703	1788
954	KRH08747	1788
955	KRH19481	1787
956	KRH14770	1786
957	KRH13306	1786
958	KRH02752	1786
959	KRH21244	1785
960	KRH58993	1784
961	KRH09008	1784
962	KRH74074	1783
963	KRH02989	1782
964	KRH08997	1781
965	KRG98433	1781
966	KRH76476	1780
967	KRH17617	1780
968	KRH74324	1779
969	KRG95745	1779
970	KRH29526	1778
971	KRH23677	1778
972	KRH15747	1776
973	KRH15184	1774
974	KRH21101	1773
975	KRH75100	1772
976	KRH71938	1772
977	KRH08727	1772
978	KRH64513	1771
979	KRH21657	1769
980	KRH11043	1769
981	KRH72362	1768
982	KRH57106	1768
983	KRH57615	1767
984	KRH34124	1767
985	KRH67807	1765
986	KRH09317	1765
987	KRH03514	1764
988	KRH00983	1764
989	KRH12356	1763
990	KRH07053	1763
991	KRH58514	1762
992	KRH38302	1760
993	KRH71886	1759
994	KRH45940	1759
995	KRH76218	1757
996	KRH05834	1757
997	KRH57702	1756
998	KRH14195	1756
999	KRH10627	1756
1000	KRH14693	1755
1001	KRH08038	1753
1002	KRH11653	1752
1003	KRH37361	1750
1004	KRH08975	1749
1005	KRH67019	1747
1006	KRH35212	1747
1007	KRG95336	1747
1008	KRH64025	1745
1009	KRH37902	1745
1010	KRH73456	1744
1011	KRH63000	1742
1012	KRH14701	1742
1013	KRH55426	1741
1014	KRH74566	1737
1015	KRH13660	1737
1016	KRH27860	1736
1017	KRH23612	1736
1018	KRG98234	1736
1019	KRG91775	1736
1020	KRH74162	1734
1021	KRH27661	1733
1022	KRH23005	1733
1023	KRH76431	1732
1024	KRH70924	1732
1025	KRH45818	1732
1026	KRH27994	1731
1027	KRH67434	1729
1028	KRH56887	1728
1029	KRH21449	1728
1030	KRH43071	1727
1031	KRH16138	1726
1032	KRH12906	1724
1033	KRH59319	1723
1034	KRH28820	1723
1035	KRH16223	1722
1036	KRH15987	1722
1037	KRH68331	1719
1038	KRH40181	1719
1039	KRH70842	1718
1040	KRH14964	1717
1041	KRG89280	1717
1042	KRH77622	1714
1043	KRH14683	1714
1044	KRG96100	1714
1045	KRH63536	1713
1046	KRH63746	1712
1047	KRH56227	1712
1048	KRH41999	1710
1049	KRH30149	1710
1050	KRH66468	1709
1051	KRH28530	1709
1052	KRH14691	1709
1053	KRH69595	1707
1054	KRH43611	1707
1055	KRH50811	1706
1056	KRH49046	1706
1057	KRH73363	1705
1058	KRH32252	1705
1059	KRH09063	1705
1060	KRG92719	1705
1061	KRH48101	1704
1062	KRH63156	1703
1063	KRH27685	1703
1064	KRH00443	1703
1065	KRH20016	1702
1066	KRG93649	1702
1067	KRH06986	1700
1068	KRG93575	1698
1069	KRH64131	1696
1070	KRG97568	1696
1071	KRH23355	1695
1072	KRH70880	1694
1073	KRH69137	1694
1074	KRH49445	1694
1075	KRH40244	1694
1076	KRH17552	1694
1077	KRH16902	1694
1078	KRH64211	1692
1079	KRH53912	1690
1080	KRH59200	1689
1081	KRH53425	1689
1082	KRH45798	1689
1083	KRH07287	1686
1084	KRG89123	1686
1085	KRH77791	1684
1086	KRG92594	1684
1087	KRH44238	1682
1088	KRH42483	1682
1089	KRH40995	1679
1090	KRH31725	1678
1091	KRH22638	1678
1092	KRG88793	1678
1093	KRH40310	1676
1094	KRH72504	1675
1095	KRH77440	1673
1096	KRH29749	1670
1097	KRH53602	1669
1098	KRH31785	1668
1099	KRH76031	1667
1100	KRH74312	1667
1101	KRH49026	1667
1102	KRH38824	1666
1103	KRH65581	1665
1104	KRH12806	1665
1105	KRH62733	1664
1106	KRH00914	1664
1107	KRH68556	1662
1108	KRH03217	1662
1109	KRH42002	1661
1110	KRH26626	1661
1111	KRH53723	1659
1112	KRH53339	1656
1113	KRH04417	1656
1114	KRH73241	1655
1115	KRH08873	1655
1116	KRH59649	1654
1117	KRH43070	1653
1118	KRH28089	1652
1119	KRH62673	1651
1120	KRH53813	1650
1121	KRH47735	1649
1122	KRH44243	1649
1123	KRH44251	1648
1124	KRH03849	1648
1125	KRH74736	1646
1126	KRH40648	1645
1127	KRH75653	1644
1128	KRH65414	1644
1129	KRH74726	1643
1130	KRH27782	1643
1131	KRH22639	1643
1132	KRH14963	1642
1133	KRG94753	1642
1134	KRH31195	1641
1135	KRH19772	1640
1136	KRH58311	1639
1137	KRH29397	1639
1138	KRH18305	1639
1139	KRH11035	1639
1140	KRH56872	1638
1141	KRH40080	1638
1142	KRH56408	1637
1143	KRG98629	1637
1144	KRH65241	1634
1145	KRH43610	1633
1146	KRH77742	1631
1147	KRH52647	1631
1148	KRH56662	1630
1149	KRH43924	1630
1150	KRH42813	1630
1151	KRH39724	1630
1152	KRH18468	1630
1153	KRH04782	1630
1154	KRH03535	1630
1155	KRH38386	1629
1156	KRH08999	1629
1157	KRH03024	1628
1158	KRH36124	1627
1159	KRH19626	1627
1160	KRH77980	1626
1161	KRH58312	1626
1162	KRH50529	1626
1163	KRH39478	1626
1164	KRH14699	1626
1165	KRH61291	1625
1166	KRH09979	1625
1167	KRH43796	1623
1168	KRH01458	1623
1169	KRH45720	1621
1170	KRH38161	1621
1171	KRH25614	1621
1172	KRG97674	1621
1173	KRH75229	1620
1174	KRH74184	1620
1175	KRH56365	1620
1176	KRH24530	1620
1177	KRH14745	1620
1178	KRH64327	1619
1179	KRH17209	1619
1180	KRH16923	1619
1181	KRH58394	1616
1182	KRH09322	1616
1183	KRG95289	1616
1184	KRH28631	1615
1185	KRH29681	1614
1186	KRH26675	1614
1187	KRH64583	1613
1188	KRH56378	1613
1189	KRH09566	1612
1190	KRH02753	1612
1191	KRH01283	1612
1192	KRG94480	1612
1193	KRH47180	1611
1194	KRH66278	1610
1195	KRH14772	1610
1196	KRH00650	1610
1197	KRH74635	1609
1198	KRH76130	1608
1199	KRH58211	1608
1200	KRH40085	1608
1201	KRH06772	1608
1202	KRG88845	1608
1203	KRH62553	1607
1204	KRH50268	1607
1205	KRH24413	1607
1206	KRH42193	1606
1207	KRH37086	1606
1208	KRH66285	1605
1209	KRH45170	1605
1210	KRH14902	1605
1211	KRH07050	1605
1212	KRH58580	1604
1213	KRH54340	1604
1214	KRH04790	1604
1215	KRG94387	1604
1216	KRH35424	1601
1217	KRH58903	1600
1218	KRH56228	1599
1219	KRH24253	1599
1220	KRH07051	1599
1221	KRG98735	1598
1222	KRH77827	1597
1223	KRH18386	1596
1224	KRG91394	1596
1225	KRH57656	1595
1226	KRH45751	1595
1227	KRH21255	1594
1228	KRH54580	1591
1229	KRH35013	1589
1230	KRG90505	1589
1231	KRH22055	1588
1232	KRH06847	1588
1233	KRH57755	1587
1234	KRH37188	1585
1235	KRH75068	1583
1236	KRH20873	1583
1237	KRH05822	1582
1238	KRH70380	1581
1239	KRH37749	1581
1240	KRH34554	1581
1241	KRH71149	1580
1242	KRH54823	1580
1243	KRH39755	1580
1244	KRH03506	1579
1245	KRH71074	1578
1246	KRH67339	1578
