gene_id	paralog_count
KRG96665	14
KRG96666	13
KRH55576	119
KRG96667	11
KRH55577	865
KRG96668	28
KRH55578	38
KRG96669	12
KRH16212	15
KRH55579	431
KRH16213	56
KRH22960	10
KRH63520	29
KRH63521	502
KRH63522	302
KRH22963	71
KRH63523	51
KRH16218	46
KRH22964	501
KRH63524	501
KRH16219	45
KRH22965	32
KRH22966	516
KRH22967	17
KRH63527	9
KRH22968	2
KRH63528	21
KRH26650	28
KRH26652	16
KRH26653	80
KRH26654	34
KRH73960	338
KRH26655	13
KRH26656	11
KRH73962	138
KRH26657	180
KRH26658	11
KRH46380	29
KRH26659	16
KRH46381	53
KRH34600	13
KRH34601	15
KRH73968	29
KRH46385	8
KRH34604	16
KRH34605	286
KRH07021	65
KRH34606	302
KRH07022	63
KRH34607	404
KRG95420	499
KRH07025	4
KRH07026	115
KRG95421	28
KRH07027	127
KRH54333	57
KRH07028	151
KRH54334	380
KRH07029	360
KRG95424	13
KRG95425	21
KRH54335	14
KRG90170	56
KRG95426	2
KRH54336	25
KRG90171	234
KRH54337	95
KRG90172	56
KRG95427	9
KRG90173	41
KRG95428	174
KRG90174	21
KRG90175	175
KRG90176	42
KRG90177	38
KRG90178	12
KRG90179	143
KRH17460	206
KRH58020	17
KRH17461	211
KRH58021	19
KRH17462	209
KRH17463	210
KRH58023	1
KRH17464	208
KRH58024	39
KRH58025	17
KRH58026	26
KRH58027	24
KRH17468	18
KRH58028	18
KRH37190	2265
KRH58029	36
KRH37192	41
KRH37193	26
KRH25410	357
KRH37194	12
KRH25411	217
KRH25412	215
KRH25413	10
KRH37198	28
KRH72720	23
KRH37199	13
KRH72721	97
KRH72722	63
KRH20162	17
KRH25417	35
KRH72723	1381
KRH20163	49
KRH45140	597
KRH72724	83
KRH20164	8
KRH45141	147
KRH20165	515
KRH72726	40
KRH20166	93
KRH45143	10
KRH72727	21
KRH45144	213
KRH72728	499
KRH20168	90
KRH45145	41
KRH45146	15
KRH35852	7
KRH08270	12
KRH08274	49
KRH55580	8
KRH08275	25
KRH55581	1289
KRH55582	25
KRH08277	2607
KRG96672	26
KRH55583	436
KRH43800	68
KRG96674	131
KRH55584	835
KRH43801	3
KRH55585	517
KRG96676	14
KRH55586	1219
KRH43803	29
KRH16220	183
KRH55587	9
KRG96677	137
KRG96678	25
KRH16221	69
KRH55588	18
KRH16222	76
KRH55589	11
KRH16223	1722
KRH16224	40
KRH43808	14
KRH22970	164
KRH63530	136
KRH16225	15
KRH22971	28
KRH63531	28
KRH16226	3
KRH22972	23
KRH63532	583
KRH22973	77
KRH63533	31
KRH22974	9
KRH63534	65
KRH16229	2286
KRH22975	55
KRH63535	541
KRH63536	1713
KRH22977	266
KRH63537	96
KRH22978	504
KRH63538	17
KRH63539	64
KRH26660	52
KRH26661	10
KRH26662	442
KRH26663	27
KRH26664	188
KRH26665	45
KRH73971	17
KRH26666	41
KRH26667	43
KRH26668	44
KRH46390	9
KRH73974	79
KRH26669	18
KRH73975	14
KRH34610	31
KRH46393	27
KRH46394	21
KRH46395	95
KRH73979	19
KRH46396	100
KRH34615	52
KRH07031	67
KRH46398	55
KRH07032	3
KRH34617	469
KRH07033	25
KRH34618	358
KRH07034	9
KRH54340	1604
KRG95431	9
KRH54341	33
KRG95432	8
KRG95433	6
KRH54343	19
KRH07038	14
KRG95434	11
KRH54344	19
KRG95435	214
KRH54345	13
KRG95436	58
KRG95437	60
KRG90182	3662
KRG95438	56
KRH54348	8
KRG90183	10
KRG95439	56
KRG90184	62
KRG90185	22
KRG90187	7
KRH17471	81
KRH58031	158
KRH17472	20
KRH58032	14
KRH17473	213
KRH58033	8
KRH17474	84
KRH64780	120
KRH58034	26
KRH17475	17
KRG62828	10
KRH64781	11
KRH58035	55
KRH17476	15
KRH58036	391
KRH58037	44
KRH17478	475
KRH64784	88
KRH58038	26
KRH17479	26
KRH58039	42
KRH64786	993
KRH25423	28
KRH25424	33
KRH72730	12
KRH20170	105
KRH25425	46
KRH72731	12
KRH25426	84
KRH25427	7
KRH20173	52
KRH25428	48
KRH20174	82
KRH25429	37
KRH72735	31
KRH20176	14
KRH72738	21
KRH20178	38
KRH45155	33
KRH72739	17
KRH45156	2106
KRH45157	1862
KRH45158	110
KRH45159	2320
KRH35861	6
KRH35862	463
KRH53100	78
KRH35863	12
KRH35864	10
KRH08280	23
KRH35865	4
KRH08281	500
KRH53103	20
KRH35866	118
KRH08282	17
KRH35868	90
KRH55590	14
KRH08285	19
KRG96680	130
KRG96681	6
KRH55591	20
KRH55592	1565
KRG96682	9
KRG96683	36
KRH55593	35
KRH08288	83
KRH43810	36
KRH55594	17
KRG96685	30
KRH55595	409
KRH55596	599
KRH43813	10
KRG96687	501
KRH16230	18
KRH55597	1384
KRH16231	2
KRH16232	18
KRH55599	127
KRH43816	9
KRH43817	181
KRH43818	107
KRH22980	15
KRH63540	25
KRH16235	60
KRH16236	25
KRH22984	578
KRH63544	21
KRH16239	12
KRH63545	374
KRH22986	61
KRH63546	74
KRH22987	71
KRH63547	22
KRH22988	64
KRH63548	15
KRH22989	11
KRH26670	61
KRH26671	89
KRH26672	519
KRH26673	26
KRH26674	1520
KRH73980	6
KRH26675	1614
KRH26676	903
KRH73983	31
KRH26679	22
KRH73985	36
KRH73986	18
KRH34621	12
KRH34622	47
KRH34623	20
KRH59600	125
KRH07040	10
KRH34625	13
KRH34626	9
KRH59602	25
KRH07042	208
KRH34627	81
KRH59603	78
KRH07043	214
KRH34628	99
KRH59604	7
KRH07044	184
KRH34629	491
KRG95440	54
KRH59605	11
KRH07045	381
KRH59606	243
KRH07046	47
KRG95441	49
KRG95442	5
KRH54352	12
KRH54353	47
KRH07048	31
KRH59609	68
KRH07049	34
KRG95445	4
KRH54355	153
KRH54356	9
KRG95446	1
KRH54357	464
KRG90192	9
KRG95447	1373
KRH54358	6
KRH54359	31
KRG90195	2565
KRG90196	4
KRG90197	45
KRG90198	6
KRH62302	9
KRG90199	238
KRH58040	79
KRH17481	544
KRH62304	20
KRH58041	36
KRH17482	10
KRH62305	94
KRH17483	10
KRH62307	22
KRH58044	26
KRH17485	5
KRH58045	13
KRH17486	23
KRH64792	147
KRH17487	112
KRH64793	1396
KRH17488	19
KRH64794	84
KRH58048	158
KRH17489	18
KRH64795	217
KRH58049	92
KRH64796	206
KRH25430	27
KRH25431	84
KRH25433	76
KRH25434	11
KRH72740	98
KRH20180	500
KRH25435	19
KRH25436	54
KRH72742	171
KRH72743	36
KRH25438	1437
KRH45160	154
KRH20184	13
KRH25439	23
KRH45161	18
KRH72745	79
KRH20185	38
KRH45162	23
KRH72746	285
KRH45163	55
KRH72747	302
KRH45164	27
KRH72748	46
KRH20188	11
KRH45165	24
KRH72749	351
KRH20189	8
KRH45166	19
KRH45168	25
KRH45169	164
KRH35872	12
KRG94200	46
KRG94201	7
KRG94202	16
KRH08290	26
KRH35875	196
KRG94203	11
KRH08291	9
KRH53113	34
KRG94204	7
KRH08292	11
KRH53114	47
KRH35877	40
KRG94205	19
KRH08293	503
KRG94206	155
KRH08294	91
KRG96690	120
KRG94207	174
KRH08295	23
KRH53117	26
KRG96691	14
KRG94208	108
KRH08296	181
KRG94209	120
KRH08297	113
KRH53119	79
KRH43821	29
KRG96694	12
KRG96695	5
KRG96697	205
KRH68800	53
KRH16240	25
KRH43824	4
KRG96698	154
KRH16241	205
KRG96699	130
KRH68802	57
KRH68803	125
KRH16243	31
KRH43827	500
KRH16244	525
KRH43828	190
KRH22990	150
KRH63550	13
KRH16245	19
KRH22991	5
KRH63551	4
KRH16246	27
KRH22992	17
KRH16247	271
KRH16248	279
KRH22994	10
KRH68809	82
KRH16249	11
KRH63555	27
KRH63557	6
KRH63559	5
KRH71501	234
KRH26680	11
KRH71503	69
KRH71504	507
KRH71505	35
KRH71506	160
KRH26685	45
KRH26686	48
KRH26687	106
KRH26688	11
KRH73994	22
KRH26689	126
KRH73995	2
KRH73996	70
KRH34630	487
KRH34631	20
KRH73998	230
KRH34632	1980
KRH34634	46
KRH07050	1605
KRH34635	43
KRH07051	1599
KRH34636	2
KRH59612	138
KRH07052	16
KRH34637	68
KRH59613	5
KRH07053	1763
KRH07054	14
KRH34639	9
KRG95450	2440
KRH54360	35
KRH59615	10
KRH07055	5
KRG95451	28
KRH54361	4
KRH59616	79
KRH07056	12
KRG95452	43
KRH59618	188
KRH54364	7
KRH59619	147
KRH07059	2809
KRG95454	499
KRH54365	15
KRG95455	503
KRG95456	501
KRG95457	173
KRH54367	9
KRG95458	13
KRG95459	13
KRH15003	39
KRH62311	183
KRH62312	21
KRH15007	81
KRH62313	228
KRH58050	129
KRH17491	9
KRH62314	5
KRH15009	9
KRH17492	5
KRH62315	23
KRH58054	14
KRH62318	37
KRH17496	111
KRH62319	92
KRH58057	216
KRH58058	12
KRH58059	22
KRH25440	34
KRH66000	89
KRH25441	380
KRH66001	312
KRH25443	13
KRH66003	38
KRH25444	36
KRH72750	4
KRH20190	33
KRH25445	154
KRH72751	8
KRH20191	83
KRH25446	34
KRH72752	5
KRH20192	43
KRH25447	168
KRH66007	13
KRH72753	122
KRH25448	603
KRH66008	363
KRH45170	1605
KRH72754	47
KRH20194	3
KRH45171	13
KRH72755	19
KRH20195	20
KRH45172	1133
KRH45173	137
KRH72757	69
KRH45174	15
KRH72758	68
KRH20198	127
KRH20199	11
KRH45176	13
KRH45177	10
KRH45178	33
KRH45179	5
KRH35880	12
KRH35881	13
KRG94210	498
KRH53120	52
KRH35883	17
KRG94211	358
KRG94212	15
KRG94213	226
KRH53123	45
KRG94214	43
KRH53124	5
KRH35887	14
KRG94215	59
KRH35888	45
KRG94216	7
KRH53126	15
KRH35889	503
KRG94217	220
KRH53127	98
KRG94218	173
KRH53128	40
KRG94219	166
KRH53129	182
KRH43832	13
KRH68810	20
KRH43834	11
KRH68811	10
KRH68812	18
KRH16252	729
KRH68813	33
KRH16253	25
KRH43837	81
KRH68814	64
KRH16254	75
KRH43838	164
KRH68815	14
KRH63561	139
KRH68816	204
KRH16256	19
KRH63562	46
KRH68817	204
KRH68818	207
KRH16258	54
KRH68819	207
KRH16259	38
KRH63565	11
KRH63566	2508
KRH24201	82
KRH24203	16
KRH24204	9
KRH24205	21
KRH24206	33
KRH71512	625
KRH24207	89
KRH26690	171
KRH71513	5
KRH26691	154
KRH71514	210
KRH71515	31
KRH26694	1260
KRH26695	96
KRH71518	7
KRH26696	23
KRH26697	152
KRH26699	170
KRH34640	39
KRH34641	9
KRH75200	28
KRH34643	15
KRH75202	46
KRH34644	149
KRH07060	2565
KRH59621	45
KRH07061	2266
KRH75205	1
KRH07062	501
KRH34647	667
KRH75206	20
KRH59623	86
KRH07063	2369
KRH34648	5
KRH75207	62
KRH07064	4
KRH34649	11
KRG95460	5
KRH75208	138
KRH59625	503
KRH07065	3931
KRG95461	15
KRH75209	9
KRH54371	74
KRH07066	1439
KRH54372	53
KRH54373	4
KRH59628	46
KRH07068	500
KRH59629	25
KRH07069	2915
KRG95464	21
KRH54375	16
KRH54376	54
KRH54377	186
KRG95469	10
KRH15012	87
KRH54379	12
KRH15013	13
KRH15014	91
KRH15015	19
KRH15016	404
KRH62322	27
KRH15017	53
KRH62323	26
KRH15018	22
KRH62324	29
KRH15019	107
KRH62325	289
KRH62327	451
KRH62328	2
KRH58065	23
KRH62329	92
KRH58066	88
KRH58067	13
KRH58068	502
KRH58069	15
KRH25450	100
KRH66010	11
KRH66011	21
KRH25452	300
KRH66012	46
KRH25453	28
KRH66013	32
KRH25454	507
KRH72760	65
KRH25455	10
KRH72761	208
KRH25456	72
KRH72762	181
KRH25457	61
KRH72763	214
KRH25458	395
KRH66018	12
KRH72764	63
KRH25459	395
KRH66019	71
KRH45181	499
KRH72765	355
KRH72766	407
KRH33400	105
KRH45183	29
KRH72767	203
KRH33401	13
KRH33402	128
KRH45185	60
KRH72769	336
KRH45186	43
KRH45187	9
KRH33405	45
KRH45188	37
KRH33406	499
KRH45189	4
KRH33407	143
KRH35891	38
KRH33408	664
KRH33409	106
KRH53131	129
KRH35895	109
KRH53133	55
KRH35896	1383
KRH53134	15
KRH35897	9
KRG94225	509
KRH53135	26
KRH35898	46
KRH53136	66
KRH35899	38
KRG94227	501
KRG94228	128
KRG94229	249
KRH53139	121
KRH43840	501
KRH43841	2143
KRH43842	87
KRH43843	106
KRH68820	50
KRH16260	8
KRH43844	3000
KRH43845	111
KRH68822	16
KRH16262	59
KRH43846	81
KRH43847	99
KRH16264	130
KRH43848	105
KRH16265	1513
KRH43849	9
KRH63571	13
KRH16266	77
KRH68827	238
KRH16267	29
KRH16268	17
KRH63574	13
KRH68829	18
KRH16269	117
KRH63576	3
KRH63577	37
KRH24210	61
KRH24213	9
KRH24214	30
KRH71520	834
KRH24215	5
KRH24216	466
KRH71523	332
KRH24218	199
KRH24219	36
KRH71526	391
KRH71527	32
KRH71528	29
KRH71529	12
KRH39900	18
KRH39902	98
KRH39903	6
KRH39904	7
KRH39905	1514
KRH75210	11
KRH39906	28
KRH34652	17
KRH75211	214
KRH39907	14
KRH34653	12
KRH75213	34
KRH07070	2262
KRH39909	14
KRH34655	318
KRH07071	22
KRH34656	107
KRH07072	26
KRH75216	10
KRH59633	65
KRH07073	8
KRH34658	199
KRH75217	6
KRH07074	5
KRH75218	290
KRH07075	7
KRG95470	8
KRG95471	59
KRH75219	18
KRH54381	18
KRH59636	38
KRH07076	2989
KRH54382	74
KRH59637	22
KRG95473	8
KRH54383	97
KRH59638	9
KRH07078	9
KRG95474	87
KRH07079	9
KRH42601	14
KRG95475	30
KRH42603	193
KRG95476	10
KRH15020	106
KRH15021	22
KRH54388	452
KRH42605	8
KRG95479	18
KRH15022	46
KRH42606	47
KRH15023	16
KRH15024	155
KRH15025	21
KRH42609	56
KRH62331	34
KRH62332	393
KRH15027	152
KRH15029	114
KRH58071	30
KRH62336	91
KRH62337	14
KRH58075	10
KRH62339	58
KRH58076	501
KRH58077	76
KRH58078	6
KRH58079	20
KRH25460	69
KRH25461	408
KRH66020	7
KRH66021	27
KRH25463	22
KRH66022	8
KRH25464	11
KRH66023	692
KRH72770	27
KRH25465	6
KRH66024	80
KRH25466	16
KRH66025	396
KRH25467	16
KRH66026	455
KRH72773	64
KRH25468	406
KRH66027	396
KRH45190	14
KRH72774	51
KRH25469	202
KRH66028	117
KRH45191	12
KRH72775	46
KRH66029	311
KRH72776	21
KRH33410	479
KRH45193	11
KRH72777	21
KRH45194	14
KRH45195	408
KRH72779	19
KRH33413	8
KRH45198	29
KRH33417	152
KRH33418	11
KRH33419	221
KRG94230	479
KRG94231	45
KRG94232	50
KRH00800	107
KRH53142	169
KRG94233	10
KRG94234	86
KRG94235	87
KRG94236	143
KRG94237	13
KRH53147	5
KRG94238	394
KRH00806	27
KRH53148	25
KRG94239	1544
KRH00807	15
KRH53149	25
KRH00808	6
KRH43850	17
KRH00809	123
KRH43851	85
KRH68830	229
KRH43854	71
KRH16271	71
KRH43855	28
KRH68833	12
KRH16273	6
KRH43857	20
KRH16274	12
KRH63580	28
KRH68835	23
KRH16275	235
KRH16276	24
KRH16277	32
KRH16278	14
KRH16279	7
KRH63585	461
KRH51803	154
KRH63587	44
KRH24220	116
KRH51804	501
KRH24221	14
KRH51806	31
KRH24223	22
KRH51807	148
KRH24225	85
KRH51809	84
KRH71531	59
KRH71532	37
KRH24227	1869
KRH71533	207
KRH24228	244
KRH71535	154
KRH71536	83
KRH71537	83
KRH71538	87
KRH71539	3
KRH39910	19
KRH39911	88
KRH39913	37
KRH39914	51
KRH34660	187
KRH39915	5
KRH75220	5
KRH39916	18
KRH34662	166
KRH75221	37
KRH75222	36
KRH39918	20
KRH34664	7
KRH75223	153
KRH07080	20
KRH75224	271
KRH07081	89
KRH75225	7
KRH59642	23
KRH07082	2947
KRH75226	16
KRH59643	25
KRH07083	208
KRH34668	23
KRH75227	2
KRH07084	78
KRH75228	7
KRH54390	23
KRH59645	7
KRH07085	7
KRG95480	28
KRH75229	1620
KRH54391	7
KRH59646	252
KRH07086	6
KRH54392	18
KRH07087	18
KRH07088	11
KRH42610	121
KRH59649	1654
KRH07089	62
KRH42611	14
KRG95484	28
KRH54395	90
KRH15030	121
KRH54397	4
KRG95488	28
KRH15031	123
KRH54398	117
KRH42615	311
KRH15032	46
KRH54399	22
KRG95489	32
KRH15033	148
KRH42617	1190
KRH15035	148
KRH42619	183
KRH62341	164
KRH15036	190
KRH15037	328
KRH62343	11
KRH62344	22
KRH58081	104
KRH62345	59
KRH62346	8
KRH62347	428
KRH62348	1
KRH62349	105
KRH58086	102
KRH58089	50
KRH25470	70
KRH25471	14
KRH25472	4
KRH66031	25
KRH25473	10
KRH66032	159
KRH25474	5
KRH66033	58
KRH25475	14
KRH66034	17
KRH25476	13
KRH66035	6
KRH25477	16
KRH66036	29
KRH25478	407
KRH66037	92
KRH25479	15
KRH66038	6
KRH66039	35
KRH33420	23
KRH72787	13
KRH33421	2608
KRH72788	208
KRH33422	70
KRH72789	216
KRH33423	98
KRH33424	17
KRH33425	29
KRH33426	86
KRH33427	45
KRH33428	4
KRH33429	8
KRG94240	188
KRH53150	20
KRH53151	4
KRG94242	189
KRH00810	489
KRH53152	12
KRH53153	39
KRH53154	7
KRG94245	43
KRH00813	10
KRG94246	86
KRH53156	172
KRG94247	48
KRH53157	14
KRG94248	22
KRG94249	31
KRH00817	14
KRH00818	465
KRH00819	26
KRH43861	42
KRH43863	17
KRH68840	500
KRH16280	25
KRH43864	7
KRH43865	515
KRH68842	30
KRH43866	35
KRH68843	500
KRH16283	84
KRH43867	227
KRH68844	50
KRH16284	260
KRH63590	14
KRH68845	85
KRH16285	196
KRH04502	1191
KRH16286	14
KRH04503	341
KRH63592	150
KRH16287	409
KRH16288	10
KRH63594	18
KRH68849	15
KRH04506	16
KRG92901	9
KRH04507	205
KRG92902	272
KRH63597	41
KRG92904	378
KRH24231	316
KRG92905	15
KRH63599	46
KRH24232	7
KRH24233	273
KRG92907	15
KRG92908	4
KRH71540	5
KRH71541	89
KRH71544	150
KRH71545	128
KRH71546	32
KRH71547	107
KRH71548	53
KRH71549	43
KRH39921	40
KRH39923	157
KRH39925	27
KRH34671	101
KRH75230	19
KRH39926	52
KRH75231	113
KRH39927	11
KRH34673	110
KRH34674	172
KRH75233	154
KRH59650	17
KRH39929	201
KRH07091	5
KRG93003	42
KRH34676	212
KRH07092	40
KRH34677	1
KRH75236	583
KRH75237	8
KRH59654	36
KRH07094	15
KRG93006	14
KRH34679	149
KRH75238	315
KRG93007	12
KRH75239	1067
KRH59657	47
KRH07097	9
KRG93009	9
KRH59658	27
KRH07098	54
KRH07099	418
KRH42621	161
KRG95494	36
KRH42622	13
KRH42623	71
KRH42624	17
KRG95497	10
KRH42625	6
KRG95498	26
KRH42626	565
KRG95499	21
KRH42627	5
KRH15044	28
KRH42628	154
KRH67605	16
KRH42629	316
KRH62351	18
KRH15046	670
KRH62352	303
KRH67607	4
KRH15047	56
KRH62353	21
KRH58090	164
KRH62354	13
KRH67609	24
KRH62355	169
KRH62356	169
KRH62357	163
KRH58095	64
KRH62359	62
KRH25480	34
KRH70302	43
KRH66040	1929
KRH70304	150
KRH66041	20
KRH13700	271
KRH66042	221
KRH13701	266
KRH66043	22
KRH72790	212
KRH25485	2
KRH70307	112
KRH13702	185
KRH66044	10
KRH72791	10
KRH25486	22
KRH13703	42
KRH72792	213
KRH70309	118
KRH13704	226
KRH66046	511
KRH72793	459
KRH25488	44
KRH13705	119
KRH66047	117
KRH13706	94
KRH66048	5
KRH13707	74
KRH13708	22
KRH33430	273
KRH13709	506
KRH33431	7
KRH33434	128
KRG99500	152
KRH33435	44
KRG99501	40
KRG99502	25
KRH33437	8
KRG99503	95
KRG99504	100
KRG94250	25
KRG99505	506
KRG99506	128
KRH53161	61
KRG94252	15
KRG99507	31
KRH00820	23
KRG94253	33
KRG99508	22
KRH00822	37
KRG94255	257
KRH00823	78
KRH53166	9
KRH00825	24
KRH53167	97
KRH00826	10
KRG94259	6
KRH00827	18
KRH00828	98
KRH43870	34
KRH43871	16
KRH43872	1465
KRH68850	12
KRH16290	7
KRH43874	7
KRH68851	31
KRH43875	13
KRH68852	63
KRH16292	73
KRH43876	499
KRH68853	201
KRH16293	160
KRH04510	507
KRH43877	12
KRH68854	19
KRH16294	165
KRH04511	8
KRH43878	31
KRH16295	499
KRH04512	12
KRH68856	13
KRH16296	59
KRH04513	289
KRH68857	23
KRH16297	15
KRH04514	12
KRH68858	204
KRH16298	122
KRH04515	7
KRG92910	14
KRH51822	8
KRG92913	7
KRH76800	143
KRH24240	31
KRH04519	101
KRG92914	9
KRH76801	8
KRH76802	427
KRG92916	78
KRH51827	441
KRG92917	161
KRH51828	15
KRG92918	50
KRH71550	40
KRH76805	16
KRH51829	32
KRH71551	52
KRH71552	67
KRH24247	1426
KRH71553	11
KRH76808	11
KRH24248	32
KRH71555	33
KRH71556	24
KRH71557	10
KRH71558	13
KRH71559	289
KRH39930	8
KRH39932	47
KRH39933	4
KRH39934	46
KRH34680	6
KRH39935	29
KRH34681	25
KRH75240	11
KRH34682	144
KRH75241	13
KRH39937	50
KRG93010	9
KRH34683	29
KRH75242	23
KRH39938	16
KRG93011	28
KRH34684	11
KRH75243	12
KRH39939	85
KRG93012	136
KRH34685	10
KRH75244	7
KRH59661	25
KRG93013	4
KRH34686	17
KRH75245	5
KRG93014	33
KRH34687	17
KRH75246	68
KRH34688	14
KRH75247	20
KRH59664	26
KRH34689	1000
KRH75248	15
KRH59668	4
KRH42630	149
KRH42631	22
KRH42632	158
KRH15050	452
KRH67611	25
KRH15051	19
KRH42635	21
KRH67612	173
KRH67613	5
KRH42637	146
KRH67614	81
KRH15054	12
KRH42638	14
KRH62360	11
KRH15055	17
KRH15056	17
KRH67617	8
KRH15057	9
KRH67618	501
KRH15058	27
KRH62365	90
KRH62366	23
KRH62367	34
KRH62368	251
KRH62369	21
KRH70310	14
KRH23005	1733
KRH70311	35
KRH25490	54
KRH70312	2591
KRH25491	12
KRH70313	28
KRH66050	29
KRH25492	24
KRH70314	16
KRH66051	165
KRH25493	46
KRH70315	28
KRH13710	146
KRH66052	171
KRH25494	27
KRH70316	143
KRH66053	34
KRH25495	8
KRH70317	21
KRH13712	33
KRH70318	433
KRH13713	13
KRH66055	6
KRH25497	10
KRH70319	45
KRH13714	256
KRH25498	32
KRH13715	28
KRH66057	163
KRH13716	46
KRH13717	44
KRH13718	190
KRH13719	4
KRH74000	10
KRH33442	214
KRH74001	8
KRH74002	32
KRG99510	5
KRH74003	48
KRG99512	169
KRH74005	16
KRG99513	86
KRH74006	25
KRG99514	21
KRH33449	30
KRH74008	49
KRG99516	134
KRH74009	8
KRG94262	11
KRG99517	45
KRH00830	137
KRH53172	8
KRG99518	133
KRH00831	385
KRG99519	76
KRH00832	111
KRH53174	501
KRH00834	501
KRH53176	18
KRG94267	9
KRH00835	6
KRG94268	19
KRH00836	41
KRH53178	12
KRG94269	29
KRH00839	501
KRH43881	14
KRH43882	14
KRH43883	16
KRH68860	163
KRH43884	274
KRH43885	11
KRH43886	4
KRH04520	224
KRH43887	324
KRH04521	42
KRH43888	28
KRH04522	12
KRH43889	20
KRH04523	406
KRH29500	2
KRH04524	30
KRH29501	30
KRH68868	24
KRH51830	31
KRH04525	5
KRG92920	163
KRH29502	8
KRH51831	11
KRH04526	17
KRG92921	11
KRH51832	6
KRH04527	148
KRH29504	69
KRH51833	35
KRH04528	1271
KRH24250	9
KRH29505	39
KRH51834	11
KRH04529	77
KRG92924	67
KRH24251	59
KRH24252	28
KRH29507	24
KRH51836	82
KRH24253	1599
KRG92927	6
KRH24254	8
KRH51838	16
KRH71560	276
KRH24255	212
KRH51839	15
KRH71561	10
KRH71562	27
KRH71564	15
KRH76819	4
KRH71565	1
KRH71566	56
KRH32201	8
KRH32202	6
KRH39940	54
KRH32203	88
KRH32204	502
KRH39942	25
KRH34690	19
KRH34691	27
KRH39946	10
KRH34692	6
KRH39947	218
KRH34693	6
KRH75252	108
KRH39948	36
KRG93021	51
KRH34694	244
KRH59671	125
KRH34696	13
KRH75256	2039
KRH59673	25
KRH34698	7
KRH75257	65
KRH34699	44
KRH75258	357
KRH59675	87
KRH75259	417
KRG93028	499
KRG93029	10
KRH59678	35
KRH42642	49
KRH42643	501
KRH15060	233
KRH42644	6
KRH67621	370
KRH42645	13
KRH15062	1367
KRH42646	63
KRH42647	9
KRH67624	3
KRH42648	223
KRH62370	42
KRH67625	28
KRH15065	93
KRH62371	53
KRH15066	9
KRH62372	189
KRH62373	403
KRH67628	8
KRH15068	162
KRH62374	8
KRH67629	1992
KRH62375	13
KRH23010	21
KRH62378	468
KRH23011	38
KRH62379	75
KRH23012	9
KRH23014	458
KRH23015	17
KRH70321	439
KRH23016	12
