gene1	gene2	ks	chrom	collinear
KRH74657	KRH74658	0.1518	1	True
KRH74657	KRH74659	0.7538	1	True
KRH74658	KRH74659	0.7603	1	True
KRH74667	KRH74671	0.7071	1	True
KRH74673	KRH74677	0.3227	1	True
KRH74673	KRH74678	0.5153	1	True
KRH74673	KRH74680	0.4057	1	True
KRH74677	KRH74678	3.924	1	True
KRH74677	KRH74680	0.4129	1	True
KRH74678	KRH74680	2.0797	1	True
KRH74685	KRH74686	0.8336	1	True
KRH74695	KRH74696	0.5502	1	True
KRH74695	KRH74697	0.6334	1	True
KRH74695	KRH74698	2.5846	1	True
KRH74696	KRH74697	0.0231	1	True
KRH74696	KRH74698	1.8691	1	True
KRH74697	KRH74698	4.0544	1	True
KRH74740	KRH74741	0.12	1	True
KRH74740	KRH74742	0.2652	1	True
KRH74741	KRH74742	0.2733	1	True
KRH74748	KRH74753	0.7075	1	True
KRH74748	KRH74754	0.7945	1	True
KRH74753	KRH74754	1.6775	1	True
KRH74749	KRH74765	2.5885	1	True
KRH74756	KRH74766	4.5241	1	True
KRH74869	KRH74871	1.3807	1	True
KRH74878	KRH74879	0.2197	1	True
KRH74901	KRH74902	3.2022	1	True
KRH74910	KRH74911	0.3158	1	True
KRH74938	KRH74939	3.3122	1	True
KRH74982	KRH75002	1.7151	1	True
KRH75017	KRH75018	1.9371	1	True
KRH75044	KRH75048	0.017	1	True
KRH75044	KRH75063	0.0377	1	True
KRH75048	KRH75063	0.036	1	True
KRH75062	KRH75066	1.8631	1	True
KRH75123	KRH75124	2.6317	1	True
KRH75123	KRH75127	3.4927	1	True
KRH75124	KRH75127	2.6606	1	True
KRH75151	KRH75152	3.9252	1	True
KRH75156	KRH75159	0.0035	1	True
KRH75157	KRH75159	0.0035	1	True
KRH75209	KRH75210	0.024	1	True
KRH75224	KRH75236	2.3862	1	True
KRH75238	KRH75239	2.0329	1	True
KRH75258	KRH75259	3.0793	1	True
KRH75280	KRH75282	3.3455	1	True
KRH75280	KRH75283	3.4001	1	True
KRH75282	KRH75283	3.4988	1	True
KRH75287	KRH75288	2.5345	1	True
KRH75296	KRH75297	2.5626	1	True
KRH75378	KRH75379	0.269	1	True
KRH75442	KRH75445	0.3114	1	True
KRH75442	KRH75446	0.2788	1	True
KRH75442	KRH75447	0.3863	1	True
KRH75445	KRH75446	0.316	1	True
KRH75445	KRH75447	0.4171	1	True
KRH75446	KRH75447	0.4092	1	True
KRH75450	KRH75453	4.107	1	True
KRH75456	KRH75469	2.8766	1	True
KRH75479	KRH75480	3.3541	1	True
KRH75549	KRH75550	1.2493	1	True
KRH75553	KRH75554	0.4219	1	True
KRH75593	KRH75606	0.2839	1	True
KRH75596	KRH75599	2.8025	1	True
KRH75637	KRH75641	0.2533	1	True
KRH75668	KRH75684	0.142	1	True
KRH75700	KRH75702	0.6089	1	True
KRH75700	KRH75705	1.4531	1	True
KRH75702	KRH75705	1.6555	1	True
KRH75718	KRH75719	0.8512	1	True
KRH75720	KRH75721	0.2112	1	True
KRH75749	KRH75750	1.6722	1	True
KRH75763	KRH75769	0.2124	1	True
KRH75773	KRH75774	0.5192	1	True
KRH75773	KRH75775	0.7697	1	True
KRH75774	KRH75775	0.2051	1	True
KRH75780	KRH75781	0.0158	1	True
KRH75822	KRH75825	0.5312	1	True
KRH75841	KRH75842	0.0273	1	True
KRH75841	KRH75843	0.0262	1	True
KRH75842	KRH75843	0.0154	1	True
KRH75851	KRH75857	1.3215	1	True
KRH75851	KRH75867	2.105	1	True
KRH75851	KRH75871	1.37	1	True
KRH75857	KRH75867	0.5701	1	True
KRH75857	KRH75871	0.501	1	True
KRH75867	KRH75871	0.6987	1	True
KRH75885	KRH75887	0.3612	1	True
KRH75885	KRH75888	0.0644	1	True
KRH75885	KRH75889	0.1863	1	True
KRH75887	KRH75888	2.1588	1	True
KRH75887	KRH75889	0.3651	1	True
KRH75888	KRH75889	0.1105	1	True
KRH75890	KRH75891	0.8057	1	True
KRH75892	KRH75900	0.1964	1	True
KRH75893	KRH75894	2.8719	1	True
KRH75893	KRH75895	0.2023	1	True
KRH75894	KRH75895	1.8638	1	True
KRH75913	KRH75931	2.7505	1	True
KRH75929	KRH75937	0.0357	1	True
KRH75938	KRH75939	0.023	1	True
KRH75951	KRH75952	3.1493	1	True
KRH75954	KRH75955	0.0354	1	True
KRH76015	KRH76019	4.028	1	True
KRH76022	KRH76031	4.6558	1	True
KRH76023	KRH76026	0.3128	1	True
KRH76030	KRH76037	4.0899	1	True
KRH76030	KRH76044	1.8553	1	True
KRH76037	KRH76044	2.5222	1	True
KRH76034	KRH76036	1.7681	1	True
KRH76040	KRH76041	2.1012	1	True
KRH76040	KRH76045	1.8862	1	True
KRH76040	KRH76047	1.5122	1	True
KRH76040	KRH76049	1.7975	1	True
KRH76041	KRH76045	1.4845	1	True
KRH76041	KRH76047	0.9943	1	True
KRH76041	KRH76049	2.3219	1	True
KRH76045	KRH76047	1.1236	1	True
KRH76045	KRH76049	1.6222	1	True
KRH76047	KRH76049	1.2752	1	True
KRH76060	KRH76064	0.3538	1	True
KRH76071	KRH76072	0.0412	1	True
KRH76083	KRH76084	0.9672	1	True
KRH76083	KRH76085	1.3436	1	True
KRH76084	KRH76085	1.7403	1	True
KRH76088	KRH76091	0.361	1	True
KRH76117	KRH76118	2.5118	1	True
KRH76139	KRH76140	3.9125	1	True
KRH76142	KRH76143	0.2682	1	True
KRH76147	KRH76150	0.6797	1	True
KRH76184	KRH76188	0.8771	1	True
KRH76184	KRH76189	0.8804	1	True
KRH76188	KRH76189	0.0024	1	True
KRH76196	KRH76197	0.3554	1	True
KRH76207	KRH76217	0.7119	1	True
KRH76211	KRH76218	0.0942	1	True
KRH76214	KRH76215	3.0695	1	True
KRH76236	KRH76240	0.2636	1	True
KRH76236	KRH76241	0.2931	1	True
KRH76236	KRH76242	0.2572	1	True
KRH76236	KRH76244	0.1919	1	True
KRH76236	KRH76246	0.3013	1	True
KRH76236	KRH76253	0.1111	1	True
KRH76236	KRH76254	0.2242	1	True
KRH76236	KRH76255	0.1129	1	True
KRH76240	KRH76241	0.1933	1	True
KRH76240	KRH76242	0.2164	1	True
KRH76240	KRH76244	0.1739	1	True
KRH76240	KRH76246	0.1445	1	True
KRH76240	KRH76253	0.1875	1	True
KRH76240	KRH76254	0.1821	1	True
KRH76240	KRH76255	0.2715	1	True
KRH76241	KRH76242	0.1198	1	True
KRH76241	KRH76244	0.2716	1	True
KRH76241	KRH76246	0.2206	1	True
KRH76241	KRH76253	0.1802	1	True
KRH76241	KRH76254	0.2629	1	True
KRH76241	KRH76255	0.3347	1	True
KRH76242	KRH76244	0.2245	1	True
KRH76242	KRH76246	0.2159	1	True
KRH76242	KRH76253	0.1934	1	True
KRH76242	KRH76254	0.2381	1	True
KRH76242	KRH76255	0.3628	1	True
KRH76244	KRH76246	0.0852	1	True
KRH76244	KRH76253	0.2243	1	True
KRH76244	KRH76254	0.3155	1	True
KRH76244	KRH76255	0.3151	1	True
KRH76246	KRH76253	0.2526	1	True
KRH76246	KRH76254	0.256	1	True
KRH76246	KRH76255	0.2475	1	True
KRH76253	KRH76254	0.199	1	True
KRH76253	KRH76255	0.2107	1	True
KRH76254	KRH76255	0.2608	1	True
KRH76270	KRH76289	3.5098	1	True
KRH76281	KRH76282	2.7817	1	True
KRH76288	KRH76303	3.4859	1	True
KRH76408	KRH76414	4.1941	1	True
KRH76412	KRH76413	1.7775	1	True
KRH76419	KRH76432	3.117	1	True
KRH76430	KRH76431	3.5745	1	True
KRH76462	KRH76476	4.1895	1	True
KRH76463	KRH76464	0.6964	1	True
KRH76480	KRH76481	0.2129	1	True
KRH76556	KRH76558	3.448	1	True
KRH76561	KRH76564	1.4838	1	True
KRH76561	KRH76565	2.8038	1	True
KRH76561	KRH76567	1.4721	1	True
KRH76561	KRH76568	1.5978	1	True
KRH76561	KRH76569	1.6991	1	True
KRH76561	KRH76570	1.6013	1	True
KRH76564	KRH76565	2.1572	1	True
KRH76564	KRH76567	1.6892	1	True
KRH76564	KRH76568	2.3215	1	True
KRH76564	KRH76569	1.9221	1	True
KRH76564	KRH76570	1.7354	1	True
KRH76565	KRH76567	0.0397	1	True
KRH76565	KRH76568	0.1321	1	True
KRH76565	KRH76569	0.4539	1	True
KRH76565	KRH76570	1.4838	1	True
KRH76567	KRH76568	0.1318	1	True
KRH76567	KRH76569	0.4922	1	True
KRH76567	KRH76570	1.4218	1	True
KRH76568	KRH76569	0.5134	1	True
KRH76568	KRH76570	1.6463	1	True
KRH76569	KRH76570	1.5516	1	True
KRH76586	KRH76587	0.4067	1	True
KRH76602	KRH76619	1.7689	1	True
KRH76636	KRH76637	1.1329	1	True
KRH76648	KRH76650	1.9556	1	True
KRH76648	KRH76653	1.7798	1	True
KRH76650	KRH76653	0.9186	1	True
KRH76698	KRH76699	0.7417	1	True
KRH76739	KRH76740	4.2033	1	True
KRH76759	KRH76760	0.7464	1	True
KRH76759	KRH76762	0.6074	1	True
KRH76759	KRH76763	0.6105	1	True
KRH76760	KRH76762	0.1921	1	True
KRH76760	KRH76763	0.2091	1	True
KRH76762	KRH76763	0.2047	1	True
KRH76772	KRH76773	0.6614	1	True
KRH76787	KRH76789	1.2295	1	True
KRH76797	KRH76808	2.4855	1	True
KRH76882	KRH76883	3.3415	1	True
KRH76886	KRH76887	0.0859	1	True
KRH76886	KRH76888	0.4706	1	True
KRH76886	KRH76889	0.517	1	True
KRH76887	KRH76888	0.4396	1	True
KRH76887	KRH76889	0.5852	1	True
KRH76888	KRH76889	0.7327	1	True
KRH76907	KRH76917	3.292	1	True
KRH76916	KRH76932	0.2165	1	True
KRH76922	KRH76923	0.3551	1	True
KRH76939	KRH76940	0.3155	1	True
KRH76942	KRH76957	3.8913	1	True
KRH76944	KRH76957	2.7195	1	True
KRH76985	KRH76986	3.0264	1	True
KRH76985	KRH76987	2.972	1	True
KRH76985	KRH76988	3.127	1	True
KRH76986	KRH76987	1.6981	1	True
KRH76986	KRH76988	2.1988	1	True
KRH76987	KRH76988	1.8484	1	True
KRH77007	KRH77016	3.7055	1	True
KRH77010	KRH77011	0.2318	1	True
KRH77012	KRH77019	2.9458	1	True
KRH77013	KRH77026	3.3268	1	True
KRH77030	KRH77034	3.043	1	True
KRH77188	KRH77190	2.1752	1	True
KRH77192	KRH77193	2.4384	1	True
KRH77192	KRH77195	1.9255	1	True
KRH77193	KRH77195	1.5035	1	True
KRH77196	KRH77197	2.9998	1	True
KRH77205	KRH77206	3.8666	1	True
KRH77244	KRH77245	2.644	1	True
KRH77250	KRH77251	0.2925	1	True
KRH77257	KRH77258	1.1117	1	True
KRH77261	KRH77262	3.3777	1	True
KRH77279	KRH77281	3.4324	1	True
KRH77307	KRH77308	0.5923	1	True
KRH77320	KRH77322	0.3638	1	True
KRH77320	KRH77321	0.3872	1	True
KRH77322	KRH77321	0.2666	1	True
KRH77323	KRH77324	2.2576	1	True
KRH77325	KRH77326	3.0766	1	True
KRH77361	KRH77362	0.0954	1	True
KRH77422	KRH77423	2.2137	1	True
KRH77446	KRH77447	1.1598	1	True
KRH77468	KRH77469	0.2355	1	True
KRH77468	KRH77470	0.1447	1	True
KRH77469	KRH77470	2.7722	1	True
KRH77483	KRH77484	2.2555	1	True
KRH77506	KRH77507	3.7004	1	True
KRH77528	KRH77529	1.4214	1	True
KRH77533	KRH77534	2.6957	1	True
KRH77548	KRH77549	0.4479	1	True
KRH77552	KRH77554	2.0689	1	True
KRH77564	KRH77569	3.2878	1	True
KRH77594	KRH77595	1.6437	1	True
KRH77624	KRH77640	3.8196	1	True
KRH77721	KRH77722	1.6516	1	True
KRH77729	KRH77742	4.4653	1	True
KRH77737	KRH77739	2.3301	1	True
KRH77737	KRH77755	3.1855	1	True
KRH77739	KRH77755	3.4096	1	True
KRH77756	KRH77757	0.317	1	True
KRH77764	KRH77765	4.5453	1	True
KRH77827	KRH77843	4.446	1	True
KRH77834	KRH77837	2.2766	1	True
KRH77858	KRH77859	0.1562	1	True
KRH77873	KRH77874	0.9734	1	True
KRH77873	KRH77875	1.1884	1	True
KRH77873	KRH77876	2.2254	1	True
KRH77874	KRH77875	2.0921	1	True
KRH77874	KRH77876	2.0172	1	True
KRH77875	KRH77876	2.7544	1	True
KRH77903	KRH77904	4.5371	1	True
KRH77903	KRH77907	4.5475	1	True
KRH77904	KRH77907	2.8232	1	True
KRH77930	KRH77949	3.7361	1	True
KRH77983	KRH77985	3.4165	1	True
KRH31612	KRH31613	1.8167	10	True
KRH31619	KRH31620	0.6595	10	True
KRH31622	KRH31642	0.026	10	True
KRH31632	KRH31638	1.8274	10	True
KRH31688	KRH31689	0.5288	10	True
KRH31694	KRH31697	0.2762	10	True
KRH31709	KRH31710	3.3632	10	True
KRH31717	KRH31719	0.4351	10	True
KRH31759	KRH31760	1.6221	10	True
KRH31783	KRH31796	3.2414	10	True
KRH31828	KRH31829	3.3502	10	True
KRH31836	KRH31837	0.3101	10	True
KRH31847	KRH31849	0.5244	10	True
KRH31851	KRH31852	2.0071	10	True
KRH31856	KRH31857	2.7666	10	True
KRH31859	KRH31860	3.3555	10	True
KRH31895	KRH31896	0.3393	10	True
KRH31910	KRH31911	0.1833	10	True
KRH31915	KRH31916	1.3738	10	True
KRH31915	KRH31917	1.3385	10	True
KRH31915	KRH31918	1.2156	10	True
KRH31915	KRH31919	1.291	10	True
KRH31916	KRH31917	0.4072	10	True
KRH31916	KRH31918	1.9997	10	True
KRH31916	KRH31919	1.358	10	True
KRH31917	KRH31918	2.8497	10	True
KRH31917	KRH31919	1.8832	10	True
KRH31918	KRH31919	2.3396	10	True
KRH31959	KRH31961	4.1332	10	True
KRH32067	KRH32072	0.2169	10	True
KRH32076	KRH32077	2.0492	10	True
KRH32098	KRH32099	3.4748	10	True
KRH32148	KRH32149	3.3076	10	True
KRH32155	KRH32157	2.2595	10	True
KRH32175	KRH32176	3.3189	10	True
KRH32175	KRH32179	3.3277	10	True
KRH32175	KRH32180	3.2245	10	True
KRH32176	KRH32179	2.3688	10	True
KRH32176	KRH32180	2.0753	10	True
KRH32179	KRH32180	3.3622	10	True
KRH32202	KRH32203	3.4273	10	True
KRH32263	KRH32265	1.3629	10	True
KRH32263	KRH32267	0.7505	10	True
KRH32265	KRH32267	3.4062	10	True
KRH32277	KRH32278	0.0358	10	True
KRH32295	KRH32296	0.5952	10	True
KRH32333	KRH32334	0.981	10	True
KRH32333	KRH32335	1.3424	10	True
KRH32334	KRH32335	1.3484	10	True
KRH32355	KRH32356	1.5339	10	True
KRH32373	KRH32374	3.8541	10	True
KRH32375	KRH32393	4.0659	10	True
KRH32469	KRH32470	4.0011	10	True
KRH32515	KRH32517	1.2795	10	True
KRH32515	KRH32518	0.6409	10	True
KRH32515	KRH32519	0.5819	10	True
KRH32515	KRH32521	0.5962	10	True
KRH32515	KRH32522	0.524	10	True
KRH32515	KRH32523	1.7659	10	True
KRH32515	KRH32524	0.7448	10	True
KRH32515	KRH32525	0.6448	10	True
KRH32517	KRH32518	1.8073	10	True
KRH32517	KRH32519	2.1842	10	True
KRH32517	KRH32521	1.5257	10	True
KRH32517	KRH32522	1.2089	10	True
KRH32517	KRH32523	1.4467	10	True
KRH32517	KRH32524	1.4052	10	True
KRH32517	KRH32525	1.0723	10	True
KRH32518	KRH32519	0.8469	10	True
KRH32518	KRH32521	0.2689	10	True
KRH32518	KRH32522	0.2232	10	True
KRH32518	KRH32523	0.4191	10	True
KRH32518	KRH32524	0.3463	10	True
KRH32518	KRH32525	0.2318	10	True
KRH32519	KRH32521	0.549	10	True
KRH32519	KRH32522	0.4788	10	True
KRH32519	KRH32523	0.6834	10	True
KRH32519	KRH32524	0.6246	10	True
KRH32519	KRH32525	0.4953	10	True
KRH32521	KRH32522	0.2465	10	True
KRH32521	KRH32523	0.4158	10	True
KRH32521	KRH32524	0.3368	10	True
KRH32521	KRH32525	0.1994	10	True
KRH32522	KRH32523	0.3296	10	True
KRH32522	KRH32524	0.2683	10	True
KRH32522	KRH32525	0.1994	10	True
KRH32523	KRH32524	0.3213	10	True
KRH32523	KRH32525	0.3455	10	True
KRH32524	KRH32525	0.2935	10	True
KRH32557	KRH32559	1.9641	10	True
KRH32567	KRH32570	0.3934	10	True
KRH32571	KRH32576	0.4304	10	True
KRH32571	KRH32577	0.5009	10	True
KRH32571	KRH32578	0.4252	10	True
KRH32571	KRH32579	0.5257	10	True
KRH32571	KRH32586	0.4599	10	True
KRH32571	KRH32589	2.4001	10	True
KRH32576	KRH32577	0.493	10	True
KRH32576	KRH32579	0.4827	10	True
KRH32576	KRH32585	0.4304	10	True
KRH32576	KRH32586	0.028	10	True
KRH32576	KRH32589	3.717	10	True
KRH32577	KRH32578	0.493	10	True
KRH32577	KRH32579	0.012	10	True
KRH32577	KRH32585	0.5009	10	True
KRH32577	KRH32586	0.493	10	True
KRH32577	KRH32589	1.7989	10	True
KRH32578	KRH32579	0.4827	10	True
KRH32578	KRH32585	0.4252	10	True
KRH32578	KRH32586	0.016	10	True
KRH32578	KRH32589	4.001	10	True
KRH32579	KRH32585	0.5257	10	True
KRH32579	KRH32586	0.4827	10	True
KRH32579	KRH32589	1.7194	10	True
KRH32585	KRH32586	0.4599	10	True
KRH32585	KRH32589	2.4001	10	True
KRH32586	KRH32589	4.3778	10	True
KRH32575	KRH32581	0.0067	10	True
KRH32590	KRH32591	1.9275	10	True
KRH32590	KRH32594	1.1767	10	True
KRH32591	KRH32594	1.8646	10	True
KRH32610	KRH32611	3.0302	10	True
KRH32610	KRH32612	3.0489	10	True
KRH32611	KRH32612	3.3452	10	True
KRH32618	KRH32619	0.239	10	True
KRH32668	KRH32669	1.9036	10	True
KRH32685	KRH32686	3.7042	10	True
KRH32717	KRH32718	0.3469	10	True
KRH32717	KRH32719	0.3767	10	True
KRH32718	KRH32719	0.3041	10	True
KRH32752	KRH32753	3.8821	10	True
KRH32752	KRH32755	4.4439	10	True
KRH32753	KRH32755	3.8413	10	True
KRH32772	KRH32773	1.8703	10	True
KRH32782	KRH32783	0.3336	10	True
KRH32782	KRH32784	0.3884	10	True
KRH32782	KRH32785	0.5871	10	True
KRH32783	KRH32784	0.5069	10	True
KRH32783	KRH32785	0.9188	10	True
KRH32784	KRH32785	0.7452	10	True
KRH32796	KRH32800	0.324	10	True
KRH32796	KRH32802	0.2702	10	True
KRH32796	KRH32803	0.2785	10	True
KRH32796	KRH32804	0.2557	10	True
KRH32796	KRH32806	0.2716	10	True
KRH32796	KRH32813	0.3552	10	True
KRH32800	KRH32802	0.3027	10	True
KRH32800	KRH32803	0.2616	10	True
KRH32800	KRH32804	0.288	10	True
KRH32800	KRH32806	0.3152	10	True
KRH32800	KRH32813	0.581	10	True
KRH32802	KRH32803	0.0483	10	True
KRH32802	KRH32804	0.0806	10	True
KRH32802	KRH32806	0.0628	10	True
KRH32802	KRH32813	0.6191	10	True
KRH32803	KRH32804	0.0554	10	True
KRH32803	KRH32806	0.0483	10	True
KRH32803	KRH32813	0.5196	10	True
KRH32804	KRH32806	0.056	10	True
KRH32804	KRH32813	0.6246	10	True
KRH32806	KRH32813	0.4473	10	True
KRH32801	KRH32805	0.0312	10	True
KRH32809	KRH32810	2.9472	10	True
KRH32830	KRH32833	3.5885	10	True
KRH32830	KRH32835	2.0489	10	True
KRH32833	KRH32835	1.3689	10	True
KRH32832	KRH32834	4.0303	10	True
KRH32861	KRH32862	3.9215	10	True
KRH32899	KRH32902	0.0079	10	True
KRH32902	KRH32905	0.008	10	True
KRH32900	KRH32901	0.0541	10	True
KRH32900	KRH32904	0.0621	10	True
KRH32900	KRH32908	0.0233	10	True
KRH32900	KRH32909	0.0309	10	True
KRH32900	KRH32910	0.0259	10	True
KRH32900	KRH32912	0.0266	10	True
KRH32900	KRH32915	0.0413	10	True
KRH32900	KRH32916	0.0513	10	True
KRH32900	KRH32917	0.0638	10	True
KRH32901	KRH32904	0.0918	10	True
KRH32901	KRH32908	0.0372	10	True
KRH32901	KRH32909	0.052	10	True
KRH32901	KRH32910	0.0423	10	True
KRH32901	KRH32912	0.0424	10	True
KRH32901	KRH32915	0.0542	10	True
KRH32901	KRH32916	0.073	10	True
KRH32901	KRH32917	0.0755	10	True
KRH32904	KRH32908	0.0399	10	True
KRH32904	KRH32909	0.0689	10	True
KRH32904	KRH32910	0.0531	10	True
KRH32904	KRH32912	0.0566	10	True
KRH32904	KRH32915	0.0874	10	True
KRH32904	KRH32916	0.0768	10	True
KRH32904	KRH32917	0.0972	10	True
KRH32908	KRH32910	0.0111	10	True
KRH32908	KRH32912	0.012	10	True
KRH32908	KRH32915	0.0113	10	True
KRH32908	KRH32916	0.0268	10	True
KRH32908	KRH32917	0.0221	10	True
KRH32909	KRH32910	0.0148	10	True
KRH32909	KRH32912	0.017	10	True
KRH32909	KRH32915	0.0474	10	True
KRH32909	KRH32916	0.0491	10	True
KRH32909	KRH32917	0.0555	10	True
KRH32910	KRH32915	0.0412	10	True
KRH32910	KRH32916	0.0427	10	True
KRH32910	KRH32917	0.0446	10	True
KRH32912	KRH32915	0.0394	10	True
KRH32912	KRH32916	0.0426	10	True
KRH32912	KRH32917	0.0468	10	True
KRH32915	KRH32916	0.0688	10	True
KRH32915	KRH32917	0.0789	10	True
KRH32916	KRH32917	0.0814	10	True
KRH32903	KRH32907	0.0589	10	True
KRH32955	KRH32957	0.104	10	True
KRH32990	KRH32998	2.1227	10	True
KRH33001	KRH33002	1.3051	10	True
KRH33007	KRH33022	3.9298	10	True
KRH33008	KRH33021	3.8957	10	True
KRH33025	KRH33031	1.7491	10	True
KRH33028	KRH33029	3.8068	10	True
KRH33047	KRH33055	4.4763	10	True
KRH33051	KRH33069	0.0504	10	True
KRH33063	KRH33065	3.8349	10	True
KRH33099	KRH33100	3.8424	10	True
KRH33117	KRH33120	0.047	10	True
KRH33123	KRH33126	0.073	10	True
KRH33153	KRH33157	3.6254	10	True
KRH33168	KRH33169	4.0989	10	True
KRH33168	KRH33170	4.0638	10	True
KRH33169	KRH33170	3.94	10	True
KRH33177	KRH33185	3.6859	10	True
KRH33184	KRH33186	3.2377	10	True
KRH33193	KRH33209	3.4636	10	True
KRH33193	KRH33210	3.2901	10	True
KRH33209	KRH33210	4.559	10	True
KRH33216	KRH33225	0.2081	10	True
KRH33231	KRH33238	3.9213	10	True
KRH33255	KRH33260	0.0253	10	True
KRH33256	KRH33258	3.5809	10	True
KRH33263	KRH33274	2.8894	10	True
KRH33297	KRH33299	0.773	10	True
KRH33297	KRH33301	0.4044	10	True
KRH33299	KRH33301	0.3174	10	True
KRH33306	KRH33308	0.4475	10	True
KRH33306	KRH33314	0.2583	10	True
KRH33306	KRH33315	0.256	10	True
KRH33306	KRH33316	0.2544	10	True
KRH33306	KRH33317	0.2603	10	True
KRH33306	KRH33319	0.2626	10	True
KRH33306	KRH33322	0.2519	10	True
KRH33306	KRH33323	0.2483	10	True
KRH33306	KRH33326	0.2667	10	True
KRH33308	KRH33314	0.1428	10	True
KRH33308	KRH33315	0.1373	10	True
KRH33308	KRH33316	0.1348	10	True
KRH33308	KRH33317	0.1426	10	True
KRH33308	KRH33319	0.1461	10	True
KRH33308	KRH33322	0.1373	10	True
KRH33308	KRH33323	0.1335	10	True
KRH33308	KRH33326	0.164	10	True
KRH33314	KRH33315	0.0025	10	True
KRH33314	KRH33316	0.0028	10	True
KRH33314	KRH33317	0.0113	10	True
KRH33314	KRH33319	0.0056	10	True
KRH33314	KRH33322	0.005	10	True
KRH33314	KRH33323	0.0062	10	True
KRH33314	KRH33326	0.0309	10	True
KRH33315	KRH33317	0.0073	10	True
KRH33315	KRH33319	0.0032	10	True
KRH33315	KRH33322	0.0024	10	True
KRH33315	KRH33323	0.0033	10	True
KRH33315	KRH33326	0.031	10	True
KRH33316	KRH33317	0.0081	10	True
KRH33316	KRH33319	0.0028	10	True
KRH33316	KRH33322	0.0024	10	True
KRH33316	KRH33323	0.0029	10	True
KRH33316	KRH33326	0.0291	10	True
KRH33317	KRH33319	0.0122	10	True
KRH33317	KRH33322	0.0049	10	True
KRH33317	KRH33323	0.0104	10	True
KRH33317	KRH33326	0.0373	10	True
KRH33319	KRH33322	0.0064	10	True
KRH33319	KRH33323	0.0072	10	True
KRH33319	KRH33326	0.0357	10	True
KRH33322	KRH33323	0.0033	10	True
KRH33322	KRH33326	0.0281	10	True
KRH33323	KRH33326	0.0291	10	True
