gene	age_class	ks_used	selection_class	w_used
KRG88768	Recent	0.1904	Purifying_selection	0.5017
KRG88770	Recent	0.5743	Purifying_selection	0.4948
KRG88771	Recent	0.0303	Purifying_selection	0.4142
KRG88774	Recent	0.105	Purifying_selection	0.287
KRG88779	Recent	0.0613	Purifying_selection	0.4327
KRG88782	Recent	0.1739	Purifying_selection	0.409
KRG88783	Recent	0.2152	Purifying_selection	0.5257
KRG88785	Recent	0.1011	Purifying_selection	0.3466
KRG88786	Recent	0.1493	Purifying_selection	0.1964
KRG88787	Recent	0.1478	Purifying_selection	0.3156
KRG88788	Recent	0.0437	Neutral	1
KRG88789	Recent	0.073	Purifying_selection	0.1951
KRG88793	Recent	0.1069	Purifying_selection	0.7445
KRG88796	Recent	0.3658	Purifying_selection	0.5774
KRG88797	Recent	0.1739	Purifying_selection	0.2337
KRG88803	Recent	0.1115	Purifying_selection	0.641
KRG88804	Recent	0.0112	Neutral	1
KRG88806	Recent	0.1198	Purifying_selection	0.4009
KRG88807	Recent	0.0919	Purifying_selection	0.2456
KRG88809	Recent	0.1626	Purifying_selection	0.7055
KRG88810	Recent	0.3445	Purifying_selection	0.3848
KRG88811	Recent	0.0663	Purifying_selection	0.4355
KRG88816	Recent	0.0825	Purifying_selection	0.3554
KRG88817	Recent	0.0651	Purifying_selection	0.7916
KRG88818	Recent	0.0232	Neutral	1
KRG88819	Recent	0.399	Purifying_selection	0.7965
KRG88820	Recent	0.0402	Purifying_selection	0.4956
KRG88821	Recent	0.0861	Purifying_selection	0.7085
KRG88825	Recent	0.1124	Purifying_selection	0.2267
KRG88838	Recent	0.1154	Purifying_selection	0.4883
KRG88839	Recent	0.1033	Purifying_selection	0.2659
KRG88842	Recent	0.0296	Purifying_selection	0.7847
KRG88843	Recent	0.3079	Purifying_selection	0.1517
KRG88844	Recent	0.2401	Purifying_selection	0.8025
KRG88845	Recent	1.376	Purifying_selection	0.2951
KRG88846	Recent	0.1014	Purifying_selection	0.4848
KRG88847	Recent	0.0477	Purifying_selection	0.8532
KRG88848	Recent	0.3567	Purifying_selection	0.3602
KRG88849	Recent	0.0085	Neutral	1
KRG88850	Recent	0.1252	Purifying_selection	0.4174
KRG88851	Recent	0.0457	Purifying_selection	0.7063
KRG88852	Recent	1.3306	Purifying_selection	0.4314
KRG88854	Recent	0.0953	Purifying_selection	0.2433
KRG88855	Recent	0.1226	Purifying_selection	0.319
KRG88858	Recent	0.2578	Purifying_selection	0.6355
KRG88859	Recent	0.1212	Purifying_selection	0.7126
KRG88860	Recent	0.3969	Purifying_selection	0.6594
KRG88861	Recent	1.2779	Purifying_selection	0.6936
KRG88862	Recent	0.0246	Purifying_selection	0.8631
KRG88863	Recent	0.009	Neutral	1
KRG88864	Recent	0.1679	Purifying_selection	0.2369
KRG88866	Recent	1.4445	Purifying_selection	0.3269
KRG88867	Recent	0.0336	Neutral	1
KRG88868	Recent	0.1184	Purifying_selection	0.6235
KRG88869	Recent	0.1416	Purifying_selection	0.3047
KRG88870	Recent	0.3339	Purifying_selection	0.2365
KRG88871	Recent	0.025	Purifying_selection	0.6851
KRG88872	Recent	0.1758	Purifying_selection	0.6605
KRG88873	Recent	0.1229	Purifying_selection	0.4536
KRG88874	Recent	0.3748	Purifying_selection	0.5933
KRG88875	Recent	1.5338	Purifying_selection	0.1348
KRG88876	Recent	0.021	Neutral	1
KRG88877	Recent	0.0956	Purifying_selection	0.6597
KRG88879	Recent	0.0892	Purifying_selection	0.127
KRG88880	Recent	0.1112	Purifying_selection	0.4316
KRG88881	Recent	0.1537	Purifying_selection	0.2503
KRG88882	Recent	0.0165	Purifying_selection	0.3393
KRG88885	Recent	0.0224	Purifying_selection	0.6728
KRG88888	Recent	0.0047	Purifying_selection	0.8221
KRG88891	Recent	0.1438	Purifying_selection	0.6575
KRG88892	Recent	0.2596	Purifying_selection	0.1632
KRG88893	Recent	0.0697	Purifying_selection	0.2052
KRG88894	Recent	0.0924	Purifying_selection	0.4124
KRG88895	Recent	0.0741	Purifying_selection	0.4684
KRG88896	Recent	0.0548	Purifying_selection	0.3288
KRG88899	Recent	0.055	Purifying_selection	0.2218
KRG88902	Recent	0.0271	Purifying_selection	0.3241
KRG88903	Recent	0.1339	Purifying_selection	0.0449
KRG88905	Recent	0.135	Purifying_selection	0.6184
KRG88906	Recent	0.0616	Neutral	1
KRG88907	Recent	0.0809	Purifying_selection	0.3404
KRG88909	Recent	1.4838	Purifying_selection	0.306
KRG88914	Recent	0.1798	Neutral	1
KRG88915	Recent	0.0995	Purifying_selection	0.9522
KRG88916	Recent	0.0261	Neutral	1
KRG88917	Recent	0.0508	Purifying_selection	0.5481
KRG88921	Recent	0.1657	Purifying_selection	0.1679
KRG88922	Recent	0.1858	Purifying_selection	0.2127
KRG88923	Recent	0.2057	Purifying_selection	0.433
KRG88924	Recent	1.3169	Purifying_selection	0.5509
KRG88926	Recent	0.931	Purifying_selection	0.4588
KRG88927	Recent	0.1176	Purifying_selection	0.2076
KRG88929	Recent	0.257	Purifying_selection	0.3019
KRG88930	Recent	0.8047	Purifying_selection	0.3777
KRG88933	Recent	0.441	Purifying_selection	0.5187
KRG88934	Recent	0.5597	Purifying_selection	0.2554
KRG88936	Recent	0.926	Purifying_selection	0.0696
KRG88937	Recent	0.1869	Purifying_selection	0.1716
KRG88938	Recent	0.0746	Purifying_selection	0.9063
KRG88945	Recent	0.0913	Purifying_selection	0.3024
KRG88946	Recent	0.6672	Purifying_selection	0.2958
KRG88948	Recent	0.1294	Purifying_selection	0.5702
KRG88949	Recent	0.1912	Purifying_selection	0.3612
KRG88952	Recent	0.1936	Purifying_selection	0.2988
KRG88953	Recent	0.2918	Purifying_selection	0.8295
KRG88956	Recent	0.0493	Purifying_selection	0.2314
KRG88957	Recent	1.9419	Purifying_selection	0.2289
KRG88958	Recent	0.172	Purifying_selection	0.5996
KRG88964	Recent	0.153	Purifying_selection	0.5232
KRG88966	Old	2.489	Purifying_selection	0.1444
KRG88967	Recent	0.0667	Purifying_selection	0.2718
KRG88968	Recent	0.0901	Purifying_selection	0.6064
KRG88973	Recent	0.6373	Purifying_selection	0.3345
KRG88976	Recent	0.0961	Purifying_selection	0.7834
KRG88979	Old	4.3049	Purifying_selection	0.1017
KRG88982	Recent	0.2902	Purifying_selection	0.0368
KRG88985	Recent	0.1167	Purifying_selection	0.5288
KRG88986	Recent	0.1258	Purifying_selection	0.4611
KRG88987	Recent	0.2008	Neutral	1
KRG88988	Recent	0.9014	Purifying_selection	0.5469
KRG88991	Recent	0.5063	Purifying_selection	0.4168
KRG88993	Recent	0.3121	Purifying_selection	0.6305
KRG88996	Recent	1.7658	Purifying_selection	0.2305
KRG89008	Recent	0.1989	Purifying_selection	0.5586
KRG89010	Recent	0.2401	Purifying_selection	0.5145
KRG89011	Recent	0.2169	Purifying_selection	0.4126
KRG89012	Recent	0.2386	Purifying_selection	0.4146
KRG89013	Recent	0.2169	Purifying_selection	0.3704
KRG89014	Recent	0.1095	Purifying_selection	0.5714
KRG89015	Recent	0.1682	Purifying_selection	0.6927
KRG89017	Recent	0.1428	Purifying_selection	0.3942
KRG89019	Recent	0.1144	Purifying_selection	0.6152
KRG89021	Recent	0.0991	Purifying_selection	0.2576
KRG89023	Recent	0.0544	Purifying_selection	0.2058
KRG89025	Recent	0.1632	Purifying_selection	0.4742
KRG89026	Recent	0.0953	Purifying_selection	0.2385
KRG89030	Recent	0.2497	Purifying_selection	0.3518
KRG89031	Recent	0.1756	Purifying_selection	0.4982
KRG89035	Recent	0.1018	Purifying_selection	0.2385
KRG89036	Recent	0.3107	Purifying_selection	0.3175
KRG89038	Recent	0.1038	Purifying_selection	0.2265
KRG89043	Recent	0.1258	Purifying_selection	0.3341
KRG89044	Recent	0.0872	Purifying_selection	0.47
KRG89045	Recent	0.2555	Purifying_selection	0.2243
KRG89052	Recent	0.1431	Purifying_selection	0.3811
KRG89057	Recent	0.1141	Purifying_selection	0.3253
KRG89059	Recent	0.1279	Purifying_selection	0.3204
KRG89060	Recent	0.1379	Purifying_selection	0.1796
KRG89062	Recent	0.0828	Purifying_selection	0.2063
KRG89064	Recent	0.0998	Purifying_selection	0.5798
KRG89065	Recent	0.0791	Purifying_selection	0.3972
KRG89068	Recent	0.1483	Neutral	1
KRG89071	Recent	0.1068	Purifying_selection	0.285
KRG89074	Recent	0.0833	Purifying_selection	0.3914
KRG89082	Recent	1.0582	Purifying_selection	0.5644
KRG89083	Recent	0.1886	Purifying_selection	0.623
KRG89085	Recent	0.0695	Purifying_selection	0.5627
KRG89089	Recent	0.1606	Purifying_selection	0.3412
KRG89093	Recent	1.8273	Purifying_selection	0.256
KRG89094	Recent	0.5648	Purifying_selection	0.2975
KRG89095	Recent	0.0862	Purifying_selection	0.2838
KRG89097	Recent	0.1142	Purifying_selection	0.4464
KRG89098	Recent	0.1051	Purifying_selection	0.6814
KRG89099	Recent	0.0982	Purifying_selection	0.4987
KRG89101	Recent	0.5474	Purifying_selection	0.8196
KRG89103	Recent	0.0721	Purifying_selection	0.26
KRG89106	Recent	0.2143	Purifying_selection	0.2849
KRG89108	Recent	0.45	Purifying_selection	0.1591
KRG89109	Recent	0.0785	Purifying_selection	0.5574
KRG89111	Recent	0.056	Purifying_selection	0.4324
KRG89112	Recent	0.091	Purifying_selection	0.331
KRG89113	Recent	0.1397	Purifying_selection	0.3975
KRG89118	Recent	0.0505	Purifying_selection	0.536
KRG89119	Recent	0.0283	Purifying_selection	0.5412
KRG89120	Recent	0.0476	Purifying_selection	0.5992
KRG89122	Recent	0.0237	Purifying_selection	0.4285
KRG89123	Recent	0.125	Purifying_selection	0.4827
KRG89124	Recent	0.146	Purifying_selection	0.2522
KRG89125	Recent	0.3161	Purifying_selection	0.3817
KRG89126	Recent	0.095	Purifying_selection	0.3866
KRG89129	Recent	0.0983	Purifying_selection	0.4559
KRG89135	Old	4.1152	Purifying_selection	0.1015
KRG89136	Recent	0.081	Purifying_selection	0.2996
KRG89137	Recent	0.1636	Purifying_selection	0.4387
KRG89138	Recent	0.2731	Purifying_selection	0.4742
KRG89141	Recent	0.7317	Purifying_selection	0.3828
KRG89142	Recent	0.0895	Purifying_selection	0.5061
KRG89145	Recent	0.1884	Purifying_selection	0.3408
KRG89146	Recent	0.1372	Purifying_selection	0.2808
KRG89147	Recent	0.1372	Purifying_selection	0.3875
KRG89148	Recent	0.1066	Purifying_selection	0.285
KRG89153	Recent	0.1654	Purifying_selection	0.1642
KRG89154	Recent	0.1709	Purifying_selection	0.4219
KRG89155	Recent	0.1709	Purifying_selection	0.4219
KRG89158	Recent	0.1463	Purifying_selection	0.3249
KRG89159	Recent	0.0449	Purifying_selection	0.8979
KRG89162	Recent	0.0909	Purifying_selection	0.3701
KRG89164	Recent	0.1663	Purifying_selection	0.2077
KRG89165	Recent	0.0988	Purifying_selection	0.3185
KRG89166	Recent	0.0894	Purifying_selection	0.1904
KRG89167	Recent	0.097	Purifying_selection	0.3701
KRG89168	Recent	0.1288	Purifying_selection	0.3044
KRG89170	Recent	0.0989	Purifying_selection	0.6001
KRG89171	Recent	0.1364	Purifying_selection	0.244
KRG89173	Recent	0.19	Purifying_selection	0.1353
KRG89174	Recent	0.1816	Purifying_selection	0.3826
KRG89176	Recent	0.1565	Purifying_selection	0.1618
KRG89178	Recent	0.0913	Purifying_selection	0.851
KRG89179	Recent	0.0976	Purifying_selection	0.2886
KRG89180	Recent	0.1873	Purifying_selection	0.6147
KRG89181	Recent	0.8044	Purifying_selection	0.0677
KRG89182	Recent	0.3851	Purifying_selection	0.566
KRG89183	Recent	0.2298	Purifying_selection	0.5227
KRG89184	Recent	0.2178	Purifying_selection	0.6731
KRG89185	Recent	0.1873	Purifying_selection	0.5913
KRG89186	Recent	0.3225	Purifying_selection	0.5988
KRG89187	Recent	0.1255	Purifying_selection	0.0862
KRG89188	Recent	0.2171	Purifying_selection	0.2462
KRG89189	Recent	0.1392	Neutral	1
KRG89196	Recent	0.1041	Purifying_selection	0.4809
KRG89197	Recent	0.0167	Neutral	1
KRG89200	Recent	0.2661	Purifying_selection	0.5716
KRG89201	Recent	0.5849	Purifying_selection	0.4182
KRG89202	Recent	0.4878	Purifying_selection	0.7335
KRG89207	Recent	0.1125	Purifying_selection	0.484
KRG89208	Recent	0.0967	Purifying_selection	0.7065
KRG89209	Recent	0.2646	Neutral	1
KRG89211	Recent	0.1525	Purifying_selection	0.4191
KRG89212	Recent	0.1071	Purifying_selection	0.3013
KRG89215	Recent	0.0356	Neutral	1
KRG89220	Recent	0.1592	Purifying_selection	0.3874
KRG89221	Recent	0.1887	Purifying_selection	0.453
KRG89223	Recent	0.1217	Purifying_selection	0.1183
KRG89224	Recent	0.1224	Purifying_selection	0.2177
KRG89226	Recent	0.117	Purifying_selection	0.279
KRG89228	Recent	0.0998	Purifying_selection	0.5583
KRG89229	Recent	0.057	Purifying_selection	0.5172
KRG89230	Recent	0.0917	Purifying_selection	0.2411
KRG89232	Recent	0.1204	Purifying_selection	0.3143
KRG89233	Recent	0.0794	Purifying_selection	0.5804
KRG89234	Recent	0.32	Purifying_selection	0.5179
KRG89235	Recent	0.1411	Purifying_selection	0.3088
KRG89236	Recent	0.2604	Purifying_selection	0.5329
KRG89238	Recent	0.1589	Purifying_selection	0.2264
KRG89239	Recent	0.1585	Purifying_selection	0.3713
KRG89242	Recent	0.1097	Purifying_selection	0.5248
KRG89244	Recent	0.0426	Purifying_selection	0.9761
KRG89246	Recent	0.1431	Purifying_selection	0.4466
KRG89247	Recent	0.0848	Purifying_selection	0.4246
KRG89248	Recent	0.1774	Purifying_selection	0.3114
KRG89249	Recent	0.4333	Purifying_selection	0.3961
KRG89250	Recent	0.2815	Purifying_selection	0.2726
KRG89251	Recent	0.2526	Purifying_selection	0.2895
KRG89255	Recent	0.156	Purifying_selection	0.4339
KRG89259	Recent	0.115	Purifying_selection	0.204
KRG89260	Recent	1.2483	Purifying_selection	0.3299
KRG89262	Recent	1.9633	Purifying_selection	0.1649
KRG89265	Recent	0.1176	Purifying_selection	0.3949
KRG89266	Recent	0.2617	Purifying_selection	0.5929
KRG89267	Recent	0.0347	Neutral	1
KRG89270	Recent	0.1302	Purifying_selection	0.5061
KRG89272	Recent	0.1114	Purifying_selection	0.4585
KRG89273	Recent	0.0494	Neutral	1
KRG89275	Recent	0.3177	Purifying_selection	0.2407
KRG89277	Recent	0.1528	Purifying_selection	0.3723
KRG89278	Recent	0.2607	Purifying_selection	0.4342
KRG89279	Recent	0.0937	Purifying_selection	0.2537
KRG89280	Recent	0.1341	Purifying_selection	0.4818
KRG89281	Recent	0.2175	Purifying_selection	0.1819
KRG89282	Recent	0.1062	Purifying_selection	0.2703
KRG89283	Recent	0.082	Purifying_selection	0.1893
KRG89284	Recent	0.1633	Purifying_selection	0.3414
KRG89285	Recent	0.089	Purifying_selection	0.3434
KRG89287	Recent	0.1266	Purifying_selection	0.2424
KRG89289	Recent	0.1249	Purifying_selection	0.2148
KRG89292	Recent	0.1698	Purifying_selection	0.4317
KRG89296	Recent	0.2082	Purifying_selection	0.2288
KRG89300	Recent	0.105	Purifying_selection	0.269
KRG89301	Recent	0.1228	Purifying_selection	0.4616
KRG89304	Recent	0.6306	Purifying_selection	0.649
KRG89306	Recent	0.1238	Purifying_selection	0.4216
KRG89308	Recent	0.1238	Purifying_selection	0.6283
KRG89309	Recent	0.1304	Purifying_selection	0.3353
KRG89310	Recent	0.1852	Purifying_selection	0.6283
KRG89311	Recent	0.0396	Purifying_selection	0.4168
KRG89312	Recent	0.0155	Neutral	1
KRG89313	Recent	0.2169	Purifying_selection	0.3907
KRG89314	Recent	0.1949	Purifying_selection	0.7582
KRG89315	Recent	0.0893	Purifying_selection	0.5779
KRG89316	Recent	0.0447	Purifying_selection	0.2963
